N	2gram	Propp_Russ_1	IolandNe
1	и с	2	3
2	и не	6	2
3	в этом	12	2
4	он не	1	2
5	что в	19	2
6	ничего не	3	2
7	все это	6	1
8	и др	4	1
9	и в	36	1
10	и о	1	1
11	то и	1	1
12	с а	1	1
13	как только	1	1
14	того же	1	1
15	при такой	1	1
16	было не	1	1
17	и та	1	1
18	а в	9	1
19	вплоть до	4	1
20	и дети	1	1
21	к нам	2	1
22	доказать что	1	1
23	того что	4	1
24	не дает	1	1
25	и без	1	1
26	после смерти	1	1
27	это был	1	1
28	цель и	1	1
29	а с	4	1
30	не так	1	1
31	а также	3	1
32	в основе	1	1
33	что для	1	1
34	говорить о	1	1
35	и сам	1	1
36	отношению к	1	1
37	работы не	1	1
38	так и	7	1
39	от этого	1	1
40	у и	2	1
41	не случайно	2	1
42	следующим образом	4	1
43	только для	2	1
44	не здесь	1	1
45	жизни и	1	1
46	тех же	1	1
47	тем что	4	1
48	в целом	2	1
49	по поводу	1	1
50	по отношению	1	1
51	очевидно что	1	1
52	в них	6	1
53	все эти	2	1
54	по существу	4	1
55	и и	2	1
56	если бы	1	1
