N	4gram	Vinokur_Vv_1	formyVre
1	в то же время	5	6
2	одного и того же	2	5
3	одно и то же	1	3
4	с одной стороны и	3	2
5	дело в том что	2	2
6	в соответствии с этим	1	2
7	в связи с этим	1	2
8	вообще не может быть	1	1
9	может быть и речи	1	1
10	когда мы говорим о	1	1
11	мы имеем в виду	1	1
12	в одном и том	1	1
13	целого но все же	1	1
14	как мы уже знаем	1	1
15	и прежде всего в	1	1
16	не может быть и	1	1
17	но вместе с тем	1	1
18	и для того чтобы	1	1
19	но дело не только	1	1
20	дело не только в	1	1
21	для того чтобы быть	1	1
22	приходит к выводу что	1	1
23	одном и том же	1	1
24	но в то же	3	1
25	в том что в	1	1
