N	2gram	Vygotskiy__2	OGranits
1	и в	15	13
2	и его	4	12
3	прежде всего	4	9
4	может быть	9	8
5	не может	9	8
6	и не	7	8
7	и т.п	7	7
8	в его	2	7
9	и их	5	7
10	точки зрения	26	7
11	только в	4	6
12	как бы	7	6
13	не только	15	6
14	то что	20	6
15	мы должны	6	6
16	таким образом	14	6
17	языка и	3	5
18	и т.д	12	5
19	все же	4	5
20	и наконец	1	5
21	но ведь	2	5
22	с точки	18	5
23	в процессе	11	5
24	хотя бы	4	5
25	и эта	2	5
26	мы не	10	4
27	но мы	3	4
28	еще и	1	4
29	но в	6	4
30	вопроса о	1	4
31	мы можем	10	4
32	то же	5	4
33	лишь в	3	4
34	в сознании	1	4
35	в своей	4	4
36	было бы	10	4
37	все это	4	4
38	только и	1	4
39	в двух	1	4
40	не является	9	4
41	связана с	4	3
42	и то	1	3
43	в ее	1	3
44	самом деле	6	3
45	в пределах	1	3
46	так и	8	3
47	понятно что	2	3
48	говорить о	2	3
49	для целей	1	3
50	в их	2	3
51	по отношению	6	3
52	за пределы	2	3
53	общего с	2	3
54	с этим	3	3
55	в которой	4	3
56	ни один	1	3
57	в себе	2	3
58	в одном	2	3
59	так как	4	3
60	одно и	1	3
61	здесь мы	1	3
62	материала и	1	3
63	но и	10	3
64	как и	6	3
65	со всей	4	3
66	точку зрения	6	3
67	что же	2	3
68	не в	8	3
69	да и	1	3
70	но для	2	3
71	и для	2	3
72	никогда не	8	3
73	и все	3	3
74	отношению к	5	3
75	что в	14	3
76	ничего общего	1	3
77	смысле слова	5	2
78	для себя	3	2
79	и др	5	2
80	данном случае	3	2
81	пытается в	1	2
82	зависимости от	6	2
83	только его	2	2
84	и может	1	2
85	и этот	1	2
86	мы уже	6	2
87	те же	3	2
88	есть не	1	2
89	к анализу	1	2
90	человеческой речи	12	2
91	не исчерпывается	1	2
92	является уже	2	2
93	если бы	8	2
94	с самого	1	2
95	и должно	1	2
96	в ней	1	2
97	ее в	2	2
98	речи не	2	2
99	а также	2	2
100	в чем	1	2
101	между тем	1	2
102	явлений и	1	2
103	в общем	3	2
104	в языке	1	2
105	во всей	5	2
106	что они	3	2
107	вслед за	1	2
108	чем же	1	2
109	его на	1	2
110	как в	4	2
111	в данном	3	2
112	в этом	19	2
113	но так	1	2
114	в полном	2	2
115	в том	33	2
116	мы видим	4	2
117	тот же	7	2
118	от этого	2	2
119	которое мы	3	2
120	во времени	1	2
121	в целом	10	2
122	и тем	2	2
123	все эти	3	2
124	с одной	7	2
125	учение о	1	2
126	думать что	1	2
127	уже в	5	2
128	в нем	1	2
129	связанные с	1	2
130	при этом	3	2
131	для него	3	2
132	в другом	2	2
133	вовсе не	6	2
134	в зависимости	6	2
135	о языке	2	2
136	символов и	1	2
137	тем что	2	2
138	в них	4	2
139	этой проблемы	2	2
140	в области	1	2
141	с другой	6	2
142	всей своей	1	2
143	в самом	11	2
144	входит в	1	2
