N	4gram	Medvedev_V_1	Problema
1	в той или иной	1	7
2	в какой мере не	1	4
3	ни в какой мере	1	4
4	той или иной мере	1	3
5	только в том что	1	2
6	не имеет ничего общего	1	2
7	в то время как	1	2
8	не чем иным как	1	2
9	по крайней мере для	1	2
10	не может обойтись без	1	2
11	мы имеем дело с	1	1
12	что они отнюдь не	1	1
13	в том числе и	2	1
14	и в то же	3	1
15	не значит что он	1	1
16	является не чем иным	1	1
17	в том смысле что	1	1
18	мало чем отличается от	1	1
19	и вместе с тем	1	1
20	сама по себе в	1	1
21	с этой точки зрения	1	1
22	так же как и	1	1
23	приведем только два примера	1	1
24	же в таком случае	1	1
25	имеет ничего общего с	1	1
26	чем же в таком	1	1
27	в одном и том	1	1
28	не говоря уже о	1	1
29	одном и том же	2	1
