N	2gram	Vinokur_St_3	VelikijI
1	и не	10	20
2	и в	25	16
3	так как	3	9
4	то что	12	9
5	еще не	2	8
6	в истории	1	8
7	что они	2	7
8	а не	5	7
9	на себя	1	5
10	но и	9	5
11	того что	5	5
12	бога и	1	5
13	все это	8	5
14	что есть	1	5
15	как бы	6	5
16	в образе	1	4
17	говорить о	3	4
18	во мне	1	4
19	в его	12	4
20	и я	1	4
21	в этом	24	4
22	что он	19	4
23	потому что	5	4
24	в нем	1	4
25	так и	5	4
26	что все	3	4
27	что не	2	4
28	как и	4	4
29	что мы	3	4
30	в котором	5	4
31	в ней	4	4
32	и все	1	4
33	все что	1	4
34	в абсолютном	1	3
35	от этого	1	3
36	и что	3	3
37	должна быть	1	3
38	хотя бы	1	3
39	то это	1	3
40	лишь в	4	3
41	в чем	4	3
42	с его	3	3
43	во всех	2	3
44	что и	1	3
45	в том	20	3
46	но в	5	3
47	по этому	3	3
48	все эти	3	3
49	и они	1	3
50	от которого	1	3
51	они в	1	3
52	в конце	6	3
53	в своей	4	3
54	в жизни	4	3
55	ни в	5	3
56	в них	5	3
57	не было	4	3
58	должно быть	1	3
59	если не	1	3
60	в этих	11	3
61	нет ничего	1	3
62	что я	3	3
63	не в	6	3
64	тому что	3	3
65	этих трех	2	3
66	но это	4	3
67	не имеет	2	3
68	никогда не	2	3
69	и для	4	3
70	к тому	2	3
71	жизни и	1	3
72	что в	19	3
73	и это	5	2
74	того чтобы	1	2
75	и то	1	2
76	не имел	2	2
77	во главе	1	2
78	и сам	1	2
79	и т	8	2
80	можно было	1	2
81	и за	2	2
82	его не	2	2
83	мы не	2	2
84	свободной и	1	2
85	в последнем	2	2
86	с ним	1	2
87	и над	1	2
88	и во	2	2
89	к нам	1	2
90	между тем	6	2
91	я думаю	2	2
92	нет и	2	2
93	которые не	1	2
94	человека как	1	2
95	нас за	1	2
96	его к	2	2
97	только в	6	2
98	и последний	2	2
99	конечно не	1	2
100	уже не	3	2
101	не только	12	2
102	не так	3	2
103	для него	3	2
104	не к	1	2
105	не могли	1	2
106	вот почему	1	2
107	тем что	19	2
108	на том	1	2
109	это не	7	2
110	т д	2	2
111	а с	2	2
112	прежде всего	10	2
113	с тем	4	2
114	мы и	1	2
115	один из	2	2
116	и тогда	2	2
117	я говорю	1	2
118	и последнее	1	2
119	этому пути	1	2
120	является в	1	2
121	ли ты	1	2
122	почему оно	1	2
123	личность как	1	2
124	одна из	2	2
125	так много	1	2
126	том что	15	2
127	а к	1	2
128	для нас	1	2
129	в форме	2	2
130	ее в	2	2
131	до того	1	2
132	давно уже	1	2
133	а в	6	2
134	но не	2	2
135	в духе	2	2
136	могут быть	2	2
137	всего в	4	2
138	во всяком	4	2
139	всегда в	1	1
140	совсем как	1	1
141	речь идет	2	1
142	как мы	2	1
143	бы сделать	1	1
144	в виду	2	1
145	для себя	1	1
146	в ее	1	1
147	в тюрьму	2	1
148	ты и	1	1
149	царем и	2	1
150	в словах	3	1
151	и до	1	1
152	свое место	1	1
153	на новый	1	1
154	мы будем	1	1
155	легенду о	1	1
156	отвечает что	1	1
157	то же	5	1
158	это он	1	1
159	и которые	2	1
160	в результате	2	1
161	вопрос о	1	1
162	основана на	1	1
163	и вообще	1	1
164	не была	2	1
165	любовью к	1	1
166	но может	1	1
167	находится в	1	1
168	и ее	2	1
169	нас но	1	1
170	не был	2	1
171	вражда к	1	1
172	думаю что	2	1
173	в их	3	1
