N	3gram	Kanaev_Sov_1	Psycholo
1	в самом деле	1	18
2	в том что	1	11
3	с точки зрения	5	9
4	то же самое	2	8
5	мы видим что	1	7
6	с самого начала	3	6
7	до сих пор	1	5
8	с одной стороны	1	5
9	же самое в	1	5
10	и в этом	1	3
11	и все те	1	2
12	на самом деле	1	2
13	и во всех	1	2
14	мы помним что	1	2
15	и та же	1	2
16	в данном случае	1	2
17	не в том	1	2
18	все более и	1	2
19	во всяком случае	2	2
20	мы видели что	3	2
21	мы не можем	6	2
22	в свою очередь	2	2
23	более и более	1	2
24	по аналогии с	1	2
25	все же в	1	2
26	но все же	1	1
27	такой же мере	1	1
28	и может быть	1	1
29	не вытекает из	1	1
30	каждого из них	2	1
31	они не могут	1	1
32	данном случае и	1	1
33	в зависимости от	4	1
34	в отличие от	2	1
35	в том случае	1	1
36	не было бы	1	1
37	таким образом все	1	1
38	но они не	1	1
39	значение каждого из	1	1
40	заключает в себе	1	1
41	можно было бы	1	1
42	но если мы	1	1
43	не можем сказать	1	1
44	может быть и	2	1
45	что дело идет	1	1
46	что все они	1	1
47	все эти три	1	1
48	что она может	1	1
49	дело идет о	1	1
50	тот факт что	1	1
51	же мере в	1	1
52	и ничего не	1	1
53	в такой же	1	1
54	одна и та	1	1
55	заключать в себе	1	1
56	и той же	1	1
57	один и тот	1	1
58	и все же	1	1
59	и что она	1	1
60	что в ней	1	1
61	и что следовательно	1	1
62	не имеет с	1	1
63	мы знаем что	1	1
64	не более как	1	1
65	одной и той	1	1
66	не может быть	4	1
67	по его мнению	1	1
68	она не может	1	1
69	и тот же	1	1
