N	2gram	Bakhtin_sl_2	Marksizm
1	точки зрения	8	34
2	философии языка	1	29
3	может быть	37	26
4	и не	22	26
5	не может	20	24
6	с точки	3	20
7	и в	39	19
8	и его	33	19
9	языка как	7	17
10	таким образом	8	17
11	в этом	16	16
12	как бы	7	15
13	в процессе	13	14
14	языка в	6	14
15	как мы	7	13
16	языка и	9	13
17	прежде всего	8	13
18	как и	6	12
19	индивидуального сознания	2	12
20	так и	15	11
21	связи с	3	11
22	и для	5	11
23	в нем	19	10
24	в слове	6	10
25	и т.п	2	10
26	в самом	1	10
27	идеологического творчества	3	9
28	лишь в	3	9
29	только в	5	9
30	для него	7	9
31	в результате	2	9
32	на материале	2	8
33	все же	6	8
34	не только	24	8
35	без исключения	1	8
36	при этом	7	8
37	друг друга	1	8
38	до сих	2	8
39	но и	21	8
40	в контексте	3	8
41	сих пор	2	8
42	то что	2	8
43	язык как	3	7
44	во всех	12	7
45	точка зрения	2	7
46	но в	6	7
47	все эти	6	7
48	и те	1	7
49	то же	4	7
50	в каждом	1	7
51	слова как	2	7
52	а не	14	7
53	в связи	2	7
54	в направлении	1	7
55	отнюдь не	1	6
56	кроме того	2	6
57	так сказать	6	6
58	и идеологии	1	6
59	мы не	2	6
60	ничего не	1	6
61	в пределах	13	6
62	и здесь	2	6
63	в его	7	6
64	на почве	4	6
65	в том	5	6
66	с помощью	4	6
67	в основном	4	6
68	в смысле	4	6
69	другой стороны	1	6
70	того же	1	6
71	гуманитарных наук	1	5
72	отличие от	13	5
73	конечно не	5	5
74	по преимуществу	1	5
75	входит в	4	5
76	может стать	2	5
77	рядом с	3	5
78	одного и	1	5
79	в отличие	12	5
80	не в	9	5
81	того чтобы	2	5
82	те же	2	5
83	языковых форм	1	5
84	и все	5	5
85	исторического становления	1	5
86	опираться на	1	5
87	в конце	1	5
88	вовсе не	10	5
89	с другой	5	5
90	за пределы	2	5
91	именно в	2	5
92	до конца	17	5
93	и потому	7	5
94	хотя бы	3	5
95	к этому	1	5
96	во всяком	3	5
97	что слово	1	4
98	оно может	2	4
99	и на	4	4
100	науки о	1	4
101	чем же	1	4
102	как в	13	4
103	выражение в	1	4
104	лишь с	1	4
105	не столько	3	4
106	мысли и	1	4
107	не менее	4	4
108	по себе	5	4
