N	3gram	Trubetskoy_1	RusskieA
1	в том что	15	18
2	состоит в том	1	13
3	в этом случае	4	6
4	в данном случае	3	6
5	для того чтобы	7	6
6	вместе с тем	2	4
7	так же как	3	4
8	о том что	4	4
9	мы видели что	1	4
10	не может быть	3	3
11	только тогда когда	1	3
12	его состоит в	1	2
13	тем не менее	4	2
14	для этой цели	1	2
15	решить этот вопрос	1	2
16	но вместе с	1	2
17	не принадлежат к	1	2
18	в этом и	1	2
19	в то время	2	2
20	по этому поводу	1	2
21	с одной стороны	2	2
22	пока еще не	1	2
23	этом и состоит	1	1
24	а между тем	8	1
25	не может не	3	1
26	что при этом	1	1
27	и что за	1	1
28	еще далеко не	1	1
29	могут рассматриваться как	1	1
30	иметь в виду	1	1
31	но так как	2	1
32	более или менее	7	1
33	в тех случаях	1	1
34	в настоящее время	2	1
35	в том же	3	1
36	более высокой ступени	1	1
37	между тем как	1	1
38	а может быть	1	1
39	и другие народы	1	1
40	а так как	1	1
41	таким образом в	3	1
42	из того что	1	1
43	можно было бы	1	1
44	может быть и	4	1
45	в научной литературе	1	1
46	говорить что в	1	1
47	может быть не	1	1
48	во всяком случае	2	1
49	быть потому что	1	1
50	на первый взгляд	1	1
51	смысле этого слова	1	1
52	в разные стороны	1	1
53	может рассматриваться как	1	1
54	во всех этих	2	1
55	может быть потому	1	1
56	это имеет место	1	1
57	то время как	1	1
58	как и вообще	1	1
59	сущность его состоит	1	1
60	дело в том	1	1
61	том что они	1	1
62	одним из самых	1	1
63	с другой стороны	4	1
64	и в том	2	1
65	все то что	1	1
66	и это не	1	1
67	то увидим что	1	1
68	все это без	1	1
69	выше мы видели	1	1
70	в свою очередь	2	1
71	во всем этом	1	1
72	и все это	1	1
73	если присмотреться к	1	1
74	может быть признана	1	1
75	ни одна из	1	1
76	мы указывали на	1	1
77	из этих элементов	1	1
78	на то что	7	1
79	тем более что	1	1
80	тех случаях когда	1	1
81	из этого круга	1	1
82	каждый из этих	2	1
83	и таким образом	1	1
84	во многих отношениях	1	1
85	до некоторой степени	1	1
86	мы уже знаем	1	1
87	по его мнению	1	1
88	как и в	2	1
89	правильнее было бы	1	1
90	как мы видели	1	1
