N	3gram	Propp_Isto_3	DiskursI
1	в том что	5	13
2	по отношению к	2	9
3	с одной стороны	2	9
4	о том что	2	5
5	к тому же	2	4
6	не может быть	1	3
7	в свою очередь	1	3
8	с другой стороны	7	3
9	мы имеем дело	1	2
10	том что в	2	2
11	подобно тому как	1	2
12	в том числе	1	2
13	в соответствии с	1	2
14	сами по себе	1	2
15	в данном случае	3	2
16	не только в	1	2
17	состоит в том	2	2
18	можно сказать что	1	2
19	в этом случае	5	1
20	и в различных	1	1
21	на том что	1	1
22	на самом деле	1	1
23	и даже не	1	1
24	также и в	1	1
25	друг друга так	1	1
26	с точки зрения	1	1
27	но далеко не	1	1
28	до сих пор	5	1
29	тех случаях когда	1	1
30	только то что	1	1
31	из того что	1	1
32	в таком случае	1	1
33	что в них	2	1
34	вместе с тем	1	1
35	как мы видели	5	1
36	но в таком	1	1
37	то что и	1	1
38	и в том	1	1
39	имеем дело с	1	1
40	в связи с	3	1
41	во всяком случае	2	1
42	во-первых в том	1	1
43	то что происходило	1	1
44	что они хотят	1	1
45	в тех случаях	1	1
46	они и не	1	1
47	одной стороны он	1	1
48	это и есть	1	1
49	в сказке но	1	1
50	с самого начала	1	1
51	заключается в том	1	1
52	и более поздних	1	1
53	на то что	1	1
54	что он ничего	1	1
55	и прежде всего	1	1
56	тем не менее	5	1
57	но все же	2	1
58	в большинстве случаев	1	1
59	может быть в	1	1
60	как и в	2	1
61	мог быть и	1	1
