N	2gram	Tiupa_Disk_2	VelikijI
1	и не	15	20
2	и в	16	16
3	то что	5	9
4	еще не	6	8
5	к богу	1	8
6	в истории	1	8
7	а не	14	7
8	не есть	1	6
9	но и	11	5
10	того что	1	5
11	хотя и	1	5
12	в мире	11	5
13	все это	2	5
14	как бы	4	5
15	и есть	1	4
16	в образе	1	4
17	говорить о	2	4
18	во мне	1	4
19	добра и	1	4
20	в его	3	4
21	к личности	1	4
22	в этом	16	4
23	что он	2	4
24	потому что	4	4
25	в нем	7	4
26	так и	9	4
27	как и	16	4
28	в котором	3	4
29	в ней	2	4
30	и все	3	4
31	это еще	2	4
32	и что	1	3
33	должна быть	2	3
34	к вечности	1	3
35	лишь в	1	3
36	в чем	1	3
37	с его	6	3
38	во всех	1	3
39	что и	2	3
40	в том	8	3
41	но в	11	3
42	все эти	3	3
43	и они	1	3
44	их в	2	3
45	в своей	6	3
46	в жизни	1	3
47	не нужна	1	3
48	ни в	7	3
49	в них	3	3
50	не было	3	3
51	должно быть	2	3
52	в этих	3	3
53	не в	3	3
54	к чему	1	3
55	но это	3	3
56	никогда не	2	3
57	превращается в	1	3
58	и для	2	3
59	к тому	1	3
60	жизни и	3	3
61	что в	5	3
62	людей в	1	3
63	оно не	1	3
64	а между	1	2
65	и это	2	2
66	и то	4	2
67	вечности и	1	2
68	во главе	1	2
69	и сам	1	2
70	его не	1	2
71	мы не	1	2
72	с ним	1	2
73	и во	1	2
74	между тем	2	2
75	не с	2	2
76	только в	3	2
77	в себя	2	2
78	уже не	3	2
79	не только	10	2
80	для него	5	2
81	решить проблему	1	2
82	не к	2	2
83	тем что	1	2
84	это не	3	2
85	а с	5	2
86	прежде всего	7	2
87	один из	1	2
88	для человека	1	2
89	богу и	1	2
90	мира в	3	2
91	более чем	2	2
92	не могут	1	2
93	самого себя	1	2
94	да и	1	2
95	личность как	1	2
96	одна из	1	2
97	том что	10	2
98	а к	2	2
99	в форме	1	2
100	ее в	1	2
101	а в	2	2
102	но не	7	2
103	могут быть	3	2
104	всего в	1	2
105	и зла	1	2
106	во всяком	1	2
107	в вечность	1	1
108	не поднимается	1	1
109	речь идет	1	1
110	будет так	1	1
111	для себя	2	1
112	в ее	1	1
113	жизни во	1	1
114	и до	1	1
115	роль в	4	1
116	не имеют	1	1
117	которое может	1	1
118	все о	1	1
119	для человеческого	1	1
120	то же	6	1
121	и могут	1	1
122	живет в	2	1
123	с универсальным	1	1
124	о временном	1	1
125	в результате	2	1
126	истины и	1	1
127	да будет	1	1
128	вопрос о	1	1
129	не была	1	1
130	только это	1	1
131	о возможности	1	1
132	я не	1	1
133	и ее	3	1
134	не был	1	1
135	как сам	1	1
136	и на	5	1
137	он был	1	1
138	бы то	1	1
139	отказ от	1	1
140	истории в	1	1
141	жизни с	1	1
142	от них	1	1
143	если в	1	1
144	с которыми	1	1
145	присутствует в	1	1
146	в новом	1	1
147	тогда как	11	1
148	не просто	1	1
149	крайней мере	1	1
150	мире и	3	1
151	в утверждении	2	1
152	как в	8	1
153	и мир	1	1
154	и полное	1	1
155	в своем	5	1
156	все же	6	1
157	но с	1	1
158	себя с	2	1
159	уже сказано	1	1
160	и так	1	1
161	со своей	1	1
162	в самом	1	1
163	в которой	1	1
164	имеет своим	1	1
165	в целом	2	1
166	счастья и	1	1
167	в этой	4	1
168	раскрытия тайны	1	1
169	же и	1	1
170	им в	1	1
171	человеке и	1	1
172	я в	5	1
173	личности но	1	1
174	жизнь как	1	1
175	но прежде	1	1
