N	2gram	Losev_Vlad_1	Problema
1	и в	31	44
2	вовсе не	5	37
3	и не	17	35
4	не есть	1	35
5	то есть	3	34
6	может быть	6	28
7	потому что	11	25
8	не просто	1	23
9	то что	18	23
10	в том	11	21
11	только в	9	19
12	а не	1	18
13	в этом	14	17
14	также и	10	16
15	даже и	9	16
16	для нас	4	16
17	сказать что	7	16
18	и то	10	14
19	не только	24	14
20	и даже	15	14
21	и т	2	13
22	то же	6	13
23	т д	2	13
24	не в	5	13
25	но в	12	12
26	том что	14	12
27	так что	10	12
28	отнюдь не	3	10
29	так и	6	10
30	как и	4	10
31	тем не	2	10
32	не менее	2	10
33	некоторого рода	1	10
34	у нас	6	10
35	но и	19	10
36	в нем	4	9
37	и с	14	9
38	это не	1	9
39	и тем	1	9
40	в то	8	9
41	и это	2	9
42	никак не	4	9
43	в его	12	9
44	что и	5	9
45	что он	12	9
46	как нечто	1	9
47	так как	8	9
48	в данном	1	9
49	же самое	1	9
50	таким образом	3	9
51	и от	5	9
52	во всяком	2	9
53	в себе	4	8
54	он не	10	8
55	было бы	2	8
56	ни в	2	8
57	но это	3	8
58	и вообще	4	8
59	есть нечто	1	8
60	как раз	7	8
61	связи с	1	8
62	как мы	9	8
63	здесь не	3	8
64	того что	2	8
65	а именно	2	8
66	что же	5	8
67	что мы	2	8
68	что в	14	8
69	это и	2	7
70	мы не	1	7
71	в связи	3	7
72	на самом	1	7
73	все эти	3	7
74	мы должны	2	7
75	указывает на	2	7
76	с ним	5	7
77	и что	6	7
78	с другой	3	7
79	уже не	3	7
80	еще и	7	7
81	не может	6	7
82	и потому	6	7
83	в целом	3	6
84	все же	3	6
85	и к	6	6
86	о том	11	6
87	и если	5	6
88	то ни	1	6
89	ясно что	2	6
90	но если	1	6
91	но только	3	6
92	никогда не	9	6
93	можно сказать	6	6
94	и только	1	6
95	всяком случае	2	6
96	мы можем	1	6
97	такого рода	4	6
98	в виде	3	6
99	жизни и	5	6
100	и есть	1	5
101	едва ли	3	5
102	есть не	1	5
103	еще не	2	5
104	значение и	1	5
105	за пределы	3	5
106	что они	3	5
107	в своем	4	5
108	хотя и	4	5
109	в нашем	4	5
110	тоже не	1	5
111	с тем	2	5
112	и сам	6	5
113	точки зрения	2	5
114	в своей	4	5
115	тем самым	2	5
116	как о	1	5
117	и его	7	5
118	и вполне	1	5
119	и о	2	5
120	которое мы	1	5
121	в ней	1	5
122	должны сказать	1	5
123	и здесь	3	5
124	что здесь	1	5
125	с той	1	5
126	только на	3	5
127	то и	2	5
128	в конце	9	5
129	не было	5	5
130	так же	1	5
131	как в	3	5
132	да и	4	5
133	этого слова	1	5
134	все это	5	5
135	собственно говоря	3	5
136	а в	9	5
137	с ней	1	5
138	другой стороны	3	5
139	в таком	1	5
140	не что	1	4
141	не имеют	1	4
142	мы уже	7	4
143	время как	1	4
144	что иное	1	4
145	но даже	2	4
146	он сам	2	4
147	иное как	1	4
148	бы то	1	4
149	в чем	2	4
150	но как	5	4
151	тут же	7	4
152	и вовсе	1	4
153	то время	2	4
154	при этом	2	4
155	же касается	4	4
156	заключается в	1	4
157	на первый	2	4
158	и без	1	4
159	тому что	1	4
160	раз и	3	4
161	дело в	4	4
162	и притом	3	4
163	только с	1	4
164	есть только	1	4
165	всякого рода	2	4
166	что даже	1	4
167	ни с	4	4
168	тем что	2	4
169	же деле	1	4
170	нас в	1	4
171	на этот	6	4
172	самом же	1	4
173	или в	1	4
174	а также	5	4
175	совершенно не	2	4
176	в каком	2	4
177	отношения к	1	3
178	то в	1	3
179	и больше	1	3
180	часто бывает	1	3
181	значит и	1	3
182	это же	1	3
183	но не	3	3
184	в настоящем	1	3
185	кроме того	7	3
186	и как	4	3
187	в самом	2	3
188	в этой	4	3
189	говорят о	1	3
190	на то	5	3
191	пушкина и	1	3
192	конце концов	3	3
193	свою собственную	1	3
194	что у	4	3
195	содержит в	1	3
196	одно и	1	3
197	но все	1	3
198	об этом	7	3
199	с другими	1	3
200	но уже	1	3
201	о которых	1	3
202	и тогда	1	3
203	что такое	2	3
204	но эта	1	3
205	и очень	3	3
206	необходимо сказать	2	3
207	в таких	1	3
208	иной раз	6	3
209	на себе	1	3
210	чем не	2	3
211	ничего не	3	3
212	и такие	2	3
213	только еще	1	3
214	для его	2	3
215	она не	1	3
216	самый настоящий	1	3
217	с самим	1	3
218	если бы	1	3
219	уж во	1	3
220	в порядке	1	3
221	или как	1	3
222	во всей	1	3
223	не мешает	1	3
224	вся эта	3	3
225	в качестве	6	3
226	самом деле	1	3
227	которые мы	1	3
228	уже в	7	3
229	а это	2	3
230	а то	1	3
231	этот раз	4	3
232	для него	7	3
233	случае не	1	3
234	жизни а	1	3
235	что для	4	3
236	прежде всего	1	3
237	именно так	2	3
238	его как	1	3
239	подобного рода	1	3
240	жизнь в	2	3
241	если не	3	3
242	с первого	2	3
243	в тех	2	3
244	самого себя	1	3
245	отдельно от	1	3
246	с этой	1	3
247	в заключение	1	3
248	это уже	1	3
249	говоря никогда	1	3
250	она уже	1	3
251	и все	4	3
252	и ни	2	3
253	тем более	2	3
254	ни к	1	3
255	хотя бы	2	3
256	петра i	1	3
257	ни было	1	3
258	же в	1	3
259	но вот	1	3
260	из этого	2	3
261	и другие	1	3
262	к тому	3	3
263	того же	6	2
264	столько же	1	2
265	только потому	1	2
266	и до	2	2
267	почти всегда	1	2
268	именно здесь	1	2
269	мы имеем	1	2
270	каком случае	1	2
271	том виде	1	2
272	в некотором	1	2
273	мы и	4	2
274	с большим	1	2
275	литературы и	1	2
276	не был	5	2
277	нам представляется	3	2
278	во всех	1	2
279	бы она	1	2
280	совсем не	4	2
281	то он	6	2
282	мы будем	2	2
283	него с	1	2
284	мы сейчас	7	2
285	дает нам	1	2
286	когда он	5	2
287	на нас	1	2
288	даже просто	1	2
289	себе не	1	2
290	не очень	5	2
291	еще на	2	2
292	в которой	4	2
293	не будем	2	2
294	он в	3	2
295	всей его	2	2
296	вернуться к	1	2
297	время и	2	2
298	из него	1	2
299	такого же	1	2
300	что все	2	2
301	художественно и	1	2
302	нас выше	1	2
303	для них	1	2
304	чего бы	1	2
305	у с	3	2
306	на основании	2	2
307	он и	6	2
308	для чего	1	2
309	жизни но	1	2
310	нисколько не	2	2
311	в этих	1	2
312	первый план	2	2
313	в котором	6	2
314	в их	1	2
315	что вся	1	2
316	не столько	2	2
317	бы мы	1	2
318	от его	1	2
319	мы теперь	1	2
320	заставляет нас	1	2
321	и более	1	2
322	для нее	2	2
323	об ее	1	2
324	в отношении	3	2
325	таких случаях	1	2
326	с которой	1	2
327	с теми	1	2
328	дело не	2	2
329	то чего	1	2
330	и сама	1	2
331	но что	3	2
332	и всегда	3	2
333	не имели	2	2
334	что их	1	2
335	и по	8	2
336	и после	1	2
337	со своим	5	2
338	и искусства	1	2
339	а мы	1	2
340	в стихотворении	1	2
341	и за	2	2
342	для себя	2	2
343	больше ничего	1	2
344	самого же	1	2
345	с ее	1	2
346	настоящее время	1	2
347	только то	1	2
348	это можно	3	2
349	же однако	1	2
350	что дело	2	2
351	разного рода	6	2
352	жизнь и	3	2
353	мы читаем	2	2
354	в настоящее	1	2
355	некотором отношении	1	2
356	о ней	1	2
357	все дело	1	2
358	искусства и	1	2
359	не стоит	1	2
360	на одно	1	2
361	это было	6	2
362	и во	1	2
363	природы и	1	2
364	очень мало	2	2
365	и можно	2	2
366	человеческую жизнь	1	2
367	для самого	1	2
368	но тут	1	2
369	но с	1	2
370	сразу же	1	2
371	который в	1	2
372	по мнению	1	2
373	никак нельзя	2	2
374	она ни	1	2
375	с одной	1	2
376	себя в	4	2
377	и у	4	2
378	в начале	3	2
379	из них	2	2
380	в известной	1	2
381	друг друга	1	2
382	между прочим	11	2
383	от того	1	2
384	к толстого	15	2
385	нет нужды	1	2
386	гораздо больше	1	2
387	даже не	2	2
388	именно в	1	2
389	а с	5	2
390	только к	3	2
391	он только	1	2
392	мы скажем	1	2
393	человеческой жизни	1	2
394	о чем	1	2
395	когда она	1	2
396	в частности	2	2
397	вместе с	3	2
398	и особенно	4	2
399	как это	7	2
400	из которых	1	2
401	по своему	3	2
402	он будет	2	2
403	по существу	2	2
404	сравнении с	1	2
405	о его	2	2
406	ничего кроме	1	2
407	пока еще	2	2
408	и для	2	2
409	котором он	1	2
410	в результате	2	2
411	а к	22	2
412	от него	2	2
413	у них	1	2
414	бы в	1	2
415	только что	2	2
416	в сравнении	1	2
417	по поводу	12	2
418	как на	2	2
419	несколько десятков	1	1
420	одним из	2	1
421	мы имели	1	1
422	чего не	1	1
423	и гораздо	1	1
424	то самое	1	1
425	те времена	5	1
426	той же	2	1
427	и ничего	1	1
428	на первом	2	1
429	что если	1	1
430	в семье	3	1
431	вопрос о	1	1
432	из главнейших	1	1
433	нам в	1	1
434	реальной жизнью	1	1
435	почти все	1	1
436	который был	2	1
437	которого мы	1	1
438	не вполне	1	1
439	и он	3	1
440	не нужно	1	1
441	и на	3	1
442	ней как	1	1
443	мысли и	4	1
444	выдвинуть на	1	1
445	то мы	3	1
446	видели что	1	1
447	он говорит	2	1
448	у н	1	1
449	жить и	1	1
450	в сторону	1	1
451	ответ на	2	1
452	а и	1	1
453	себе и	1	1
454	и приводим	1	1
455	другое и	1	1
456	и речи	3	1
457	один и	2	1
458	относится к	1	1
459	которые не	1	1
460	окончания университета	1	1
461	в истории	4	1
462	его на	2	1
463	вот эта	1	1
464	его больше	1	1
465	все великие	1	1
466	более или	3	1
467	и хотя	1	1
468	в этот	4	1
469	этого человека	1	1
470	из жизни	1	1
471	многих из	1	1
472	сказать о	1	1
473	но который	1	1
474	так или	1	1
475	из этих	2	1
476	и и	7	1
477	учение о	2	1
478	то обстоятельство	2	1
479	соловьев и	4	1
480	вообще а	1	1
481	и тот	2	1
482	заключение мы	1	1
483	но его	2	1
484	тому же	2	1
485	как он	4	1
486	все человеческие	1	1
487	но на	3	1
488	еще одна	1	1
489	у а	1	1
490	него были	1	1
491	на его	3	1
492	например такие	1	1
493	т ii	3	1
494	а скорее	1	1
495	о которой	3	1
496	уже видели	1	1
497	степени но	1	1
498	и когда	1	1
499	этого вопроса	1	1
500	не к	1	1
501	однако он	1	1
502	том чтобы	2	1
503	новое и	1	1
504	чтобы в	1	1
505	его от	1	1
506	так например	2	1
507	что она	2	1
508	именно это	1	1
509	говоря в	1	1
510	это конечно	3	1
511	от нее	2	1
512	здесь мы	3	1
513	однако все	1	1
514	этим самым	1	1
515	и литературы	1	1
516	а когда	1	1
517	них не	1	1
518	дела тоже	1	1
519	этого мы	1	1
520	лишь в	2	1
521	везде и	1	1
522	в плохих	1	1
523	отца и	3	1
524	быть не	1	1
525	именно что	1	1
526	в жизни	3	1
527	этом мы	1	1
528	в них	2	1
529	ничего о	1	1
530	далеко не	1	1
531	одному тому	1	1
532	дела и	1	1
533	со своими	3	1
534	в своих	5	1
535	которой он	5	1
536	сходство но	1	1
537	мы хотели	3	1
538	бы указать	1	1
539	духовной жизни	1	1
540	после этого	1	1
541	и того	1	1
542	со всей	1	1
543	или менее	3	1
544	которую он	2	1
545	во время	3	1
546	нас ведь	1	1
547	к тем	1	1
548	от своего	1	1
549	и поскольку	1	1
550	это делает	2	1
551	на месте	1	1
552	глубокое впечатление	1	1
553	она в	1	1
554	пушкина с	1	1
555	на свою	3	1
556	представление о	1	1
557	не как	1	1
558	знаем что	2	1
559	относились к	1	1
560	однако от	1	1
561	и той	1	1
562	представлений о	1	1
563	но он	5	1
564	и совсем	1	1
565	без всяких	1	1
566	том и	1	1
567	и почти	2	1
568	вместе со	1	1
569	даже в	2	1
570	и вся	1	1
571	что с	2	1
572	после такого	1	1
573	вплоть до	1	1
574	деле это	1	1
575	а а	4	1
576	хотели бы	3	1
577	правда в	1	1
578	и вместо	1	1
579	которого он	2	1
580	о них	1	1
581	одной и	1	1
582	того чтобы	2	1
583	останавливаться только	1	1
584	него долго	1	1
585	только не	1	1
586	концов и	1	1
587	того и	2	1
588	и никогда	2	1
589	у л	1	1
590	к ней	4	1
591	целое в	1	1
592	очень близок	1	1
593	во всем	4	1
594	на него	3	1
595	вместо этого	1	1
596	в лунную	1	1
597	до того	1	1
598	целом и	1	1
599	хорошо что	1	1
600	не столь	1	1
601	же тут	1	1
602	обстоятельство что	2	1
603	не заинтересованного	1	1
604	если у	1	1
605	с разными	1	1
606	прямо говорит	1	1
607	не могут	1	1
608	и часто	1	1
609	мало чем	1	1
610	будет прав	1	1
611	для такого	1	1
612	этого и	1	1
613	здесь под	1	1
614	совместно с	1	1
615	и свое	2	1
616	в очень	2	1
617	что об	1	1
618	только одну	1	1
619	всегда в	1	1
620	некоторой степени	1	1
621	из всего	1	1
622	факт что	1	1
623	внимание на	1	1
624	на нем	1	1
625	всего этого	1	1
626	будет сказать	1	1
627	мы перешли	1	1
628	лунную ночь	1	1
629	всегда были	1	1
630	и самого	1	1
631	в дальнейшем	8	1
632	он сначала	1	1
633	особенно в	1	1
634	мы приведем	2	1
635	глубоко и	2	1
636	можно только	1	1
637	а все	1	1
638	но у	1	1
639	строго говоря	1	1
640	поэтому в	1	1
641	в эпоху	1	1
642	образом в	2	1
643	больше чем	2	1
644	и нужно	1	1
645	и деятельности	1	1
646	часто и	2	1
647	произведения как	1	1
648	является весьма	1	1
649	но к	1	1
650	и поэтому	1	1
651	но мы	2	1
652	они ничего	1	1
653	особого рода	2	1
654	там же	13	1
655	все в	1	1
656	то эта	1	1
657	будем называть	1	1
658	связь между	1	1
659	истории в	1	1
660	которой мы	2	1
661	хотя у	1	1
662	тоже только	1	1
663	весьма близким	1	1
664	который и	1	1
665	действительно в	1	1
666	по разным	1	1
667	даже для	1	1
668	видно что	5	1
669	что бы	1	1
670	вида и	1	1
671	весьма красочно	1	1
672	условия для	1	1
673	как самостоятельную	1	1
674	оказался в	2	1
675	в литературе	1	1
676	можно отметить	1	1
677	писателя и	1	1
678	конце своей	1	1
679	дело с	1	1
680	и действительно	3	1
681	живые существа	1	1
682	и весьма	2	1
683	он уже	4	1
684	самые разнообразные	1	1
685	их жизни	1	1
686	с молодыми	1	1
687	тоже плохо	1	1
688	еще от	1	1
689	от них	1	1
690	заметим что	1	1
691	со всеми	1	1
692	ради которого	1	1
693	для всех	1	1
694	или не	1	1
695	свидетельствует о	3	1
696	и других	2	1
697	по всему	1	1
698	тоже в	3	1
699	этом в	1	1
700	в одном	1	1
701	как его	1	1
702	у него	15	1
703	делать из	1	1
704	потому его	1	1
705	никуда не	2	1
706	них мы	1	1
707	дальше в	2	1
708	заметить что	1	1
709	имеется еще	1	1
710	не хотел	1	1
711	ее на	1	1
712	для того	2	1
713	из множества	2	1
714	нами не	1	1
715	а потом	1	1
716	что на	2	1
717	не хочет	1	1
718	или иначе	1	1
719	иначе но	1	1
720	сама с	1	1
721	не прав	1	1
722	же о	2	1
723	мы еще	1	1
724	читаем о	1	1
725	или о	2	1
726	себя и	1	1
727	что не	1	1
728	воспоминания о	1	1
729	перешли к	1	1
730	а главное	1	1
731	обратить внимание	2	1
732	месте и	1	1
733	нужно сказать	1	1
734	думать и	1	1
735	и стал	3	1
736	есть такого	1	1
737	поскольку она	1	1
738	которых мы	1	1
739	а наоборот	1	1
740	до конца	1	1
741	и далее	1	1
742	с которым	2	1
743	однако и	1	1
744	было сказано	2	1
745	без которых	1	1
746	их как	1	1
747	скажем несколько	1	1
748	на который	1	1
749	если это	1	1
750	типа с	1	1
751	уже давно	1	1
752	начиная с	2	1
753	перейти в	1	1
754	не одно	1	1
755	к своему	3	1
756	в брак	1	1
757	в изображении	1	1
758	одной стороны	1	1
759	что за	1	1
760	который мы	1	1
761	однако эти	1	1
762	с некоторыми	1	1
763	смысле этого	1	1
764	будет заметить	1	1
765	хотя с	1	1
766	обязанности и	1	1
767	ней не	1	1
768	есть тот	1	1
769	указанием на	1	1
770	для тех	2	1
771	действительность в	1	1
772	как предмет	1	1
773	всегда будут	1	1
774	ведь и	1	1
775	изолированной форме	1	1
776	остается в	1	1
777	близкий к	1	1
778	в более	1	1
779	указать на	2	1
780	жизни когда	1	1
781	не существует	1	1
782	не прямо	1	1
783	представляется что	1	1
784	об отношении	1	1
785	о котором	2	1
786	но отнюдь	1	1
787	в те	8	1
788	и самым	1	1
789	не с	1	1
790	у которого	1	1
791	его уже	1	1
792	несмотря на	4	1
793	научной или	1	1
794	вести себя	1	1
795	хотя в	1	1
796	а н	2	1
797	а во	1	1
798	по одному	1	1
799	раз именно	1	1
800	одновременно и	1	1
801	значение не	1	1
802	были и	1	1
803	д в	1	1
804	мысли но	1	1
805	об этих	3	1
806	к другим	1	1
807	к этой	2	1
808	вполне понятно	1	1
809	ее в	1	1
810	к этому	6	1
