N	2gram	Tiupa_Narr_1	Psycholo
1	то что	9	44
2	и в	11	33
3	в этом	12	28
4	как бы	6	25
5	все время	1	24
6	потому что	5	24
7	для того	3	23
8	том что	7	22
9	того чтобы	4	22
10	может быть	15	22
11	что в	3	21
12	в том	8	21
13	о том	4	20
14	что он	3	20
15	и мы	1	15
16	только что	2	15
17	как это	3	14
18	что это	1	13
19	таким образом	1	13
20	то есть	9	13
21	так же	1	13
22	и не	23	13
23	все это	1	13
24	сказать что	2	13
25	самом деле	3	12
26	в самом	6	12
27	к тому	6	12
28	и все	3	12
29	так как	1	12
30	он не	3	11
31	на то	2	10
32	что она	1	10
33	если бы	7	10
34	в его	6	10
35	как она	2	10
36	не может	8	10
37	то же	8	9
38	в этой	6	9
39	по себе	4	9
40	как раз	6	9
41	в конце	2	8
42	как будто	3	8
43	для этого	1	8
44	в рассказе	8	8
45	вместе с	2	8
46	в своем	3	7
47	раз в	2	7
48	не только	31	7
49	в нем	4	7
50	и только	2	7
51	до конца	2	7
52	когда он	1	7
53	для нас	1	7
54	и т	1	6
55	на самом	1	6
56	в сущности	2	6
57	в ней	4	6
58	перед нами	5	6
59	в себе	6	6
60	и вот	2	6
61	во время	1	6
62	точки зрения	5	6
63	что эта	1	6
64	тому что	1	6
65	же самое	2	6
66	никак не	2	6
67	это не	3	6
68	у него	7	6
69	а не	13	6
70	что мы	2	6
71	это и	1	5
72	мы уже	1	5
73	полагает что	1	5
74	мы не	3	5
75	в целом	3	5
76	и на	5	5
77	о смерти	2	5
78	с этим	1	5
79	все же	4	5
80	целый ряд	1	5
81	и как	3	5
82	как он	1	5
83	ясно что	1	5
84	как и	13	5
85	нисколько не	1	5
86	никогда не	4	5
87	и его	10	5
88	и совершенно	1	5
89	мы будем	1	5
90	казалось бы	2	5
91	с ним	2	5
92	что для	1	5
93	мы можем	2	5
94	связь с	1	5
95	разговора с	1	5
96	и есть	1	4
97	той же	1	4
98	в которой	1	4
99	не то	1	4
100	говорит о	1	4
101	что автор	1	4
102	могла бы	1	4
103	не будет	2	4
104	это было	2	4
105	с тем	1	4
106	и уже	1	4
107	слова и	1	4
108	в своей	5	4
