N	2gram	Berdyaev_M_2	Problema
1	и в	46	30
2	в своей	5	22
3	не только	18	18
4	то что	5	18
5	в этом	20	17
6	том что	4	17
7	людей и	3	13
8	но и	15	13
9	потому что	12	13
10	также и	4	12
11	о том	3	12
12	в его	5	12
13	в том	3	12
14	и не	18	12
15	так что	2	11
16	в своем	8	11
17	у него	22	11
18	в этой	7	10
19	точки зрения	2	10
20	на земле	8	9
21	но в	10	9
22	только в	3	9
23	и все	5	9
24	сказать что	3	9
25	хотя и	2	8
26	с точки	1	8
27	в конце	5	8
28	как и	13	7
29	не в	9	7
30	никогда не	18	7
31	связи с	2	7
32	у нас	11	7
33	так и	4	7
34	что он	7	7
35	может быть	21	7
36	вместе с	2	7
37	и на	3	6
38	и как	1	6
39	в нем	22	6
40	его в	3	6
41	можно найти	1	6
42	и его	5	6
43	и что	2	6
44	что и	4	6
45	уже не	4	6
46	так как	8	6
47	с другой	1	6
48	прежде всего	12	6
49	как бы	8	6
50	и для	7	6
51	конце концов	1	6
52	а в	2	6
53	и то	1	5
54	для себя	1	5
55	в которой	2	5
56	и с	3	5
57	с тем	1	5
58	еще в	2	5
59	но он	11	5
60	того как	3	5
61	людей в	2	5
62	что у	4	5
63	и у	1	5
64	а не	13	5
65	не может	15	5
66	так же	6	5
67	в самом	5	5
68	что в	4	5
69	человека и	7	4
70	того же	1	4
71	и он	11	4
72	и к	7	4
73	в себе	10	4
74	но все	1	4
75	же не	1	4
76	об этом	1	4
77	было бы	1	4
78	ни в	3	4
79	не мог	3	4
80	не так	3	4
81	любви и	3	4
82	как о	1	4
83	тогда когда	2	4
84	свободы и	4	4
85	в трагедии	3	4
86	все еще	1	4
87	и сам	1	4
88	нас в	2	4
89	а с	1	4
90	жизни в	3	4
91	из этого	1	4
92	смысле слова	3	3
93	в ней	11	3
94	и самого	3	3
95	он сам	6	3
96	иное как	3	3
97	в ее	1	3
98	совсем не	5	3
99	только тогда	1	3
100	что они	3	3
101	от этого	2	3
102	он в	3	3
103	бы не	2	3
104	поскольку в	1	3
105	он не	10	3
106	страдания и	3	3
107	в другом	1	3
108	всю свою	1	3
109	не всегда	2	3
110	нас не	2	3
111	в отношении	5	3
112	в русской	6	3
113	что иное	3	3
114	в самой	1	3
115	как будто	2	3
116	в духе	5	3
117	он видит	1	3
118	жизнь и	4	3
119	в эпоху	1	3
120	с ним	3	3
121	только и	4	3
122	после того	2	3
123	и который	1	3
124	а также	1	3
125	все в	1	3
126	к нему	2	3
127	и хочет	1	3
128	все время	2	3
129	того что	6	3
130	тот же	2	3
131	и тем	1	3
132	для них	1	3
133	для того	5	3
134	и никогда	3	3
135	жизнь в	6	3
136	мира в	1	3
137	видит в	1	3
138	а потом	1	3
139	этой трагедии	1	3
140	еще более	2	3
141	не что	3	3
