N	2gram	Medvedev_F_1	Narrotol
1	не только	7	26
2	а не	10	17
3	тогда как	1	15
4	но и	7	15
5	и не	20	14
6	при этом	5	14
7	в том	6	14
8	в этом	15	13
9	и в	24	13
10	том что	1	13
11	состоит в	1	12
12	в частности	4	11
13	только в	2	11
14	может быть	14	10
15	в данном	1	10
16	так и	18	9
17	а в	6	9
18	сводится к	3	9
19	к тому	3	9
20	своего рода	1	9
21	в себе	3	8
22	не может	16	8
23	не в	8	8
24	то что	8	8
25	не сводится	2	7
26	все же	3	6
27	данном случае	1	6
28	можно сказать	1	6
29	прежде всего	22	6
30	в жизни	3	6
31	вслед за	1	6
32	жизни в	2	6
33	того что	5	6
34	никогда не	4	6
35	и к	4	6
36	ничего не	2	6
37	со стороны	5	6
38	в его	23	6
39	у него	1	6
40	но в	5	6
41	а также	1	6
42	как бы	6	6
43	в своем	11	6
44	в форме	1	5
45	место в	7	5
46	отношению к	4	5
47	таким образом	13	5
48	точки зрения	16	5
49	тем самым	3	5
50	в нем	14	5
51	в отличие	1	5
52	хотя и	1	5
53	по отношению	4	5
54	на него	2	5
55	как в	8	5
56	в той	1	5
57	отличие от	1	5
58	в то	9	5
59	тем не	1	5
60	не столько	1	5
61	далеко не	1	5
62	одной стороны	4	5
63	и тем	1	5
64	в котором	1	5
65	с одной	4	5
66	он не	3	5
67	с другой	5	5
68	что он	3	5
69	в другом	1	4
70	как и	11	4
71	в литературе	5	4
72	жизни и	7	4
73	не менее	11	4
74	и все	6	4
75	с ним	2	4
76	как это	6	4
77	в своей	11	4
78	в ее	8	4
79	для него	3	4
80	то же	10	4
81	и уже	1	4
82	отнюдь не	6	4
83	в силу	1	4
84	уже не	2	4
85	если бы	4	4
86	в этой	6	4
87	как у	1	4
88	в мире	4	4
89	что в	4	4
90	у нее	1	4
91	же в	3	4
92	не является	1	4
93	мира в	2	4
94	перед нами	1	4
95	все эти	6	3
96	как к	3	3
97	же время	8	3
98	о ней	1	3
99	что они	1	3
100	одна из	2	3
101	как раз	2	3
102	не следует	1	3
103	того чтобы	1	3
104	того или	2	3
105	он является	1	3
106	или даже	1	3
107	по своей	1	3
108	в итоге	1	3
109	но не	3	3
110	между собой	1	3
111	с этой	4	3
112	особое место	1	3
113	этом отношении	1	3
114	между тем	2	3
115	это не	2	3
116	к ней	2	3
117	и даже	3	3
118	и его	10	3
119	в целом	6	3
120	к его	1	3
121	сказать что	1	3
122	мира и	1	3
123	один из	3	3
124	нам в	1	3
125	в слове	1	3
126	характер и	1	3
127	едва ли	1	3
128	представить себе	1	3
129	так сказать	3	3
130	и для	1	3
131	внутренней речи	1	3
132	тому что	1	3
133	с его	4	3
134	в состав	1	3
135	или иного	3	3
136	самом деле	6	3
137	а как	2	3
138	или иной	1	3
139	для других	2	3
140	и по	1	3
141	ней в	1	2
142	и здесь	6	2
143	бы в	3	2
144	для нас	1	2
145	чтобы в	1	2
146	еще не	6	2
147	все те	1	2
148	в обоих	1	2
149	говорить о	1	2
150	но он	1	2
151	было ясно	1	2
152	в виде	1	2
153	эти два	1	2
154	в душе	2	2
155	здесь не	3	2
156	т п	4	2
157	в самую	2	2
158	должна быть	7	2
159	зависит от	1	2
160	вовсе не	10	2
161	на то	1	2
162	в сознании	1	2
163	то чтобы	1	2
164	и иные	1	2
165	к которому	2	2
166	хотя бы	5	2
167	мы не	3	2
168	жизни на	1	2
169	в нашем	2	2
170	со всеми	3	2
171	не оказывается	1	2
172	мира не	1	2
173	в строгом	2	2
