N	2gram	Kanaev_Sov_1	Komedia
1	и в	7	22
2	и не	6	21
3	том что	1	13
4	таким образом	11	12
5	в том	4	12
6	так как	4	11
7	ни в	1	10
8	в самом	2	9
9	до сих	1	9
10	вместе с	4	9
11	сих пор	1	9
12	в этом	7	8
13	его в	1	8
14	в своем	1	8
15	о том	1	8
16	если бы	1	8
17	в его	2	8
18	то же	3	7
19	при этом	3	7
20	в конце	3	7
21	а в	4	7
22	в свою	2	7
23	того же	1	6
24	самом деле	2	6
25	еще не	3	6
26	в то	1	6
27	и его	1	6
28	свою очередь	2	6
29	ясно что	3	6
30	и что	2	6
31	может быть	12	6
32	к этому	1	6
33	что его	1	5
34	но в	3	5
35	не только	4	5
36	он не	1	5
37	не менее	2	5
38	же время	1	5
39	связи с	1	5
40	хотя и	1	5
41	с ним	1	5
42	к нему	1	5
43	что в	2	5
44	по отношению	1	5
45	из них	4	5
46	прежде всего	5	5
47	все это	3	5
48	в ней	1	4
49	с другой	1	4
50	нет и	4	4
51	и речи	1	4
52	отнюдь не	3	4
53	все же	3	4
54	в себе	3	4
55	что она	3	4
56	но все	2	4
57	совпадают с	1	4
58	должен был	1	4
59	несмотря на	1	4
60	точки зрения	12	4
61	не в	3	4
62	самого начала	3	4
63	у него	2	4
64	с самого	3	4
65	здесь нет	1	4
66	между собой	3	4
67	с помощью	4	4
68	не дает	2	4
69	вовсе не	1	4
70	а не	3	4
71	в связи	1	4
72	не является	1	4
73	и для	1	4
74	так же	1	4
75	идет о	1	3
76	говорить о	2	3
77	к началу	1	3
78	на них	1	3
79	с его	1	3
80	с этим	2	3
81	и к	3	3
82	тем же	2	3
83	в которой	2	3
84	в этой	3	3
85	и тот	1	3
86	как он	3	3
87	в нем	3	3
88	приводит к	2	3
89	то ни	2	3
90	дома и	1	3
91	было бы	3	3
92	все равно	1	3
93	как и	6	3
94	чем в	1	3
95	и еще	1	3
96	но если	1	3
97	том как	1	3
98	себе в	1	3
99	с точки	5	3
100	тем не	2	3
101	их в	4	3
102	не имеет	1	3
103	никогда не	1	3
104	ничего не	6	3
105	же самое	2	3
106	на это	1	3
107	одного из	1	3
108	и мы	3	3
109	одной из	1	3
110	с одной	2	3
111	в начале	1	3
112	всяком случае	2	3
113	мы можем	6	3
114	отношению к	1	3
115	и даже	2	3
116	на ее	1	3
117	на которые	1	3
118	на этот	2	3
119	один из	1	3
120	не может	17	3
121	конечно не	1	3
122	одной стороны	1	3
123	в течение	1	3
124	как бы	4	3
125	в целом	4	3
126	теперь же	2	3
127	не знает	1	3
128	все что	1	3
129	в какой	1	3
130	во всяком	2	3
131	человека и	1	2
132	такое же	1	2
133	здесь и	1	2
134	в и	2	2
135	мы не	9	2
136	представление о	1	2
137	бы то	1	2
138	во всех	1	2
139	конечном счете	1	2
140	отличие от	2	2
141	этой группы	1	2
142	что произошло	1	2
143	стороны и	1	2
144	в результате	6	2
145	не приходится	1	2
146	только один	2	2
147	ни было	1	2
148	и если	1	2
149	на его	2	2
150	человека в	1	2
151	а затем	1	2
152	в мире	1	2
153	из всех	1	2
154	это не	4	2
155	и плохо	1	2
156	в развитии	4	2
157	в одном	3	2
158	что эта	1	2
159	она не	1	2
160	что с	1	2
161	к концу	1	2
