N	2gram	Tiupa_Disk_2	Russkaja
1	не может	9	22
2	и не	15	19
3	в том	8	17
4	в этом	16	17
5	и в	16	14
6	то что	5	13
7	то же	6	11
8	точки зрения	4	11
9	таким образом	1	11
10	в то	5	10
11	же время	5	10
12	но и	11	10
13	в себе	19	9
14	не только	10	9
15	том что	10	9
16	с точки	2	9
17	может быть	16	9
18	во всяком	1	9
19	прежде всего	7	8
20	как на	3	8
21	самом деле	1	7
22	отнюдь не	6	7
23	к богу	1	7
24	и с	2	7
25	в данном	7	7
26	к тому	1	7
27	о том	4	7
28	самого себя	1	7
29	ни к	5	7
30	к которой	2	6
31	если в	1	6
32	в своем	5	6
33	в своих	6	6
34	все это	2	6
35	и для	2	6
36	что он	2	6
37	всяком случае	1	6
38	для всех	1	6
39	для него	5	6
40	а между	1	5
41	вопрос о	1	5
42	и на	5	5
43	во всех	1	5
44	в нем	7	5
45	при этом	17	5
46	он не	3	5
47	он должен	1	5
48	в своей	6	5
49	никогда не	2	5
50	потому что	4	5
51	между тем	2	5
52	и только	1	5
53	только в	3	5
54	или иной	3	5
55	себя и	1	5
56	из которых	1	5
57	а в	2	5
58	жизни в	3	5
59	и то	4	4
60	бы то	1	4
61	но не	7	4
62	себя в	6	4
63	все же	6	4
64	не в	3	4
65	в этой	4	4
66	то ни	1	4
67	его в	3	4
68	как и	16	4
69	во всем	1	4
70	не могут	1	4
71	приводит к	3	4
72	в мире	11	4
73	и т.д	1	4
74	в его	3	4
75	со стороны	10	4
76	вместе с	2	4
77	что же	2	4
78	как бы	4	4
79	жизни и	3	4
80	что в	5	4
81	сил и	1	3
82	то в	1	3
83	говорить о	2	3
84	и ни	1	3
85	еще не	6	3
86	он сам	1	3
87	из этих	3	3
88	в самом	1	3
89	ни одна	1	3
90	в другом	3	3
91	лишь в	1	3
92	несмотря на	1	3
93	должно быть	2	3
94	но если	1	3
95	одна из	1	3
96	точке зрения	1	3
97	той или	3	3
98	приходит к	1	3
99	данном случае	6	3
100	что может	1	3
101	для этого	1	3
102	сводится к	2	3
103	может не	1	3
104	при котором	2	3
105	в значительной	1	3
106	и во	1	3
107	что и	2	3
108	того что	1	3
109	одной из	1	3
110	в качестве	16	3
111	в большинстве	2	3
112	из них	3	3
113	друг друга	1	3
114	тем что	1	3
115	именно в	2	3
116	не было	3	3
117	да и	1	3
118	этом случае	2	3
119	и как	3	3
120	не есть	1	3
121	из этого	1	3
122	себя как	1	2
123	речь идет	1	2
124	к данному	1	2
125	и есть	1	2
126	должна быть	2	2
127	к чему	1	2
128	но она	3	2
129	но даже	1	2
130	в ней	2	2
131	время в	2	2
132	там и	1	2
133	по отношению	4	2
134	тогда как	11	2
135	не просто	1	2
136	друг от	1	2
137	для русской	1	2
138	и наконец	3	2
139	но в	11	2
140	все эти	3	2
141	состоит в	16	2
142	не к	2	2
143	того или	1	2
144	в глазах	1	2
145	на почве	2	2
146	этот человек	2	2
147	одному из	1	2
148	этого не	1	2
149	в этих	3	2
150	в котором	3	2
151	место в	2	2
152	в силу	1	2
153	другом и	1	2
154	это разумеется	1	2
155	и более	1	2
156	их в	2	2
157	том же	1	2
158	для нее	1	2
159	она не	1	2
160	в таких	1	2
161	как будто	3	2
162	в области	2	2
163	к себе	1	2
164	отличается от	1	2
165	указывает на	1	2
166	для себя	2	2
167	от друга	1	2
168	жизни своего	1	2
169	всех христиан	1	2
170	во главе	1	2
