N	3gram	Nazirov_Vr_1	KFilosof
1	не может быть	2	11
2	с точки зрения	2	10
3	в этом смысле	1	3
4	и в этом	1	3
5	в котором он	1	3
6	не было бы	1	3
7	в то же	4	2
8	в том что	2	2
9	то же время	4	2
10	то что я	1	2
11	тем не менее	1	2
12	в соответствии с	1	2
13	в том же	1	1
14	между прочим и	1	1
15	не только от	1	1
16	а следовательно и	1	1
17	и в то	1	1
18	но в то	2	1
19	ее и в	1	1
20	в этот момент	2	1
21	в известном смысле	1	1
22	равно как и	1	1
23	но это не	1	1
24	может быть и	1	1
25	на то что	1	1
26	а с точки	1	1
27	независимо от того	1	1
28	но в этом	1	1
29	и то что	1	1
30	во всяком случае	1	1
31	и в котором	1	1
32	и все же	5	1
33	можно говорить об	1	1
34	но и от	1	1
35	в свою очередь	1	1
