N	2gram	Trubetskoy_1	Problemy
1	и в	26	34
2	и не	8	29
3	как бы	12	27
4	что он	4	23
5	в его	5	22
6	в нем	4	19
7	может быть	10	19
8	не может	4	19
9	и все	2	19
10	как и	1	18
11	в этом	15	16
12	но в	7	16
13	и его	1	16
14	все это	6	16
15	он не	4	15
16	и с	10	15
17	прежде всего	2	15
18	то же	4	14
19	к нему	7	14
20	самом деле	1	13
21	для него	3	13
22	и к	5	12
23	в то	4	12
24	же время	2	12
25	потому что	7	12
26	но и	9	12
27	в сущности	1	11
28	то что	7	11
29	не только	10	10
30	не в	2	9
31	в отношении	6	9
32	а не	5	9
33	с самого	3	8
34	самого начала	2	8
35	никогда не	5	8
36	с ним	1	8
37	в самом	4	8
38	так же	5	8
39	о мире	1	8
40	и для	5	8
41	точки зрения	13	8
42	знает и	1	7
43	и даже	3	7
44	там где	1	7
45	этого слова	1	7
46	все же	6	7
47	что в	9	7
48	мы уже	1	6
49	и на	2	6
50	с его	2	6
51	отношение к	5	6
52	что они	1	6
53	для себя	1	6
54	так и	6	6
55	в себе	6	6
56	только в	4	6
57	с ними	1	6
58	которым он	1	6
59	отношению к	3	6
60	на них	1	5
61	он сам	1	5
62	в чем	1	5
63	по отношению	1	5
64	и наконец	2	5
65	и у	8	5
66	что это	3	5
67	но все	7	5
68	лишь в	5	5
69	с тем	18	5
70	в слове	1	5
71	в конце	6	5
72	даже в	1	5
73	это слово	1	5
74	таким образом	22	5
75	к тому	6	5
76	и что	4	5
77	что и	6	5
78	это не	1	5
79	того что	3	5
80	и так	1	5
81	так что	3	5
82	из них	7	5
83	всяком случае	6	5
84	в одном	3	5
85	и от	4	5
86	мы должны	6	5
87	хотя бы	3	5
88	а в	4	5
89	во всяком	6	5
90	он как	1	4
91	еще не	2	4
92	бы то	2	4
93	но не	8	4
94	как в	1	4
95	бы и	1	4
96	он в	2	4
97	все эти	6	4
98	на его	1	4
99	при этом	3	4
100	на этом	1	4
101	то ни	2	4
102	что все	4	4
103	в мире	5	4
104	его в	1	4
105	с другими	4	4
106	ни в	1	4
107	с точки	6	4
108	все и	1	4
109	но это	1	4
110	ничего не	1	4
111	как раз	1	4
112	его с	1	4
113	и это	2	4
114	если бы	3	4
115	и прежде	1	4
116	только на	1	4
117	в виде	4	4
118	в начале	2	4
119	в общем	8	4
120	так как	9	4
121	у него	1	4
122	с другой	8	4
123	тем что	1	4
124	вместе с	15	4
125	да и	1	4
126	как к	1	4
127	ни было	2	4
128	а между	1	3
129	в такой	1	3
130	за собой	3	3
131	так чтобы	2	3
132	в виду	2	3
133	в ней	1	3
134	что его	1	3
135	совсем не	1	3
136	в одной	1	3
137	и как	3	3
138	уже в	2	3
139	к одному	1	3
140	не как	2	3
141	их в	1	3
142	это было	1	3
143	далеко не	4	3
144	мы видели	2	3
145	должно быть	1	3
146	такой же	1	3
147	в своей	1	3
148	в котором	4	3
149	не менее	3	3
150	по крайней	5	3
151	по себе	1	3
152	что с	1	3
153	том что	7	3
154	уже говорили	1	3
155	слова с	1	3
156	с ее	1	3
157	в ее	1	3
158	для этого	2	3
159	в глаза	1	3
160	и во	1	3
161	между тем	2	3
162	крайней мере	5	3
163	быть даже	2	3
164	наконец в	2	3
165	к концу	3	3
166	в том	11	3
167	а с	7	3
168	и своего	1	3
169	эти слова	1	3
170	по своему	2	3
171	но для	1	3
172	если не	2	3
173	лишь о	1	3
174	это как	1	3
175	бы в	1	3
176	конце концов	3	3
177	но зато	1	3
178	только что	2	3
179	его к	1	3
180	только с	1	3
181	другой стороны	1	3
182	жизни и	2	3
183	от этой	1	2
184	себя как	1	2
185	он может	1	2
186	это и	1	2
187	все те	1	2
188	и этот	1	2
189	той же	1	2
190	а как	1	2
