N	2gram	Medvedev_B_1	Istorich
1	и в	1	24
2	не только	1	21
3	что в	1	13
4	все же	1	9
5	с другой	1	9
6	еще не	1	8
7	другой стороны	1	8
8	а не	1	8
9	все это	2	8
10	таким образом	1	7
11	об этом	1	6
12	так и	1	5
13	в данном	1	4
14	и не	2	4
15	одной из	1	4
16	видеть в	2	3
17	не вполне	1	3
18	кроме того	1	3
19	вопрос о	1	3
20	не все	1	3
21	его не	1	2
22	и ее	1	2
23	и на	1	2
24	и нет	1	2
25	было бы	1	2
26	имеющихся в	1	2
27	к ней	1	2
28	тем более	1	2
29	прежде всего	1	2
30	материала по	1	2
31	и о	1	2
32	необходимо отметить	1	1
33	должна быть	1	1
34	в ней	2	1
35	же не	1	1
36	стоит на	1	1
37	далеко не	1	1
38	в своей	1	1
39	и более	1	1
40	нельзя не	1	1
41	больше чем	2	1
42	как будто	1	1
43	всего в	1	1
44	можно было	2	1
45	никак не	1	1
46	и во	1	1
47	на которой	1	1
48	только одной	1	1
49	как часть	1	1
50	и потому	1	1
51	не о	1	1
52	в книге	1	1
53	некоторого единства	1	1
54	а о	1	1
55	об исторических	1	1
56	также не	1	1
