1	в то же время	3	5
2	я и его внешней	1	4
3	внутренней данности бытия я	1	4
4	бытия я и его	1	4
5	присутствия я в мире	2	4
6	стихотворении пушкина что в	1	2
7	и его внешней заданности	1	2
8	данности бытия я и	1	2
9	в той или иной	1	2
10	пушкина что в имени	2	2
11	что в имени тебе	2	2
12	слове о полку игореве	2	2
13	одного и того же	3	2
14	в слове о полку	2	2
15	роли в миропорядке судьбы	2	2
16	самоустранением фельетонного я из	1	1
17	воспринимающим сознанием мнимо героическое	1	1
18	блока скифы или маяковского	1	1
19	субъективной стороной жизни ценой	1	1
20	отделен от своей судьбы	1	1
21	приводит к усложнению сферы	1	1
22	не удовлетворясь своим законным	1	1
23	виной самозванства состоит не	1	1
24	и созидает художественную целостность	1	1
25	в единое целое представляет	1	1
26	внешняя граница личности восхищенное	1	1
27	персону с ее случайными	1	1
28	нами не как объекты	1	1
29	неумолимо приводящего к самоотрицанию	1	1
30	связаны с языком ставят	1	1
31	над субъективной стороной жизни	1	1
32	они едины судьба выражает	1	1
33	служебного долга оказывается всего	1	1
34	глядела всеми чувствами вся	1	1
35	по себе еще не	1	1
36	самозванной претензией на действительную	1	1
37	с осознания неполного совпадения	1	1
38	гиперболизированное и в сущности	1	1
39	без остатка вписывает свое	1	1
40	сама собою как это	1	1
41	революции в ее внутренней	1	1
42	совпадения с нею когда	1	1
43	кто говорит и как	1	1
44	граница личности ничтожно мала	1	1
45	в его летописных версиях	1	1
46	раз ответственность свободного выбора	1	1
47	случае мы имеем дело	1	1
48	любое произведение искусства характеризуется	1	1
49	целостности состоит в полагании	1	1
50	стороне художественного содержания к	1	1
51	этим поведением кая рана	1	1
52	шиллер в статье о	1	1
53	трагизм комизм и другие	1	1
54	этой внутренней оторванности от	1	1
55	является эстетическим освоением неполноты	1	1
56	стола и своя милыя	1	1
57	произведение искусства характеризуется тем	1	1
58	мы имеем дело не	2	1
59	сравнении с ее ролевой	1	1
60	жизни подобно аристофану который	1	1
61	с ее случайными чертами	1	1
62	трагическая ситуация есть ситуация	1	1
63	с политической точки зрения	1	1
64	если граница личностного самоопределения	1	1
65	сакральная истинность незыблемого миропорядка	1	1
66	ролевой претензией вследствие этой	1	1
67	дегероизированной системе ценностей имя	1	1
68	в дегероизированной системе ценностей	1	1
69	стать полноценной личностью тогда	1	1
70	козацкого миропорядка парадоксальное сочетание	1	1
71	души-личности и сверхличной одушевленности	1	1
72	посрамление словесное кощунство и	1	1
73	в статье о наивной	1	1
74	пустым разбуханием субъективности гегель	1	1
75	сатиры как эстетической доминанты	1	1
76	сила так в финальной	1	1
