N	2gram	Vinokur_St_2	TeoriaLi
1	не только	19	18
2	в качестве	5	17
3	тогда как	2	16
4	и не	9	16
5	а в	1	14
6	и в	29	13
7	в частности	4	13
8	так и	9	12
9	может быть	2	12
10	в этом	21	11
11	представляет собой	1	11
12	при этом	2	11
13	в том	27	11
14	но не	3	10
15	и его	6	10
16	а не	5	10
17	то же	2	9
18	в его	13	9
19	по отношению	1	8
20	такого рода	2	8
21	своего рода	5	8
22	но и	19	8
23	отношению к	1	8
24	что в	19	8
25	отличие от	2	7
26	в себе	2	7
27	том что	27	7
28	точки зрения	5	7
29	в отличие	2	7
30	в то	2	7
31	во второй	1	7
32	только в	2	7
33	как это	2	7
34	в данном	2	7
35	еще не	1	6
36	с его	2	6
37	но в	8	6
38	место в	1	6
39	в русской	5	6
40	же время	1	6
41	как бы	5	6
42	данном случае	1	5
43	в своем	9	5
44	в самом	7	5
45	он не	9	5
46	в принципе	1	5
47	как и	2	5
48	не в	4	5
49	в нем	4	5
50	в ее	2	5
51	в пределах	1	5
52	а также	2	5
53	между тем	5	5
54	не случайно	1	5
55	с другой	4	5
56	как в	3	5
57	я с	1	5
58	между ними	1	5
59	по преимуществу	1	4
60	говорить о	1	4
61	отношение к	1	4
62	хотя и	4	4
63	по пути	2	4
64	то что	11	4
65	ни в	3	4
66	в своей	7	4
67	в их	3	4
68	или менее	2	4
69	не столько	7	4
70	не менее	3	4
71	можно сказать	1	4
72	в форме	1	4
73	но он	3	4
74	в свою	1	4
75	сказать что	2	4
76	не может	2	4
77	более или	2	4
78	и то	1	3
79	например в	3	3
80	совпадает с	1	3
81	в сторону	1	3
82	и к	4	3
83	все эти	2	3
84	в этой	2	3
85	и по	3	3
86	его в	2	3
87	этом смысле	1	3
88	и сам	2	3
89	в этих	3	3
90	тем не	2	3
91	в отношении	2	3
92	никогда не	3	3
93	на меня	2	3
94	как раз	8	3
95	потому что	9	3
96	свою очередь	1	3
97	другой стороны	3	3
98	так в	1	3
99	в другом	4	3
100	и что	6	3
101	того что	5	3
102	а с	3	3
103	для него	4	3
104	на почве	2	3
105	именно в	4	3
106	и др	2	3
107	прежде всего	5	3
