N	3gram	Bakhtin_KF_1	Formalny
1	не может быть	11	10
2	с точки зрения	9	7
3	и в этом	3	5
4	то же время	2	5
5	в то же	2	5
6	во всяком случае	1	5
7	и пр и	1	4
8	вместе с тем	1	4
9	того или иного	3	4
10	можно и должно	1	3
11	на самом деле	3	3
12	и в то	1	3
13	в зависимости от	1	3
14	может быть и	1	3
15	в большинстве случаев	1	3
16	в значительной степени	1	3
17	не в том	1	3
18	в том смысле	1	3
19	для того чтобы	1	3
20	в этом смысле	3	2
21	время и пространство	4	2
22	не было и	1	2
23	как это было	1	2
24	в том случае	1	2
25	лишь постольку поскольку	1	2
26	ни на один	1	2
27	ни в чем	4	2
28	по себе а	1	2
29	в корне искажает	1	2
30	но в этом	1	2
31	мы говорим о	1	2
32	к тому что	1	2
33	в том что	2	2
34	и не в	1	2
35	там где оно	1	1
36	и ее в	1	1
37	только в единстве	1	1
38	действительности а не	1	1
39	и есть его	1	1
40	равно как и	1	1
41	в этом последнем	1	1
42	в настоящее время	1	1
43	влечет за собой	1	1
44	он не может	1	1
45	по самому своему	1	1
46	точки зрения его	1	1
47	только в том	1	1
48	и должна быть	1	1
49	со всем что	1	1
50	вследствие того что	1	1
51	во всех этих	2	1
52	полнота слова и	1	1
53	во всей его	2	1
54	а все остальное	1	1
55	в нем как	4	1
56	в противном случае	1	1
57	самого по себе	1	1
58	лишь в процессе	1	1
59	то или иное	2	1
60	это может быть	1	1
61	при таком положении	1	1
62	имеет место и	1	1
63	мы не можем	1	1
64	при данных условиях	1	1
65	иной чем в	1	1
66	не совпадает с	1	1
67	но в то	1	1
68	то что уже	1	1
69	и в его	1	1
70	и тот же	1	1
71	на задний план	1	1
72	смысле этого слова	1	1
73	не имеет места	1	1
74	при этом условии	1	1
75	а не как	1	1
76	бы то ни	2	1
77	всех своих моментах	2	1
78	мы не найдем	1	1
79	том смысле в	1	1
80	один и тот	1	1
81	не для того	1	1
82	к отказу от	1	1
83	всей его конкретной	1	1
84	не было бы	3	1
85	и смысла в	1	1
86	где оно не	1	1
87	она могла бы	2	1
88	во всех своих	3	1
89	нет подхода к	1	1
90	раз и навсегда	2	1
91	той или другой	1	1
92	не была бы	1	1
93	имеем в виду	2	1
94	в литературе о	1	1
95	и тем самым	1	1
96	в свою очередь	1	1
97	это было с	1	1
98	место и в	1	1
99	но все эти	3	1
100	ровно ничего не	1	1
101	лежит в основе	1	1
102	представляют из себя	1	1
103	в его целом	10	1
104	противном случае мы	1	1
105	тем не менее	2	1
106	и мы получим	1	1
107	а не в	2	1
108	быть к нему	1	1
109	что и в	1	1
110	должен быть абсолютно	1	1
111	и входит в	1	1
112	в чем не	4	1
