N	3gram	Nazirov_Tr_1	Problemy
1	и т п	1	9
2	сам по себе	1	5
3	то же время	5	5
4	в то же	5	5
5	и не может	1	4
6	как и все	1	4
7	в отличие от	2	4
8	не может быть	1	4
9	в самом деле	1	4
10	но в то	2	3
11	как и в	1	3
12	том что он	1	2
13	в конце концов	1	2
14	но при этом	1	2
15	тем не менее	1	2
16	но все же	2	2
17	а между тем	1	1
18	в этом мире	1	1
19	по замыслу достоевского	2	1
20	я очень хорошо	1	1
21	и даже отчасти	1	1
22	хотя бы и	1	1
23	в столкновение с	1	1
24	что он не	1	1
25	униженных и оскорбленных	16	1
26	у него нет	1	1
27	смысле этого слова	1	1
28	в связи с	1	1
29	в той же	1	1
30	все же не	1	1
31	то что он	1	1
32	во всяком случае	1	1
33	для чего же	1	1
34	вместо того чтобы	1	1
35	о том что	2	1
36	если б я	1	1
37	между этими двумя	2	1
38	голядкина в двойнике	1	1
39	так и в	3	1
40	в одном из	1	1
41	но и на	1	1
42	и он сам	1	1
43	не только не	1	1
44	ивана карамазова в	1	1
45	то и он	1	1
46	с отцом и	1	1
47	в известной степени	1	1
48	после того как	1	1
49	в том что	2	1
50	значение для понимания	1	1
