N	4gram	Vygotskiy__2	Psycholo
1	заключается в том что	4	7
2	в том случае если	1	4
3	и в самом деле	1	4
4	в том что он	1	3
5	для того чтобы показать	1	2
6	с точки зрения социальной	2	2
7	то же самое что	2	2
8	в том что в	1	2
9	представление о том что	1	2
10	все более и более	1	2
11	в том и заключается	1	2
12	для того чтобы дать	1	1
13	никогда не может быть	1	1
14	в самом деле что	1	1
15	по самому своему существу	1	1
16	все время в виду	1	1
17	в том смысле что	1	1
18	заключается в том чтобы	3	1
19	бы то ни было	1	1
20	приходит к выводу что	1	1
21	указанием на то что	1	1
22	ответ на этот вопрос	1	1
23	какого бы то ни	1	1
24	в связи с этим	1	1
25	в полном согласии с	1	1
26	а с другой стороны	1	1
27	имеют ничего общего с	1	1
28	не имеют ничего общего	1	1
29	указывает на то что	1	1
30	того чтобы показать что	1	1
31	в том что ребенок	3	1
32	точки зрения этой теории	1	1
33	точки зрения социальной психологии	2	1
34	для того чтобы вскрыть	1	1
35	в зависимости от того	1	1
36	с точки зрения этой	1	1
37	один и тот же	1	1
38	том что он не	1	1
