N	2gram	Losev_Prob_1	ViktorSh
1	конце концов	4	2
2	и в	32	2
3	том что	12	2
4	в том	9	2
5	в конце	6	2
6	ничуть не	1	1
7	и только	4	1
8	крайней мере	2	1
9	тем более	5	1
10	и почти	1	1
11	все дело	1	1
12	под влиянием	1	1
13	ни к	1	1
14	в другом	1	1
15	хотя бы	3	1
16	и не	31	1
17	все время	2	1
18	и его	3	1
19	потому что	16	1
20	я не	1	1
21	даже не	1	1
22	сводится к	1	1
23	и то	6	1
24	впрочем не	1	1
25	самом деле	6	1
26	все это	7	1
27	от других	2	1
28	по поводу	4	1
29	значит и	2	1
30	именно в	4	1
31	вещь и	1	1
32	в теории	3	1
33	в их	4	1
34	как же	3	1
35	но разве	1	1
36	теории литературы	3	1
37	поэтический акт	1	1
38	дело в	3	1
39	достаточно но	1	1
40	с большой	1	1
41	или без	1	1
42	одно и	1	1
43	стоит на	1	1
44	же все	1	1
45	ведь это	2	1
46	в которых	3	1
47	в самом	6	1
48	для них	2	1
49	что имеется	1	1
50	только в	7	1
51	то же	10	1
52	ясно что	3	1
53	так как	11	1
54	и мало	1	1
55	далеко не	5	1
56	не будем	2	1
57	но это	8	1
58	в этом	19	1
59	да и	3	1
60	имеется в	1	1
61	чем больше	4	1
62	по крайней	2	1
63	а только	5	1
64	на одном	2	1
65	тут ни	1	1
66	и заключается	2	1
67	по существу	2	1
68	к этому	1	1
69	гораздо более	2	1
70	том же	1	1
