N	3gram	Tiupa_Disk_2	RusskieA
1	в том что	6	18
2	состоит в том	2	13
3	в этом случае	2	6
4	в данном случае	6	6
5	о том что	3	4
6	в отличие от	12	3
7	не может быть	3	3
8	подобно тому как	2	3
9	тем не менее	1	2
10	тому как в	1	2
11	с одной стороны	4	2
12	в другом месте	1	1
13	том что в	1	1
14	потому что в	1	1
15	но в данном	2	1
16	в одних случаях	1	1
17	в первую очередь	2	1
18	между тем как	1	1
19	в этом отношении	4	1
20	то что в	1	1
21	по аналогии с	1	1
22	но это не	1	1
23	одна из них	1	1
24	в предыдущей главе	1	1
25	в это время	1	1
26	в применении к	1	1
27	во всяком случае	1	1
28	на первый взгляд	2	1
29	на некоторое время	1	1
30	с ней и	1	1
31	в такой же	1	1
32	данном случае мы	1	1
33	дело в том	2	1
34	с другой стороны	1	1
35	все то что	1	1
36	это еще не	2	1
37	можно сказать что	1	1
38	представление будто именно	1	1
39	в исторической перспективе	2	1
40	как и в	5	1
