N	3gram	Berdyaev_O_1	Istorich
1	и то что	1	5
2	не может быть	2	4
3	по сравнению с	1	3
4	на то что	1	3
5	о том что	1	2
6	смысле этого слова	1	2
7	он должен был	1	2
8	после того как	1	2
9	а в его	1	1
10	и он всегда	1	1
11	а в совершенно	1	1
12	и не может	1	1
13	как и все	2	1
14	и действительно в	1	1
15	потому что у	1	1
16	но и в	2	1
17	как и отец	1	1
18	о том как	1	1
19	а не только	1	1
20	в иных случаях	1	1
21	в виду не	1	1
22	не могут быть	2	1
23	не в том	1	1
24	что у него	2	1
25	что же это	2	1
26	ни к каким	1	1
27	в борьбе со	1	1
28	как будто бы	1	1
29	в этом он	2	1
30	она и не	1	1
31	но и там	1	1
32	же это за	2	1
33	в русской и	1	1
34	как и в	1	1
