N	2gram	Tiupa_Hudo_1	Istorich
1	и в	19	25
2	вместе с	1	22
3	что он	3	22
4	может быть	14	17
5	мы имеем	6	14
6	не только	16	13
7	но и	10	13
8	в его	9	12
9	так как	1	11
10	уже не	4	11
11	и не	15	11
12	в этом	11	10
13	тем что	1	10
14	и его	12	9
15	его в	2	9
16	с другой	7	9
17	таким образом	3	9
18	героя в	1	9
19	еще не	3	8
20	и на	2	8
21	все эти	2	8
22	что в	6	8
23	связи с	1	8
24	и что	3	8
25	мы видим	1	8
26	другой стороны	5	8
27	этих случаях	1	8
28	том что	8	8
29	представляет собой	10	7
30	в нем	5	7
31	а затем	1	7
32	как и	2	7
33	потому что	3	7
34	о том	2	7
35	и здесь	1	7
36	то что	4	7
37	только в	5	7
38	с одной	2	7
39	в качестве	24	7
40	превращается в	2	7
41	одной стороны	2	7
42	этом случае	1	7
43	тот кто	2	7
44	в частности	13	7
45	как в	2	6
46	это не	2	6
47	не может	7	6
48	в этих	3	6
49	не в	7	6
50	что и	2	6
51	себя в	7	6
52	прежде всего	4	6
53	могут быть	4	6
54	или в	2	6
55	в том	18	6
56	например в	3	5
57	но не	11	5
58	что это	1	5
59	здесь мы	1	5
60	входит в	4	5
61	как мы	1	5
62	так же	2	5
63	же как	1	4
64	и это	2	4
65	то же	10	4
66	в ее	5	4
67	в истории	1	4
68	в которой	2	4
69	он не	4	4
70	не как	2	4
71	что все	1	4
72	с другими	4	4
73	и тем	2	4
74	не всегда	1	4
75	тем не	3	4
76	не менее	3	4
77	в пределах	3	4
78	с ним	2	4
79	за ним	1	4
80	а именно	2	4
81	если не	1	4
82	все это	2	4
83	в связи	1	4
84	на смену	1	4
85	или же	1	3
86	в роли	3	3
87	что его	1	3
88	если в	1	3
89	герой не	3	3
90	и как	3	3
91	в целом	3	3
92	в этой	2	3
93	их в	3	3
94	на этом	1	3
95	в таких	1	3
96	в то	6	3
97	в русской	3	3
98	для того	2	3
99	представляют собой	1	3
100	того чтобы	2	3
101	в себя	2	3
102	никогда не	2	3
103	после того	1	3
104	но мы	1	3
105	к нему	3	3
106	в форме	4	3
107	в другой	1	3
108	и др	2	3
109	дает ему	1	3
110	никто не	2	3
111	в особенности	1	3
112	и пр	1	3
113	всех людей	1	3
114	в данном	4	3
115	в более	1	3
116	а в	12	3
117	в свою	3	3
118	героя и	5	3
119	они не	1	3
120	ту же	1	2
121	того же	2	2
122	одним из	1	2
123	а как	1	2
124	человека и	1	2
125	на них	1	2
126	время в	1	2
127	в различных	1	2
128	во всех	3	2
129	по отношению	9	2
130	перед нами	1	2
131	еще один	2	2
132	на то	1	2
133	и по	2	2
134	о чем	2	2
135	особенности в	1	2
136	это было	1	2
137	в это	1	2
138	он же	1	2
139	точки зрения	10	2
140	в своей	5	2
141	ее в	2	2
142	от себя	3	2
143	но он	3	2
144	по себе	2	2
145	даже в	3	2
146	таких случаях	2	2
147	а на	5	2
148	одна из	2	2
149	тем это	1	2
150	заметил что	1	2
151	это происходит	1	2
152	должен быть	1	2
153	меня в	1	2
154	а тот	1	2
155	так в	4	2
156	роль в	1	2
157	и сам	1	2
158	на нее	1	2
159	здесь как	1	2
160	об этом	2	2
161	вошел в	1	2
162	что от	1	2
163	если бы	3	2
164	означает что	1	2
165	из других	1	2
166	обратим внимание	1	2
167	можно сказать	5	2
168	же в	1	2
169	в которую	1	2
170	того что	4	2
171	в формах	2	2
172	на которой	1	2
173	то в	2	2
174	так что	1	2
175	из них	1	2
176	вовсе не	2	2
177	у него	1	2
178	со стороны	2	2
179	как у	1	2
180	до этого	1	2
181	такое же	1	2
182	говорит о	1	2
183	мы легко	2	2
184	а не	9	2
185	в лесу	1	2
186	с которым	1	2
187	один из	2	2
188	в одно	2	2
189	перейдем к	1	2
190	и потому	2	2
191	из которых	1	2
192	одновременно с	1	2
193	как бы	9	2
194	с этой	1	2
195	но для	1	2
196	и для	2	2
197	сказать что	4	2
198	к его	2	2
199	отношению к	9	2
200	жизни и	1	2
201	также и	1	1
202	перед ним	1	1
203	говорилось выше	1	1
204	на наших	2	1
205	типа так	1	1
206	и есть	1	1
207	между двумя	2	1
208	здесь и	1	1
209	нас на	1	1
210	из его	1	1
211	иного типа	1	1
212	едва ли	1	1
213	и процесс	1	1
214	той же	1	1
215	из мифа	1	1
216	превратилась в	1	1
217	именно к	1	1
218	место в	4	1
219	на колени	1	1
220	из дальнейшего	1	1
221	не вполне	2	1
222	я не	2	1
223	из того	1	1
224	что можно	3	1
225	которое в	1	1
226	все виды	1	1
227	думаю что	1	1
228	другим в	1	1
229	служит для	1	1
230	одним словом	1	1
231	но как	2	1
232	здесь также	1	1
233	не путем	1	1
234	отношение к	5	1
235	отличие от	7	1
236	чтобы служить	1	1
237	что они	1	1
238	отнюдь не	2	1
239	и я	1	1
240	как говорит	3	1
241	в одной	1	1
242	если на	1	1
243	как к	2	1
244	встрече с	1	1
245	как уже	2	1
246	говорит что	2	1
247	оказывается в	3	1
248	и к	3	1
249	над собой	1	1
250	но в	7	1
251	в противоположность	3	1
252	ним как	1	1
253	сливается с	1	1
254	во множестве	1	1
255	не упоминается	1	1
256	за это	1	1
257	он состоит	1	1
258	одном случае	1	1
259	в себе	9	1
260	во многих	1	1
261	если он	1	1
262	но на	1	1
263	что она	2	1
