N	3gram	Propp_Isto_5	Formalny
1	с точки зрения	1	14
2	не может быть	3	14
3	на самом деле	1	12
4	в то же	1	7
5	то же время	1	7
6	во всяком случае	1	6
7	и т д	18	6
8	в зависимости от	1	5
9	с другой стороны	8	5
10	в самом деле	1	4
11	подобно тому как	1	4
12	в данном случае	2	4
13	в связи с	4	4
14	для того чтобы	3	4
15	как мы знаем	1	4
16	потому что он	2	3
17	а не в	1	3
18	по отношению к	2	3
19	вместе с тем	6	3
20	в том что	2	3
21	уже знаем что	1	2
22	но уже в	1	2
23	о том как	2	2
24	в нем и	3	2
25	мы увидим что	1	2
26	в отличие от	1	2
27	мы видели что	2	2
28	в пределах одной	1	2
29	же как мы	1	2
30	тем не менее	4	2
31	то же что	1	2
32	дело не в	1	2
33	мы уже знаем	1	2
34	как мы видели	1	2
35	в пределах одного	1	2
36	сводится к следующему	1	1
37	это время в	1	1
38	другой стороны в	1	1
39	иметь в виду	1	1
40	в виду что	1	1
41	уже тогда когда	1	1
42	в его состав	1	1
43	а иногда и	1	1
44	в этом случае	7	1
45	в своей работе	1	1
46	можно утверждать что	1	1
47	себя в нем	1	1
48	но для нас	1	1
49	сам по себе	1	1
50	из того что	1	1
51	с тем что	1	1
52	но и здесь	1	1
53	только тем что	1	1
54	с этой точки	1	1
55	до сих пор	2	1
56	и тем не	1	1
57	и в других	1	1
58	что там где	1	1
59	в это время	2	1
60	т е в	3	1
61	так же как	3	1
62	но мы видели	1	1
63	не только в	2	1
64	с одной стороны	7	1
65	только один из	1	1
66	и вместе с	2	1
67	т е на	2	1
68	мере того как	1	1
69	не в том	1	1
70	и все эти	1	1
71	нее т е	1	1
72	о которых идет	1	1
73	и на этом	1	1
74	но так как	2	1
75	этой точки зрения	1	1
76	о том что	4	1
77	этих случаях особенно	1	1
78	т д их	1	1
79	что в его	1	1
80	объясняется тем что	1	1
81	с самого начала	1	1
82	но все же	4	1
83	можно сказать что	1	1
84	на то что	2	1
85	совершенно очевидно что	1	1
86	совершенно ясно в	1	1
87	в этих случаях	6	1
88	из нее т	1	1
89	в том числе	1	1
90	друг с другом	2	1
91	как и в	2	1
92	по мере того	1	1
93	которых идет речь	1	1
94	том числе и	1	1
95	мы еще не	1	1
