N	2gram	Trubetskoy_1	SlovoVZh
1	не может	22	16
2	может быть	9	14
3	точки зрения	11	14
4	как бы	4	13
5	таким образом	11	12
6	и в	14	12
7	по отношению	2	11
8	отношению к	1	11
9	и не	19	10
10	если бы	6	9
11	так как	4	9
12	прежде всего	8	8
13	творца и	1	7
14	для нас	2	7
15	в ней	2	6
16	в том	17	6
17	только в	5	6
18	при этом	5	6
19	в нем	5	6
20	должна быть	2	5
21	то же	11	5
22	можно сказать	1	5
23	отнюдь не	7	5
24	но в	2	5
25	в жизни	1	5
26	а не	2	5
27	как и	4	5
28	том что	9	5
29	никогда не	5	5
30	хотя бы	5	5
31	то что	13	5
32	на самом	6	4
33	к нему	2	4
34	в этом	17	4
35	все же	4	4
36	в самом	3	4
37	уже не	2	4
38	не только	9	4
39	ни было	1	4
40	от того	4	4
41	так и	1	4
42	с другой	1	4
43	что не	1	4
44	не в	4	4
45	его в	4	4
46	дело в	1	4
47	и является	2	4
48	и к	6	4
49	жизни и	4	4
50	и на	5	4
51	самом деле	7	3
52	в котором	2	3
53	ясно что	2	3
54	еще не	3	3
55	мы не	1	3
56	о том	7	3
57	бы то	4	3
58	но и	10	3
59	между тем	5	3
60	точка зрения	1	3
61	того что	3	3
62	быть и	2	3
63	когда он	1	3
64	и наконец	2	3
65	имеет в	1	3
66	все эти	2	3
67	только на	2	3
68	конечно не	5	3
69	в себе	9	3
70	да и	3	3
71	для него	6	3
72	он должен	5	3
73	не к	2	3
74	и по	3	3
75	то ни	4	3
76	и с	7	3
77	до сих	5	3
78	ни в	2	3
79	в некоторых	2	3
80	в своей	5	3
81	так же	2	3
82	в такой	1	3
83	тем не	1	3
84	и более	2	3
85	из этого	3	3
86	по себе	2	3
87	сих пор	5	3
88	не менее	1	3
89	все это	6	3
90	но для	2	3
91	и проч	1	3
92	и для	6	3
93	это как	1	3
94	ее и	1	3
95	с ним	2	3
96	или не	1	3
97	отношении к	2	3
98	от этой	2	2
99	как не	1	2
100	и то	4	2
101	как это	1	2
102	в себя	1	2
103	ко всем	3	2
104	те же	1	2
105	мы в	1	2
106	нас и	1	2
107	настоящее время	2	2
108	но мы	3	2
109	и что	2	2
110	между собой	5	2
111	данном случае	3	2
112	в данном	7	2
113	в его	4	2
114	что и	3	2
115	в психике	1	2
116	в своем	6	2
117	и потому	3	2
118	в настоящее	2	2
119	бы не	1	2
120	выражение в	1	2
121	тому же	1	2
122	и те	2	2
123	он не	5	2
124	не так	2	2
125	эта последняя	1	2
126	в корне	4	2
127	в зависимости	1	2
128	к ним	1	2
129	мы можем	2	2
130	общей для	1	2
131	корне противоречит	1	2
132	но все	1	2
133	на все	1	2
134	влияние на	1	2
135	с другими	1	2
136	это не	1	2
137	до известной	1	2
138	как же	1	2
139	себя и	5	2
140	зависит от	2	2
141	до конца	1	2
142	была бы	1	2
143	связь с	1	2
144	ни на	1	2
145	вместе с	4	2
146	к его	1	2
147	но не	4	2
148	место в	2	2
149	точку зрения	4	2
150	с этой	1	2
151	она не	2	2
152	с точки	9	2
153	является для	1	2
154	такой же	1	2
155	тогда когда	4	2
156	в то	10	2
157	на него	1	2
158	известной степени	1	2
159	слова но	1	2
160	и все	1	2
161	все они	3	2
