N	2gram	Voloshinov_1	formyVre
1	и в	16	46
2	в этом	9	22
3	прежде всего	9	14
4	вовсе не	1	13
5	и его	8	12
6	во всех	3	11
7	не только	7	11
8	только в	4	11
9	как бы	5	10
10	во время	3	10
11	точки зрения	8	10
12	в том	3	10
13	но в	4	10
14	мы уже	2	9
15	у него	2	9
16	но и	4	9
17	вместе с	3	9
18	и не	4	9
19	и для	2	9
20	мира и	3	9
21	то же	2	8
22	как и	2	8
23	с точки	6	8
24	для того	1	8
25	того чтобы	1	8
26	связи с	1	8
27	в его	4	8
28	в связи	1	8
29	в основном	3	8
30	жизни и	3	8
31	и на	4	7
32	так и	4	7
33	в них	2	7
34	вещей и	1	7
35	может быть	17	7
36	в одном	3	7
37	то что	3	7
38	как мы	4	6
39	еще не	5	6
40	все же	1	6
41	и наконец	4	6
42	при этом	6	6
43	человека в	1	6
44	и с	8	6
45	его в	4	6
46	в основе	3	6
47	никогда не	2	6
48	те же	3	6
49	так как	4	6
50	здесь в	1	6
51	все это	4	6
52	и все	4	6
53	но не	1	5
54	с этим	2	5
55	все эти	5	5
56	связанные с	2	5
57	он не	2	5
58	в нем	4	5
59	тела и	1	5
60	и др	3	5
61	в частности	2	5
62	в пределах	2	5
63	в смысле	1	5
64	что в	3	5
65	отношения к	3	4
66	человека и	1	4
67	в мире	1	4
68	значение и	1	4
69	что они	1	4
70	уже в	1	4
71	из этих	2	4
72	их в	3	4
73	том что	3	4
74	к себе	3	4
75	в эпоху	1	4
76	с ним	2	4
77	о том	2	4
78	его жизни	1	4
79	конечно не	6	4
80	мир в	1	4
81	с другом	1	4
82	и их	4	4
83	а не	1	4
84	отнюдь не	4	4
85	друг с	1	4
86	с этой	2	4
87	еще более	1	4
88	же в	1	4
89	жизни в	1	4
90	есть и	2	4
91	на свет	1	4
92	в виду	1	3
93	того же	2	3
94	мы еще	1	3
95	отношение к	5	3
96	нет и	2	3
97	хотя и	1	3
98	и как	3	3
99	весь мир	1	3
100	и художественного	3	3
101	в этот	2	3
102	уже не	1	3
103	та же	1	3
104	в большинстве	3	3
105	имеем в	1	3
106	и по	2	3
107	таким образом	9	3
108	связанных с	2	3
109	по всему	2	3
110	на первый	2	3
111	что было	1	3
112	вернемся к	1	3
113	на границе	2	3
114	же самое	1	3
115	к тому	1	3
116	себя и	2	3
117	на основе	2	3
118	роль в	1	3
119	прикосновения к	1	3
120	в другом	1	3
121	борьба с	1	3
122	что и	2	3
123	тот же	1	3
124	что он	2	3
125	в качестве	1	3
126	и они	1	3
127	на протяжении	2	3
128	за счет	2	3
129	большинстве случаев	3	3
130	для него	6	3
131	что на	2	3
132	и даже	4	3
133	и прежде	1	3
134	не на	2	3
135	с помощью	2	3
136	в этих	3	3
137	ее в	2	3
138	а в	3	3
139	в море	1	3
140	к этому	2	3
141	ту же	2	2
142	как его	1	2
143	и есть	3	2
144	и так	2	2
145	явления и	1	2
146	мы имеем	1	2
147	в сущности	1	2
148	говорить о	2	2
149	он был	1	2
150	первый план	1	2
151	не был	1	2
152	и т.п	2	2
153	совсем не	2	2
154	роль их	1	2
155	к ним	2	2
156	вступают в	1	2
157	и к	6	2
158	от этого	1	2
159	тон и	1	2
160	жизнь как	1	2
161	в этой	4	2
162	с одной	1	2
163	как он	1	2
164	человек не	1	2
165	о смерти	1	2
166	в корне	1	2
167	и вот	3	2
168	на этом	3	2
169	по аналогии	2	2
170	лишь в	1	2
171	с тем	1	2
172	одна и	1	2
173	очень важный	1	2
174	за свой	1	2
175	значение для	1	2
176	своей жизни	2	2
177	но эта	1	2
178	друг другу	1	2
179	по ту	4	2
180	важный момент	1	2
181	и почти	1	2
182	этот мир	1	2
183	она не	1	2
184	и всегда	1	2
185	мире и	1	2
186	этом отношении	1	2
187	в духе	1	2
188	могут быть	3	2
189	похож на	1	2
190	с телом	1	2
191	и потому	3	2
192	его рождения	1	2
193	и это	6	2
194	и о	2	2
195	чем не	3	2
196	без всякого	1	2
197	в себя	1	2
198	отсюда и	1	2
199	находится в	2	2
200	и та	1	2
201	можно сказать	4	2
202	и только	9	2
203	наконец и	1	2
204	что здесь	1	2
205	один из	2	2
206	мы видим	2	2
207	со всеми	2	2
208	и других	2	2
209	в конце	1	2
210	или иной	1	2
211	до сих	3	2
212	с другой	1	2
213	было бы	2	2
214	наконец в	1	2
215	в некоторых	1	2
216	и пр	12	2
217	у нас	1	2
218	а на	2	2
219	не знает	2	2
220	жизни но	1	2
221	на друга	2	2
222	и самый	1	2
223	не может	8	2
224	так же	2	2
225	как это	3	2
226	по своему	2	2
227	в данном	1	2
228	а потом	1	2
229	и всех	2	2
230	сих пор	3	2
231	только для	5	2
232	о его	1	2
233	друг на	2	2
234	но это	2	2
235	между ними	3	2
236	как на	1	2
237	во всяком	3	2
238	все что	4	2
239	жизнь с	1	1
240	существует только	2	1
241	говоря о	1	1
242	в дальнейшей	1	1
243	и действительно	2	1
244	мы здесь	1	1
245	и то	1	1
246	на самом	4	1
247	это и	1	1
248	еще совершенно	2	1
249	конечно с	1	1
250	на этих	2	1
251	смерть в	1	1
252	не имеют	1	1
253	со всех	1	1
254	очень широко	1	1
255	самое замечательное	1	1
256	что если	1	1
257	и момент	1	1
