N	2gram	Medvedev_U_1	VelikijI
1	и не	8	20
2	и в	14	16
3	то что	7	9
4	а не	10	7
5	и потому	1	7
6	человека и	1	6
7	не есть	2	6
8	но и	4	5
9	того что	1	5
10	все это	5	5
11	во мне	1	4
12	в его	2	4
13	в этом	7	4
14	что он	2	4
15	в нем	1	4
16	так и	1	4
17	что все	2	4
18	как и	3	4
19	что мы	2	4
20	в котором	1	4
21	в ней	1	4
22	и все	1	4
23	все что	1	4
24	и что	1	3
25	должна быть	2	3
26	хотя бы	5	3
27	с его	2	3
28	что и	2	3
29	в том	2	3
30	тот же	1	3
31	но в	3	3
32	бы и	2	3
33	они в	1	3
34	в конце	2	3
35	их в	1	3
36	в своей	3	3
37	не было	1	3
38	должно быть	1	3
39	если не	2	3
40	не в	2	3
41	но это	2	3
42	никогда не	1	3
43	превращается в	2	3
44	и для	2	3
45	что в	1	3
46	а между	2	2
47	и это	1	2
48	и то	3	2
49	мы не	2	2
50	между тем	2	2
51	нет и	1	2
52	только в	2	2
53	конечно не	4	2
54	уже не	1	2
55	не только	10	2
56	его и	2	2
57	для него	3	2
58	вот почему	7	2
59	тем что	2	2
60	это не	3	2
61	прежде всего	8	2
62	с тем	1	2
63	мы и	2	2
64	более чем	2	2
65	не могут	2	2
66	является в	2	2
67	что было	1	2
68	так много	1	2
69	почему в	1	2
70	том что	2	2
71	ее в	1	2
72	но не	2	2
73	могут быть	2	2
74	не поднимается	1	1
75	в виду	1	1
76	для себя	1	1
77	в словах	1	1
78	нем но	1	1
79	свое место	1	1
80	то же	5	1
81	их и	2	1
82	всего только	1	1
83	никогда и	1	1
84	в их	4	1
85	он был	1	1
86	бы то	3	1
87	отказ от	1	1
88	конечно это	1	1
89	все в	1	1
90	ее к	1	1
91	с которыми	1	1
92	бы в	1	1
93	крайней мере	2	1
94	его на	1	1
95	в своем	1	1
96	все же	3	1
97	могли бы	2	1
98	от смысла	1	1
99	когда нужно	1	1
100	и так	1	1
101	в самом	2	1
102	в которой	1	1
103	бы ни	1	1
104	в этой	4	1
105	в известном	1	1
106	то и	1	1
107	в виде	1	1
108	но прежде	1	1
109	или даже	1	1
110	о которой	1	1
111	перестает быть	5	1
112	и глубина	1	1
113	не для	1	1
114	но что	1	1
115	у него	1	1
116	не случайно	2	1
117	бы это	1	1
118	то ни	3	1
119	и с	2	1
120	а его	2	1
121	как возможно	1	1
122	с другой	4	1
123	и быть	1	1
124	о чем	2	1
125	него не	1	1
126	стороны в	1	1
127	же ведь	1	1
128	то есть	1	1
129	у нас	3	1
130	в которых	1	1
131	поднимается до	1	1
132	по крайней	2	1
133	поскольку он	1	1
134	это значит	1	1
135	если нет	1	1
136	смысле и	1	1
137	не существует	1	1
138	ничего не	2	1
139	того как	1	1
140	может быть	6	1
141	вообще в	1	1
142	конце концов	2	1
143	другой стороны	3	1
144	религии и	1	1
145	к этому	1	1
146	от слова	1	1
147	всего что	1	1
148	взятого в	1	1
149	в искусстве	6	1
150	в процессе	1	1
151	и эта	1	1
152	это в	1	1
153	отказаться от	1	1
154	она не	1	1
