N	3gram	Medvedev_U_1	Psycholo
1	в том что	2	17
2	в самом деле	2	11
3	не может быть	4	8
4	на то что	1	6
5	то же самое	2	6
6	до сих пор	2	5
7	в этом отношении	2	5
8	в художественном произведении	2	5
9	сам по себе	1	4
10	в данном случае	1	4
11	том что она	1	3
12	с тем что	1	3
13	в конце концов	2	3
14	никогда не может	1	3
15	само по себе	1	3
16	в конечном счете	4	3
17	это было бы	1	2
18	при таком понимании	1	2
19	и то что	2	2
20	не в том	1	2
21	бы то ни	3	2
22	в этой области	3	2
23	мы получаем от	1	2
24	то же время	3	2
25	же самое что	1	2
26	с другой стороны	3	2
27	искусство как прием	1	2
28	в то же	3	2
29	как раз обратное	1	2
30	а между тем	2	1
31	о принципах построения	1	1
32	художественное произведение как	1	1
33	о методах изучения	1	1
34	в искусстве нет	2	1
35	которые подходят к	1	1
36	имеем в виду	1	1
37	в этом смысле	2	1
38	что для него	1	1
39	образом художественное произведение	1	1
40	в этом случае	1	1
41	идет не о	1	1
42	между тем в	1	1
43	то что при	1	1
44	не было бы	1	1
45	которое мы получаем	1	1
46	на каждом шагу	2	1
47	в противном случае	2	1
48	принципах построения литературной	1	1
49	изучения литературы а	1	1
50	по крайней мере	2	1
51	построения литературной науки	2	1
52	сводится именно к	1	1
53	то что было	1	1
54	в ней не	1	1
55	и в частности	2	1
56	то ни было	3	1
57	в искусстве форма	1	1
58	а не только	1	1
59	искусстве нет содержания	2	1
60	с одной стороны	1	1
61	не могут быть	2	1
62	что этот процесс	1	1
63	не о методах	1	1
64	все же не	1	1
65	только как прием	1	1
66	а о принципах	1	1
67	друг с другом	1	1
68	литературы а о	1	1
69	более или менее	1	1
70	таким образом художественное	1	1
71	вопрос идет не	1	1
72	не впадая в	1	1
73	мы имеем в	1	1
74	и что все	1	1
75	методах изучения литературы	1	1
76	можно сказать что	1	1
77	он может быть	1	1
78	материала и формы	2	1
