N	2gram	Bakhtin_KF_1	Otkroven
1	он не	6	4
2	от него	3	2
3	для него	8	2
4	в этом	14	2
5	между добром	1	2
6	а не	17	2
7	отношение к	5	1
8	него и	1	1
9	в другом	3	1
10	есть просто	1	1
11	не совпадает	1	1
12	как и	5	1
13	его изнутри	2	1
14	также и	1	1
15	мысли и	1	1
16	он должен	1	1
17	но он	1	1
18	в душе	1	1
19	что она	1	1
20	был бы	3	1
21	уже с	1	1
22	любви к	1	1
23	ко злу	1	1
24	бы признать	1	1
25	должен был	1	1
26	него в	1	1
27	если бы	8	1
28	его и	2	1
29	и эта	2	1
30	должно быть	6	1
31	и он	1	1
32	преодолеть его	1	1
33	бытие и	3	1
34	и в	24	1
35	отношении ко	1	1
36	это не	10	1
37	но оно	1	1
38	но есть	2	1
39	к человеку	1	1
40	не есть	20	1
41	но и	9	1
42	в отношении	1	1
43	не только	5	1
44	одна из	1	1
45	и всякий	1	1
46	никогда не	5	1
47	и этим	3	1
48	его в	5	1
