N	4gram	Nazirov_Tv_1	Problemy
1	в то же время	12	5
2	мы имеем в виду	1	3
3	в преступлении и наказании	3	2
4	но в то же	4	2
5	степанчиково и его обитатели	1	1
6	дело в том что	3	1
7	с самим собой в	1	1
8	в сне смешного человека	2	1
9	в других романах достоевского	1	1
10	как в сне смешного	1	1
11	на самом же деле	1	1
12	в этом романе и	1	1
13	на пороге у дверей	1	1
14	в художественном мире достоевского	1	1
15	на том или другом	1	1
16	и в других романах	1	1
17	в романах достоевского в	1	1
18	село степанчиково и его	1	1
19	рассматривать в связи с	1	1
20	и в то же	1	1
