N	2gram	Bakhtin_Fr_8	ViktorSh
1	в книге	1	3
2	и в	56	2
3	том что	8	2
4	книге в	1	2
5	в том	13	2
6	и только	1	1
7	тем более	1	1
8	и почти	3	1
9	под влиянием	1	1
10	в другом	3	1
11	и не	9	1
12	связаны и	1	1
13	и его	12	1
14	потому что	6	1
15	один пример	1	1
16	и то	2	1
17	теснейшим образом	2	1
18	самом деле	2	1
19	другом месте	3	1
20	и т.д	3	1
21	все это	8	1
22	по поводу	1	1
23	именно в	1	1
24	главным образом	3	1
25	вещь и	1	1
26	в их	3	1
27	их как	1	1
28	дело в	2	1
29	говорили в	1	1
30	с большой	1	1
31	в частности	7	1
32	так в	1	1
33	что образы	1	1
34	речи и	3	1
35	время в	3	1
36	говоря о	1	1
37	в которых	2	1
38	в значительной	2	1
39	в самом	9	1
40	только в	9	1
41	то же	11	1
42	так как	4	1
43	этому и	1	1
44	далеко не	2	1
45	не будем	1	1
46	но это	2	1
47	в этом	14	1
48	одном и	1	1
49	на одном	2	1
50	к этому	2	1
51	гораздо более	1	1
52	образом связаны	1	1
53	том же	1	1
