N	4gram	Medvedev_F_3	SlovoVZh
1	дело в том что	1	4
2	бы то ни было	4	3
3	и по отношению к	1	3
4	то же самое справедливо	1	2
5	же самое справедливо и	1	2
6	же справедливо и для	1	1
7	в такой же степени	1	1
8	художественное произведение если же	1	1
9	мы имеем в виду	1	1
10	выражение она находит в	1	1
11	убедиться в этом достаточно	1	1
12	все более и более	1	1
13	выбор содержания и выбор	1	1
14	ни в коем случае	1	1
15	свое выражение она находит	1	1
16	в художественном произведении в	1	1
17	без того чтобы не	1	1
18	содержания и выбор формы	1	1
19	была бы разрешена если	1	1
20	чтобы убедиться в этом	1	1
21	каково бы оно ни	1	1
22	и не может быть	3	1
23	сами по себе в	1	1
24	на самом же деле	2	1
25	по себе в своей	1	1
26	в то же время	7	1
27	бы разрешена если бы	1	1
28	может опираться только на	1	1
29	в зависимости от того	1	1
30	бы оно ни было	1	1
31	каких бы то ни	1	1
32	один и тот же	1	1
33	разрешена если бы удалось	1	1
34	самое справедливо и для	1	1
35	между формой и содержанием	1	1
36	не в такой степени	1	1
37	из словаря а из	1	1
38	входит в высказывание как	1	1
39	то же время не	1	1
40	не из словаря а	1	1
41	одним и тем же	2	1
42	говорит о том что	1	1
43	какой бы то ни	1	1
44	не может быть понято	3	1
45	как не может быть	1	1
