N	3gram	Propp_Russ_1	Russkaja
1	друг с другом	1	14
2	с точки зрения	3	9
3	в том что	15	7
4	на самом деле	1	6
5	во всяком случае	1	6
6	на то что	1	4
7	в этом случае	5	3
8	вместе с тем	6	3
9	можно было бы	1	3
10	в данном случае	1	3
11	а следовательно и	1	2
12	точно так же	1	2
13	в настоящее время	3	2
14	о том чтобы	1	2
15	в себе и	1	2
16	и в том	1	2
17	о том что	4	2
18	ни одна из	1	2
19	в большинстве случаев	2	2
20	к тому что	4	2
21	чем ближе к	1	1
22	и того же	1	1
23	связано с понятием	1	1
24	из всего этого	1	1
25	состоит в том	8	1
26	в свою очередь	2	1
27	в китае и	1	1
28	по отношению к	1	1
29	этого мало надо	1	1
30	что для этого	1	1
31	в этой роли	1	1
32	точки зрения в	1	1
33	мы уже знаем	1	1
34	может быть назван	1	1
35	и не только	1	1
36	в истории россии	1	1
37	и в других	4	1
38	в этом отношении	1	1
39	у разных народов	1	1
40	что не только	1	1
41	на этот вопрос	1	1
42	в противном случае	1	1
43	и в своем	1	1
44	все это делалось	2	1
45	как видно из	1	1
46	на том основании	1	1
47	и в этом	1	1
48	во всех этих	1	1
49	и как бы	1	1
50	всяком случае не	1	1
51	не только для	1	1
52	в связи с	4	1
53	и на то	1	1
54	друг к другу	2	1
55	можно согласиться с	1	1
56	не может признать	1	1
57	так же как	1	1
58	потому что они	1	1
59	в совершенно ином	1	1
60	из всех этих	1	1
61	том основании что	1	1
62	в своих целях	1	1
63	так как это	1	1
64	вопрос о том	1	1
65	китае и в	1	1
66	но все же	2	1
67	несмотря на все	1	1
68	одного и того	1	1
69	но даже если	1	1
70	совершенно очевидно что	1	1
71	тем не менее	3	1
72	не только сам	1	1
73	во многих случаях	2	1
74	быть не может	1	1
75	необходимо иметь в	1	1
76	но совершенно очевидно	1	1
77	которую можно назвать	1	1
78	но этого мало	1	1
