N	2gram	Berdyaev_O_1	KFilosof
1	может быть	11	43
2	в его	7	39
3	в нем	10	31
4	не может	4	27
5	и не	13	26
6	и в	19	22
7	в себе	3	21
8	в котором	1	21
9	не есть	2	19
10	и его	4	17
11	в ее	2	17
12	а не	11	17
13	в этом	12	13
14	и это	1	12
15	но не	1	12
16	для него	5	12
17	все эти	4	11
18	в своей	2	11
19	не в	11	11
20	к нему	3	11
21	в своем	2	10
22	это не	3	10
23	все это	6	10
24	и есть	3	9
25	но и	13	9
26	как бы	3	9
27	и для	2	9
28	и все	10	9
29	лишь в	7	8
30	было бы	3	8
31	мир в	1	8
32	если бы	1	8
33	со стороны	1	8
34	не было	9	8
35	жизни и	1	8
36	то что	5	7
37	во всем	1	7
38	и здесь	1	7
39	что и	2	7
40	в единстве	2	7
41	вовсе не	1	7
42	момент в	2	6
43	отношение к	5	6
44	и я	1	6
45	мира в	1	6
46	он не	7	6
47	в мире	1	6
48	и действительно	1	6
49	совершенно не	1	6
50	уже не	1	6
51	но это	1	6
52	в том	5	6
53	жизни как	1	5
54	все же	2	5
55	но в	2	5
56	не только	11	5
57	его в	2	5
58	как и	6	5
59	должно быть	2	5
60	не имеет	2	5
61	никогда не	9	5
62	бытия как	1	5
63	с ним	3	5
64	его как	1	5
65	есть лишь	4	5
66	ее и	1	5
67	хотя бы	3	5
68	жизни в	2	5
69	ко всему	1	5
70	места в	1	4
71	не по	1	4
72	о нем	1	4
73	с ними	1	4
74	нисколько не	1	4
75	в одном	1	4
76	бытия но	1	4
77	бытие не	1	4
78	том что	2	4
79	а в	5	4
80	что в	4	4
81	в своих	3	4
82	самом деле	1	3
83	на самом	1	3
84	этого мира	2	3
85	должна быть	1	3
86	мы не	1	3
87	что это	1	3
88	в ней	1	3
89	еще не	3	3
90	и на	2	3
91	не могу	1	3
92	себе и	1	3
93	человека вообще	1	3
94	и этим	2	3
95	к чему	1	3
96	бы и	1	3
97	для того	3	3
98	в корне	1	3
99	из него	1	3
100	людей и	1	3
101	в каждом	1	3
102	в другом	2	3
103	ничего не	2	3
104	могут быть	3	3
105	в виду	1	3
106	о том	3	3
107	и весь	1	3
108	того что	3	3
109	я имею	1	3
110	был бы	1	3
111	тем что	2	3
112	от того	1	3
113	что не	4	3
114	и пр	1	3
115	до конца	7	3
116	ближе к	1	3
117	от него	7	3
118	и ни	2	3
119	не быть	1	3
120	но можно	1	3
121	на своем	1	3
122	чтобы не	1	2
123	и то	2	2
124	чего не	1	2
125	есть на	1	2
126	ни у	2	2
127	вопрос о	10	2
128	с его	4	2
129	совсем не	2	2
130	к которой	1	2
131	как в	1	2
132	как к	2	2
133	сознания в	1	2
134	и как	1	2
135	от этого	1	2
136	та же	1	2
137	думать что	1	2
138	в этой	5	2
139	было дано	1	2
140	человек не	7	2
141	лишь с	1	2
142	ни был	1	2
143	так и	2	2
144	он ни	1	2
145	в жизни	1	2
146	кажется что	1	2
147	бытие и	1	2
148	с тем	2	2
149	можно ли	2	2
150	по себе	2	2
151	что есть	2	2
152	дело в	1	2
153	в процессе	1	2
154	того чтобы	4	2
155	этом мире	2	2
156	и ценности	1	2
157	в сознании	1	2
158	не потому	1	2
159	его с	1	2
160	бы он	1	2
161	можно и	1	2
162	на нем	1	2
163	и когда	1	2
164	его жизни	1	2
165	которой все	1	2
166	что только	1	2
167	что он	3	2
168	а с	1	2
169	со всеми	1	2
