N	2gram	Vygotskiy__6	Narrotol
1	не только	16	32
2	может быть	13	25
3	но и	10	23
4	в качестве	4	21
5	и не	11	20
6	и в	28	19
7	в том	28	18
8	в этом	27	17
9	не в	4	14
10	в частности	4	14
11	том что	19	14
12	состоит в	2	13
13	представляет собой	3	12
14	а не	3	12
15	то что	28	11
16	а в	2	11
17	точки зрения	13	10
18	не может	19	10
19	при этом	3	9
20	так и	6	9
21	в его	3	9
22	в себе	4	8
23	с другой	2	8
24	еще не	8	7
25	по отношению	10	7
26	как в	3	7
27	все же	2	7
28	в случае	3	7
29	как и	6	7
30	к тому	10	7
31	и т.д	3	7
32	с одной	1	7
33	одной стороны	1	7
34	с его	3	6
35	но не	10	6
36	точка зрения	1	6
37	в той	4	6
38	то в	5	6
39	тем самым	8	6
40	в себя	3	6
41	о том	1	6
42	что он	18	6
43	именно в	4	6
44	как это	3	6
45	отношению к	10	6
46	иначе говоря	3	6
47	том числе	1	6
48	но в	5	6
49	между двумя	2	5
50	отличие от	1	5
51	отнюдь не	1	5
52	и как	6	5
53	уже не	1	5
54	в этой	5	5
55	далеко не	1	5
56	в отличие	1	5
57	по себе	3	5
58	в основе	3	5
59	и его	3	5
60	к нему	1	5
61	нуждается в	3	5
62	или иной	1	5
63	в данном	2	5
64	можно сказать	6	5
65	переход от	4	4
66	данном случае	1	4
67	то же	7	4
68	из которых	1	4
69	перед нами	1	4
70	за собой	3	4
71	в нем	7	4
72	в силу	17	4
73	но все	1	4
74	и с	1	4
75	было бы	9	4
76	и тем	5	4
77	не мог	1	4
78	точку зрения	2	4
79	связи с	3	4
80	числе и	1	4
81	той или	1	4
82	имеет место	2	4
83	не столько	1	4
84	те же	3	4
85	во втором	3	4
86	только в	18	4
87	у него	2	4
88	прежде всего	2	4
89	если не	1	4
90	как бы	11	4
91	отличается от	3	4
92	сказать что	13	4
93	другой стороны	2	4
94	это и	3	3
95	в первом	4	3
96	же как	6	3
97	в сущности	7	3
98	и он	1	3
99	и на	5	3
100	может не	1	3
101	в ее	1	3
102	что они	2	3
103	хотя и	3	3
104	когда он	2	3
105	что это	1	3
106	из этих	3	3
107	он не	7	3
108	который по	1	3
109	ни в	1	3
110	обратимся к	1	3
111	тем не	1	3
112	не менее	2	3
113	в то	6	3
114	тем что	8	3
115	одна из	1	3
116	никогда не	8	3
117	по своей	3	3
118	этом отношении	3	3
119	могут быть	5	3
120	как мы	10	3
121	свою очередь	1	3
122	на том	2	3
123	не с	2	3
124	мог бы	3	3
125	между тем	1	3
126	один из	3	3
127	из них	2	3
128	в прошлом	1	3
129	и даже	1	3
130	в свою	1	3
131	а с	1	3
132	не существует	1	3
133	что в	17	3
134	как известно	7	2
135	отношения к	3	2
136	одним из	2	2
137	например в	4	2
138	самом деле	2	2
139	к другому	4	2
140	и до	1	2
141	оно может	1	2
142	который в	1	2
143	мы имеем	4	2
144	ему в	1	2
145	в будущем	1	2
146	между собой	9	2
147	он сам	2	2
148	иное как	1	2
149	но как	3	2
150	не то	1	2
151	отношение к	7	2
152	нет и	1	2
153	до которого	1	2
154	независимо от	3	2
155	что именно	2	2
156	как к	1	2
157	в своем	7	2
158	в полном	1	2
159	не являются	2	2
160	точкой зрения	1	2
161	все эти	2	2
162	в известном	1	2
163	и тот	1	2
164	например как	1	2
165	ключ к	2	2
166	не как	1	2
167	подобно тому	1	2
168	человека в	1	2
169	различие между	2	2
170	а по	3	2
171	все их	1	2
172	его в	6	2
173	от одного	1	2
174	это не	5	2
175	несмотря на	2	2
176	обозначить как	1	2
177	на первый	1	2
178	с точки	10	2
179	зрения и	1	2
180	даже в	1	2
181	она не	2	2
182	которого он	1	2
183	что иное	1	2
184	в структуре	1	2
185	не могло	2	2
