N	3gram	Vinokur_Ku_2	TeoriaLi
1	в отличие от	2	7
2	в том что	10	6
3	то же время	3	6
4	в то же	3	6
5	в данном случае	1	5
6	того или иного	2	5
7	состоит в том	1	4
8	в конечном счете	2	4
9	с другой стороны	7	3
10	тем не менее	5	3
11	можно сказать что	2	3
12	в свою очередь	2	3
13	в этом смысле	5	3
14	в данный момент	1	2
15	в соответствии с	2	2
16	с точки зрения	8	2
17	тот или иной	1	2
18	но он не	1	2
19	в противном случае	1	2
20	с одной стороны	1	2
21	так или иначе	2	2
22	тех или иных	1	2
23	сама по себе	1	2
24	не может быть	4	2
25	как и в	1	2
26	я думаю что	1	1
27	том что в	1	1
28	и потому что	2	1
29	в виду не	1	1
30	этой точки зрения	2	1
31	а не с	1	1
32	дело в том	1	1
33	могла бы послужить	1	1
34	в настоящее время	1	1
35	как это имеет	1	1
36	в этом случае	2	1
37	в таких случаях	2	1
38	в иных случаях	1	1
39	можно говорить о	1	1
40	что он не	1	1
41	бы то ни	1	1
42	сказать что для	1	1
43	виду не только	1	1
44	только то что	1	1
45	в соответствии со	1	1
46	состоит не в	1	1
47	точно так же	3	1
48	и здесь мы	1	1
49	по крайней мере	6	1
50	то или иное	2	1
51	в том случае	2	1
52	том случае если	2	1
53	может быть и	1	1
54	как будто по	1	1
55	не только такие	1	1
56	в значительной степени	1	1
57	если мы имеем	1	1
58	едва ли не	1	1
59	здесь сводится к	1	1
60	то ни было	1	1
61	к вопросу о	2	1
62	не более чем	1	1
63	в известном смысле	1	1
64	не могут быть	1	1
65	и в этой	1	1
66	это имеет место	1	1
67	таким же образом	1	1
68	это своего рода	1	1
69	в связи с	3	1
70	а на деле	1	1
71	в первую очередь	1	1
72	так же как	2	1
73	вследствие того что	1	1
74	тем или иным	1	1
75	в то время	1	1
76	с этой точки	2	1
77	может быть это	1	1
78	о том что	1	1
79	и прежде всего	1	1
80	они ни были	1	1
81	мере в какой	1	1
82	в большинстве случаев	1	1
83	в силу своей	1	1
84	в том и	1	1
85	той мере в	1	1
86	говорить о разных	1	1
87	в той мере	1	1
88	дело не в	2	1
89	для того чтобы	8	1
90	к тому же	1	1
91	которая выше была	1	1
