N	2gram	Losev_Dial_1	formyVre
1	и в	18	50
2	то есть	1	33
3	в этом	12	25
4	в нем	16	24
5	и его	1	16
6	прежде всего	10	15
7	как мы	4	14
8	и не	30	14
9	в его	3	13
10	вовсе не	7	13
11	как раз	4	13
12	по существу	1	12
13	так и	9	12
14	то же	10	11
15	мы уже	1	11
16	таким образом	1	11
17	может быть	17	11
18	и как	7	10
19	но в	6	10
20	времени и	1	10
21	все эти	2	9
22	не только	13	9
23	в то	6	9
24	ничего не	17	9
25	же время	4	9
26	в том	9	9
27	в конце	4	9
28	в особенности	5	9
29	и др	1	9
30	и т	21	8
31	в самом	3	8
32	ни в	15	8
33	т п	2	8
34	жизни в	1	8
35	его жизни	1	8
36	но и	7	8
37	и их	2	8
38	как и	2	8
39	жизни и	3	8
40	характер и	1	7
41	не было	6	7
42	например в	1	6
43	во всех	1	6
44	как в	2	6
45	с этим	2	6
46	все же	5	6
47	это не	9	6
48	в их	3	6
49	так как	11	6
50	в ее	1	6
51	в дальнейшем	5	6
52	связи с	1	6
53	в жизни	1	6
54	у него	1	6
55	то что	13	6
56	в частности	2	6
57	не может	12	6
58	так же	4	6
59	в результате	1	6
60	и все	3	6
61	и до	1	5
62	время как	2	5
63	еще не	2	5
64	но не	4	5
65	отнюдь не	9	5
66	и у	2	5
67	не в	6	5
68	он не	3	5
69	всех этих	3	5
70	жизни но	1	5
71	в основе	3	5
72	того чтобы	1	5
73	точки зрения	17	5
74	в разных	3	5
75	только и	4	5
76	могут быть	3	5
77	но все	3	5
78	в образе	1	5
79	если бы	12	5
80	для того	2	5
81	в связи	1	5
82	наряду с	1	5
83	что в	13	5
84	и другие	1	5
85	и то	9	4
86	и это	2	4
87	мы и	2	4
88	в ней	3	4
89	в своем	5	4
90	конечно не	3	4
91	то время	1	4
92	и с	5	4
93	в них	3	4
94	том что	9	4
95	в котором	4	4
96	не имеет	15	4
97	потому что	14	4
98	здесь не	1	4
99	жизнь и	3	4
100	или как	1	4
101	и следовательно	2	4
102	только в	3	4
103	именно как	2	4
104	пространства и	2	4
105	в той	1	4
106	все это	11	4
107	кроме того	1	4
108	и для	2	4
109	отношения к	3	3
110	по преимуществу	1	3
111	а как	1	3
112	есть не	3	3
113	мы не	1	3
114	в виду	5	3
115	себе и	2	3
116	хотя и	4	3
117	здесь дается	1	3
118	всего необходимо	2	3
119	в себе	11	3
120	при этом	1	3
121	вообще не	1	3
122	одно и	4	3
123	его в	1	3
124	и других	1	3
125	с другими	2	3
126	характер не	1	3
127	в новое	1	3
128	для них	1	3
129	место и	1	3
130	и уже	1	3
131	между ними	1	3
132	в этих	5	3
133	в отношении	5	3
134	но эта	3	3
135	но они	2	3
136	xviii века	1	3
137	чем не	1	3
138	жизни не	1	3
139	этом отношении	2	3
140	не могут	1	3
141	к тому	4	3
142	и образ	6	3
143	все его	1	3
144	что и	3	3
145	один из	3	3
146	мы видим	4	3
147	поэтому и	2	3
148	с одной	2	3
149	со всеми	1	3
150	в качестве	2	3
151	только на	3	3
152	был бы	1	3
153	до сих	2	3
154	именно в	2	3
155	мы еще	1	3
156	что не	7	3
157	быть только	1	3
158	а не	14	3
159	вместе с	1	3
160	и потому	3	3
161	да и	6	3
162	сих пор	2	3
163	своей собственной	1	3
164	еще более	3	3
165	ни к	2	3
166	а в	5	3
167	не знает	2	3
168	сказать что	10	3
169	имеет место	1	3
170	они не	1	3
171	пространства в	1	3
172	к этому	2	3
173	в таком	1	3
174	во всяком	4	3
175	нем нет	3	2
176	также и	7	2
177	же как	2	2
178	к своей	1	2
179	и принципиально	1	2
180	к другому	1	2
181	той же	1	2
182	вопрос о	2	2
183	но она	3	2
184	на себя	1	2
185	они были	2	2
186	же что	1	2
187	в различных	1	2
188	в чем	6	2
189	только два	1	2
190	природы и	1	2
191	но конечно	2	2
192	на другой	1	2
193	друг к	2	2
194	совсем не	1	2
195	мы будем	1	2
196	а только	3	2
197	происходит в	1	2
198	нет и	1	2
199	не входят	1	2
200	же и	2	2
201	стороны и	3	2
202	с их	1	2
203	и к	1	2
204	мир и	1	2
205	от этого	3	2
206	тому же	2	2
207	выражение в	1	2
208	как бы	11	2
209	как он	4	2
210	и еще	3	2
211	не как	2	2
212	уже не	2	2
213	и по	1	2
214	что все	1	2
215	об этом	4	2
216	к другу	2	2
217	ясно что	8	2
218	было бы	12	2
219	на почве	1	2
220	бы совершенно	1	2
221	из нее	1	2
222	нет в	1	2
223	мир в	1	2
224	для него	2	2
225	в своей	2	2
226	с точки	12	2
227	место в	1	2
228	не к	1	2
229	оказывается что	1	2
230	в которых	2	2
231	точку зрения	3	2
232	но он	1	2
233	друг другу	3	2
234	есть именно	1	2
235	по себе	25	2
236	раз и	2	2
237	самого начала	1	2
238	дело в	1	2
239	никогда не	9	2
240	того и	1	2
241	к ней	4	2
242	и является	2	2
243	во всем	2	2
244	мире и	1	2
245	в каком	8	2
246	есть только	5	2
247	той или	7	2
248	для восприятия	1	2
249	оно не	1	2
250	правда не	1	2
