N	3gram	Losev_Prob_1	Sovremen
1	с точки зрения	3	5
2	в каждом отдельном	1	5
3	не может быть	2	4
4	тем не менее	18	2
5	во всяком случае	3	2
6	может быть и	3	2
7	так как он	2	2
8	в настоящее время	3	2
9	то же самое	9	2
10	как мы это	1	1
11	и может быть	1	1
12	и все время	1	1
13	что иное как	2	1
14	в известном смысле	1	1
15	и в этом	2	1
16	по крайней мере	2	1
17	не могут быть	1	1
18	в дальнейшем и	1	1
19	в связи с	4	1
20	ровно ничего не	1	1
21	и пр но	1	1
22	дело в том	3	1
23	в окончательном смысле	1	1
24	на самом деле	4	1
25	он может быть	1	1
26	но ведь это	1	1
27	в этом смысле	6	1
28	когда мы говорим	2	1
29	так же как	2	1
30	а не только	2	1
31	в этом случае	2	1
32	до наших дней	1	1
33	а потом и	1	1
34	то нет и	1	1
35	не было бы	1	1
36	ничего не сказано	1	1
37	в дальнейшем мы	1	1
38	до сих пор	3	1
39	и во всех	1	1
40	тот или иной	1	1
41	раз и навсегда	1	1
42	и в то	1	1
43	сами по себе	3	1
44	есть не что	2	1
45	дальнейшем и в	1	1
46	друг на друга	1	1
47	бы то ни	1	1
48	а может быть	2	1
49	мы без труда	1	1
50	мы не знаем	1	1
51	это значит что	1	1
52	но отнюдь не	3	1
53	ни о каком	1	1
54	можно было бы	2	1
55	в самом деле	2	1
56	той или иной	4	1
57	но если мы	2	1
58	но уже в	2	1
59	и ничего не	1	1
60	в то же	4	1
61	ведь если нет	1	1
62	не что иное	2	1
63	в том что	5	1
64	в этой области	2	1
65	в данном случае	8	1
66	на этот раз	2	1
