N	3gram	Tiupa_Lite_3	Istorich
1	с другой стороны	2	7
2	в том что	4	5
3	тем не менее	1	5
4	что иное как	1	3
5	в данном случае	4	3
6	в связи с	1	3
7	не что иное	1	3
8	состоит в том	2	2
9	по отношению к	4	2
10	на нее и	1	2
11	с одной стороны	4	2
12	и то что	1	2
13	о том что	4	2
14	в одном из	2	2
15	не только не	1	2
16	к тому же	5	2
17	хотя и не	1	1
18	подобно тому как	2	1
19	в том числе	3	1
20	в соответствии с	3	1
21	с этой точки	1	1
22	с точки зрения	3	1
23	что он все	1	1
24	вместе с ней	1	1
25	так как мы	1	1
26	но и в	2	1
27	берет на себя	2	1
28	из того что	2	1
29	их может быть	1	1
30	встречаются и в	1	1
31	и не всегда	1	1
32	с тех пор	1	1
33	вместе с тем	1	1
34	с ней в	1	1
35	то что было	1	1
36	не только в	2	1
37	так или иначе	2	1
38	ними а не	1	1
39	и в том	1	1
40	этой точки зрения	1	1
41	это становится ясным	1	1
42	и вместе с	2	1
43	в свою очередь	1	1
44	это и есть	1	1
45	на самом деле	1	1
46	ничего общего с	1	1
47	не может быть	3	1
48	с ними а	1	1
49	но и не	2	1
50	на то что	2	1
51	друг от друга	1	1
52	в его руках	1	1
53	он все еще	1	1
54	может быть в	1	1
55	и у нас	1	1
