N	2gram	Tiupa_Anal_3	Istorich
1	что он	4	24
2	не только	22	18
3	может быть	9	17
4	мы имеем	5	15
5	и в	18	15
6	никогда не	5	15
7	но и	13	14
8	что в	9	12
9	то что	2	12
10	а в	10	12
11	в этом	14	11
12	об этом	2	11
13	мы знаем	1	11
14	и не	12	11
15	то же	3	10
16	что они	3	10
17	его в	3	10
18	еще не	6	9
19	все же	4	9
20	в другом	1	9
21	с тем	2	9
22	и здесь	2	9
23	потому что	1	9
24	должны были	1	8
25	он не	6	8
26	связи с	1	8
27	один из	2	8
28	мы можем	2	8
29	в нем	2	7
30	таким образом	4	7
31	том что	12	7
32	не в	6	7
33	ничего не	3	7
34	вместе с	2	7
35	сих пор	1	7
36	связана с	1	6
37	но в	2	6
38	царство мертвых	1	6
39	в его	7	6
40	что и	5	6
41	мы уже	1	6
42	так что	1	6
43	до сих	1	6
44	как бы	10	6
45	в том	9	6
46	только в	2	6
47	и есть	1	5
48	представляет собой	5	5
49	этого мотива	1	5
50	как в	3	5
51	с этим	3	5
52	что она	2	5
53	было бы	3	5
54	в иной	2	5
55	в русской	7	5
56	на него	1	5
57	что при	1	5
58	так и	14	5
59	в одном	4	5
60	прежде всего	5	5
61	к которому	1	5
62	а не	9	5
63	в связи	1	5
64	не может	2	5
65	этом случае	1	5
66	к тому	6	5
67	со всех	1	4
68	всех сторон	1	4
69	в ней	2	4
70	и на	4	4
71	в себе	2	4
72	все эти	2	4
73	в этой	6	4
74	при этом	11	4
75	вопрос о	1	4
76	не будем	1	4
77	но они	2	4
78	дело не	3	4
79	очень часто	1	4
80	сына в	1	4
81	с одной	2	4
82	его и	1	4
83	у него	1	4
84	тем что	2	4
85	и др	1	4
86	связь с	2	4
87	власть над	2	4
88	но это	1	4
89	в область	1	4
90	не должен	2	4
91	мы должны	1	4
92	одной из	1	4
93	к этой	1	4
94	и другие	1	4
95	они не	1	4
96	в доме	1	3
97	мы не	3	3
98	он был	1	3
99	когда он	2	3
100	из этих	3	3
101	право на	1	3
102	на стадии	1	3
103	на то	1	3
104	всех этих	1	3
105	подобно тому	3	3
106	здесь мы	1	3
107	говорит что	1	3
108	он и	3	3
109	хотя в	2	3
110	не мог	2	3
