N	3gram	Vygotskiy__3	UchenyiS
1	не может быть	2	4
2	с другой стороны	3	3
3	бы то ни	1	3
4	в этой области	1	3
5	то ни было	1	3
6	не могут быть	1	2
7	в этом смысле	2	2
8	то же самое	1	2
9	до сих пор	1	2
10	хотя бы и	1	2
11	в этом отношении	3	2
12	в том что	17	2
13	и то что	2	2
14	в конце концов	1	2
15	том что она	1	1
16	содержания и формы	1	1
17	так или иначе	1	1
18	все же не	1	1
19	и не случайно	1	1
20	знак равенства между	1	1
21	но нам представляется	1	1
22	более или менее	1	1
23	в этом случае	1	1
24	обе эти тенденции	1	1
25	на первый план	2	1
26	о котором говорил	1	1
27	идет не о	1	1
28	сам по себе	1	1
29	является одним из	1	1
30	само по себе	2	1
31	с тем что	3	1
32	на то что	3	1
33	которые могли бы	1	1
34	друг с другом	5	1
35	если бы это	1	1
36	в данном случае	1	1
37	и формы в	1	1
38	они относятся к	1	1
39	и т.д в	1	1
40	не только в	1	1
41	с одной стороны	5	1
