N	2gram	Propp_Isto_7	Problemy
1	и в	24	34
2	и не	4	29
3	как бы	4	27
4	что он	21	23
5	в его	1	22
6	к другому	1	20
7	в нем	6	19
8	может быть	14	19
9	не может	14	19
10	и все	6	19
11	как и	6	18
12	к себе	3	17
13	в этом	12	16
14	но в	5	16
15	и его	3	16
16	все это	8	16
17	он не	6	15
18	и с	1	15
19	что я	1	15
20	прежде всего	2	15
21	то же	8	14
22	к нему	7	14
23	самом деле	1	13
24	и к	1	12
25	в то	2	12
26	потому что	9	12
27	но и	11	12
28	т е	16	12
29	вовсе не	4	11
30	с другим	1	11
31	то что	7	11
32	не только	21	10
33	а я	1	10
34	не в	9	9
35	героя и	5	9
36	а не	8	9
37	и т	17	8
38	никогда не	4	8
39	с ним	5	8
40	в другом	1	8
41	в самом	2	8
42	так же	6	8
43	что же	1	8
44	о мире	1	8
45	точки зрения	4	8
46	я не	1	7
47	знает и	1	7
48	на него	2	7
49	как будто	1	7
50	как мы	3	7
51	и даже	3	7
52	что не	2	7
53	там где	5	7
54	все же	9	7
55	что в	13	7
56	мы уже	4	6
57	и на	2	6
58	с его	3	6
59	отношение к	5	6
60	что они	3	6
61	своему предмету	1	6
62	что у	4	6
63	я все	1	6
64	от себя	1	6
65	для себя	1	6
66	так и	5	6
67	только в	6	6
68	т п	1	6
69	от него	3	6
70	с ними	1	6
71	не знает	1	6
72	отношению к	1	6
73	в чем	5	5
74	по отношению	1	5
75	и наконец	3	5
76	и у	2	5
77	что это	6	5
78	в целом	1	5
79	и вот	1	5
80	но все	4	5
81	на протяжении	1	5
82	с тем	1	5
83	не мог	1	5
84	в конце	3	5
85	таким образом	7	5
86	к тому	1	5
87	и сам	1	5
88	и что	10	5
89	что и	8	5
90	это не	10	5
91	того что	6	5
92	и так	2	5
93	так что	3	5
94	из них	2	5
95	себе и	3	5
96	к своему	1	5
97	и от	2	5
98	мы должны	4	5
99	хотя бы	1	5
100	а в	10	5
101	что ты	1	5
102	героя в	1	5
103	из его	1	4
104	еще не	8	4
105	бы то	1	4
106	но не	6	4
107	как в	12	4
108	он в	2	4
109	все эти	2	4
110	на его	2	4
111	при этом	4	4
112	то ни	1	4
113	его в	3	4
114	ни в	2	4
115	рядом с	1	4
116	с точки	1	4
117	но это	3	4
118	друг другу	1	4
119	он с	1	4
120	ничего не	5	4
121	его с	1	4
122	и это	2	4
123	если бы	1	4
124	на вопрос	4	4
125	только на	2	4
126	в виде	1	4
127	в начале	1	4
128	так как	8	4
129	не о	1	4
130	у него	10	4
131	даже и	1	4
132	с другой	9	4
133	тем что	6	4
134	вместе с	7	4
135	я в	1	4
136	ни было	1	4
137	кто бы	2	3
138	и то	1	3
139	за собой	1	3
140	как я	1	3
141	в ней	1	3
142	что его	2	3
143	совсем не	1	3
144	в одной	2	3
145	вот как	1	3
146	хотя и	3	3
147	и как	1	3
148	поэтому он	1	3
149	уже в	3	3
150	ее как	2	3
151	как он	6	3
152	в каждом	1	3
153	знает что	1	3
154	он все	1	3
155	а что	1	3
156	далеко не	1	3
157	этого не	2	3
158	мы видели	7	3
159	должно быть	1	3
160	такой же	1	3
161	в своей	1	3
162	в котором	2	3
163	и другого	1	3
164	не менее	5	3
165	но он	2	3
166	по себе	1	3
167	ивана в	1	3
168	как можно	1	3
169	том что	10	3
170	которого он	1	3
171	во всем	2	3
172	его за	2	3
173	где он	1	3
174	не могу	1	3
175	в ее	2	3
176	для этого	1	3
177	сводится к	1	3
178	и во	1	3
179	в него	1	3
180	но так	1	3
181	в том	7	3
182	большинстве случаев	1	3
183	свое лицо	1	3
184	к самому	1	3
185	а с	1	3
186	так вот	1	3
187	под влиянием	1	3
188	эти слова	1	3
189	он уже	1	3
190	по своему	1	3
191	но для	2	3
192	если не	4	3
193	это как	2	3
194	но зато	1	3
195	только что	1	3
196	другой стороны	8	3
197	им и	1	3
198	жизни и	1	3
199	от этой	1	2
200	например в	3	2
201	он может	4	2
202	здесь и	2	2
203	не хочет	1	2
204	а как	1	2
205	героя на	1	2
206	для его	1	2
207	та же	2	2
208	героя но	2	2
209	еще до	1	2
210	мы и	1	2
211	того же	2	2
212	и он	3	2
