N	2gram	Tiupa_Anal_3	VLabPisa
1	таким образом	4	27
2	в этом	14	26
3	и в	18	25
4	не только	22	22
5	во сне	3	21
6	может быть	9	21
7	хотя бы	1	20
8	и не	12	19
9	не может	2	17
10	в его	7	15
11	прежде всего	5	13
12	в том	9	13
13	этом отношении	3	13
14	все это	3	12
15	как это	3	12
16	в частности	12	12
17	в силу	1	11
18	с другой	7	11
19	в качестве	12	10
20	в художественном	1	10
21	не могут	1	10
22	о том	6	10
23	как видим	1	9
24	об этом	2	9
25	что в	9	9
26	для него	6	9
27	по этому	1	9
28	но и	13	9
29	то же	3	9
30	и др	1	9
31	к этому	3	9
32	все эти	2	8
33	говорит и	3	8
34	реальной действительности	1	8
35	другой стороны	5	8
36	могут быть	2	8
37	не следует	1	8
38	в своем	4	8
39	из этих	3	7
40	как и	14	7
41	говорит о	2	7
42	же в	2	7
43	отношению к	7	7
44	не было	3	7
45	произведения и	2	7
46	во всех	2	7
47	в году	3	7
48	вместе с	2	7
49	произведения в	1	7
50	по отношению	7	7
51	в конечном	2	7
52	а не	9	7
53	было бы	3	7
54	том что	12	7
55	в себе	2	6
56	и его	13	6
57	так и	14	6
58	в нем	2	6
59	у него	1	6
60	бы и	2	6
61	между тем	5	6
62	это не	2	6
63	то что	2	6
64	это и	2	6
65	в то	3	6
66	в зависимости	1	6
67	приводит к	4	5
68	все же	4	5
69	же время	3	5
70	не в	6	5
71	в их	6	5
72	в искусстве	2	5
73	произведения как	2	5
74	конечном счете	2	5
75	зависимости от	1	5
76	сказать что	2	5
77	один из	2	5
78	очевидно что	2	5
79	только в	2	5
80	в результате	5	5
81	он же	1	5
82	и есть	1	5
83	не является	5	5
84	как говорит	3	5
85	в пределах	4	5
86	связи с	1	5
87	как бы	10	5
88	в связи	1	4
89	можно сказать	4	4
90	как раз	7	4
91	даже в	2	4
92	в своей	1	4
93	в одном	4	4
94	художественное произведение	1	4
95	в ее	3	4
96	никогда не	5	4
97	в статье	1	4
98	в целом	3	4
99	перед нами	4	4
100	в романе	2	4
101	художественный образ	1	4
102	с ними	1	4
103	в них	2	4
104	одна из	2	4
105	в этой	6	4
106	когда он	2	4
107	в самом	5	4
108	к тому	6	4
109	с его	8	4
110	что он	4	4
111	всего лишь	8	3
112	со своим	1	3
113	а вот	2	3
114	в значительной	2	3
115	этой проблемы	1	3
116	в противоположность	2	3
117	жизни и	1	3
118	что они	3	3
119	замысла в	1	3
120	как на	1	3
121	и ее	2	3
122	и их	1	3
123	точки зрения	3	3
124	вслед за	1	3
125	различного рода	1	3
126	в конце	5	3
127	например в	2	3
128	и он	2	3
129	с тем	2	3
130	его в	3	3
131	сводится к	2	3
132	того что	1	3
133	но как	3	3
134	и мир	1	3
135	из его	1	3
136	и к	4	3
137	а всего	3	3
138	ее в	1	3
139	у нас	1	3
140	человека и	1	3
141	что не	3	3
142	и от	2	3
143	с этим	3	3
144	моментов в	1	3
145	в слове	5	3
146	это делает	1	3
147	бы в	1	3
148	образом в	1	3
149	всех этих	1	3
150	именно в	3	3
151	никак не	1	3
152	что и	5	3
153	далеко не	4	3
154	как целого	1	3
155	одном из	1	3
156	не столь	1	3
157	его не	3	3
158	и по	2	3
159	по поводу	3	3
160	этот вопрос	1	3
161	и как	4	3
162	как о	1	3
163	мы знаем	1	3
164	бы не	1	2
165	произведения не	1	2
166	ни одного	1	2
167	но с	2	2
168	стороны в	1	2
169	а о	1	2
170	еще не	6	2
171	в другом	1	2
172	говорить о	3	2
173	с нею	2	2
174	в стихах	1	2
175	по одному	1	2
176	одной из	1	2
177	и для	2	2
178	своих героев	1	2
179	еще и	3	2
180	из многочисленных	1	2
181	в жизни	2	2
182	крайней мере	4	2
183	не менее	4	2
184	зависит от	1	2
185	вовсе не	1	2
186	по крайней	4	2
187	сих пор	1	2
188	при всей	1	2
189	о муках	1	2
190	у пушкина	3	2
191	года и	1	2
192	до сих	1	2
193	с другими	1	2
194	если в	3	2
195	того чтобы	1	2
196	во всяком	2	2
197	по себе	4	2
198	также что	1	2
199	между прочим	1	2
200	ли не	4	2
201	того или	1	2
202	а в	10	2
203	слова не	1	2
204	по его	3	2
205	между ними	1	2
206	он сам	1	2
207	но не	7	2
208	роль в	3	2
209	никаких оснований	1	2
210	а для	2	2
211	и формы	1	2
212	а затем	1	2
213	каждом отдельном	1	2
214	и даже	8	2
215	хотя и	2	2
216	действительность в	1	2
217	этом и	1	2
218	из которых	1	2
219	за скобки	1	2
220	для того	1	2
221	но в	2	2
222	о своем	2	2
223	что при	1	2
224	к его	1	2
225	отнюдь не	4	2
226	лишь в	5	2
227	пока еще	3	2
228	в течение	1	2
229	мира и	2	2
230	результате чего	1	2
231	сне не	1	2
232	и потому	2	2
233	всяком случае	2	2
234	к ним	1	2
235	не столько	3	2
236	о чем	4	2
237	видеть в	2	2
238	не о	1	2
239	мы имеем	5	2
240	и может	1	2
241	до полного	1	2
242	в каждом	3	2
243	тому как	2	2
244	если бы	1	2
245	в книге	1	2
246	в стихотворении	1	2
247	в особенности	3	2
248	не всегда	3	2
249	только не	3	2
250	одной стороны	2	2
251	например как	2	2
252	будто бы	1	2
253	этом же	1	2
254	с одной	2	2
255	во всей	1	2
256	как известно	1	2
257	он не	6	2
258	как у	1	2
259	в своих	1	2
260	от них	1	2
261	в общем	2	2
262	подобно тому	3	2
263	отметить что	1	2
264	все они	2	2
265	о его	2	2
266	уже по	2	2
267	в ней	2	2
268	что она	2	2
269	как об	1	2
270	формы и	1	2
271	от его	2	2
272	заключается в	1	2
273	они не	1	2
274	или иной	5	2
275	каждой из	1	2
276	получает в	1	2
277	человека в	1	2
278	что мы	2	2
279	могло бы	1	2
280	мысль о	3	2
281	связана с	1	2
282	том чтобы	1	2
283	он и	3	2
284	оказывается не	1	1
285	что по	4	1
286	сне из	1	1
287	быть определена	1	1
288	все основания	1	1
289	каждый из	1	1
290	и стихи	1	1
291	внутреннего мира	1	1
292	и автор	1	1
293	целым рядом	1	1
294	как мы	1	1
295	всех сторон	1	1
296	на его	2	1
297	определена как	1	1
298	в форме	2	1
299	на себе	1	1
300	в соответствии	2	1
301	по выражению	1	1
302	данном случае	3	1
303	вопрос о	1	1
304	входит в	2	1
305	от всех	1	1
306	мы и	1	1
307	говорит что	1	1
308	человеческой личности	1	1
309	в стороне	1	1
310	ним не	1	1
311	и чувства	1	1
312	следует иметь	1	1
313	уже как	1	1
314	из анекдота	1	1
315	и ту	2	1
316	себе в	1	1
317	о своих	2	1
318	здесь не	3	1
319	мертвых душ	1	1
320	личности в	3	1
321	на этот	1	1
322	согласуется с	2	1
323	закономерно и	1	1
324	не говоря	1	1
325	положение как	1	1
326	остаются вне	1	1
327	или из	2	1
328	и все	2	1
329	бы он	1	1
330	есть в	1	1
331	в устах	1	1
332	на то	1	1
333	они могут	1	1
334	художественное мышление	1	1
335	на эту	2	1
336	ними в	2	1
337	со всех	1	1
338	и сюжеты	1	1
339	к ее	1	1
340	как можно	1	1
341	еще больше	1	1
342	наконец в	1	1
343	говоря уже	1	1
344	с ним	1	1
345	эти пока	1	1
346	его можно	1	1
347	и так	1	1
348	проявляется в	1	1
349	характер этого	1	1
350	строго говоря	1	1
351	личность и	1	1
352	утверждал что	1	1
353	его и	1	1
354	действительности не	1	1
355	личности и	2	1
356	их со	1	1
357	самом деле	2	1
358	забывать что	1	1
359	и другие	1	1
360	своей судьбы	1	1
361	всего этого	1	1
362	дело не	3	1
363	и без	3	1
364	или иная	1	1
365	от него	1	1
366	лицом к	1	1
367	наконец для	1	1
368	анекдота о	2	1
369	первой части	1	1
370	а между	1	1
371	ответ на	3	1
372	начинается с	1	1
373	казалось бы	1	1
374	открытие и	1	1
375	которой он	1	1
376	жизнь в	1	1
377	автора как	1	1
378	как показывает	2	1
379	то в	2	1
380	его художественной	1	1
381	есть и	1	1
382	напряжения не	1	1
383	или даже	1	1
384	и неверно	1	1
385	однако существенно	1	1
386	и свою	1	1
387	у гоголя	1	1
388	таком случае	1	1
389	читателя зрителя	1	1
390	звуков но	1	1
391	воображения и	1	1
392	тем это	1	1
393	все его	1	1
394	мере не	1	1
395	о судьбе	1	1
396	между собой	1	1
397	произведения так	1	1
398	не различая	1	1
399	а именно	1	1
400	к какому-либо	1	1
401	по законам	1	1
402	этом смысле	1	1
403	романом в	1	1
404	как было	1	1
405	свою очередь	4	1
406	отношение к	1	1
407	вплоть до	2	1
408	совершенно не	2	1
409	потому что	1	1
410	по определению	1	1
411	полного текста	1	1
412	понимаем как	1	1
413	о своей	2	1
414	то есть	10	1
415	дело с	3	1
416	в начале	6	1
417	в таком	1	1
418	связанных с	1	1
419	неотделимо от	1	1
420	к общему	1	1
421	этому же	1	1
422	с теми	1	1
423	в той	2	1
424	страсти и	1	1
425	и прочих	1	1
426	не для	2	1
427	такого типа	1	1
428	их мышления	1	1
429	повестей белкина	11	1
430	целого произведения	1	1
431	словесного выражения	1	1
432	жизнь и	3	1
433	статье о	1	1
434	очень часто	1	1
435	достаточно ясно	1	1
436	можно отметить	2	1
437	и той	2	1
438	к изучению	1	1
439	сама по	2	1
440	и сам	4	1
441	шиллер в	1	1
442	на него	1	1
443	выражения все	1	1
444	на свою	1	1
445	как в	3	1
446	чаще всего	1	1
447	в дальнейшем	2	1
448	евгения онегина	1	1
449	огромной важности	1	1
450	с ее	3	1
451	мнение что	1	1
452	имеем дело	4	1
453	достаточно напомнить	1	1
454	что если	1	1
455	на почве	1	1
456	их можно	1	1
457	что у	1	1
458	же типу	1	1
459	говоря о	1	1
460	как если	1	1
461	тут и	1	1
462	в применении	1	1
463	с этой	1	1
464	связаны с	1	1
465	не все	1	1
466	я с	2	1
467	к этой	1	1
468	да и	2	1
469	уже в	3	1
470	как будто	1	1
471	мертвые души	1	1
472	отражение в	1	1
473	тому же	3	1
474	ту или	1	1
475	и еще	1	1
476	тот или	2	1
477	должно быть	1	1
478	повести три	1	1
479	а и	4	1
480	поэтому в	2	1
481	он был	1	1
482	в истории	1	1
483	тем что	2	1
484	судя по	2	1
485	не могло	1	1
486	собою в	1	1
487	гоголь полностью	1	1
488	уже не	5	1
489	однако при	2	1
490	это было	1	1
491	функцию в	1	1
492	в основе	1	1
493	его частей	1	1
494	и следует	2	1
495	по своему	2	1
496	однако и	3	1
497	зрителя слушателя	1	1
498	сам по	1	1
499	для этого	1	1
500	художественного целого	6	1
501	внимание на	4	1
502	к лицу	1	1
503	с новыми	3	1
504	целого или	1	1
505	содержания а	1	1
506	так сказать	2	1
507	иного типа	1	1
508	или с	1	1
509	основания для	1	1
510	в ходе	1	1
511	смерть и	1	1
512	который как	2	1
513	единство и	1	1
514	бы быть	1	1
515	вступает с	1	1
516	или иную	1	1
517	себя и	1	1
518	обе эти	2	1
519	же если	1	1
520	существенно не	1	1
521	для их	1	1
522	имеются все	1	1
523	этим самым	1	1
524	и ниже	1	1
525	однако все	1	1
526	это его	1	1
527	не как	2	1
528	без остатка	2	1
529	несмотря на	2	1
530	только лишь	1	1
531	и никогда	1	1
532	не случайно	8	1
533	обойтись и	1	1
534	в известном	1	1
535	дело обстоит	1	1
536	слова с	1	1
537	или точнее	2	1
538	уже о	1	1
539	пушкина в	1	1
540	следует подчеркнуть	1	1
541	время и	1	1
542	чем он	1	1
543	а также	2	1
544	всю систему	1	1
545	или иного	1	1
546	именно те	1	1
547	которая уже	1	1
548	он обычно	1	1
549	произведения но	1	1
550	или как	1	1
551	процесса при	1	1
552	пушкина к	1	1
553	который в	3	1
