N	2gram	Savitsky_P_1	Problema
1	в его	2	43
2	и не	12	42
3	и в	14	38
4	не может	4	27
5	может быть	5	26
6	как бы	4	22
7	отнюдь не	2	19
8	и с	2	17
9	в этом	10	15
10	в нем	3	15
11	и т	3	14
12	только в	7	13
13	прежде всего	3	13
14	но не	3	12
15	во всех	2	11
16	в области	11	11
17	не только	17	9
18	не имеет	1	9
19	его в	1	9
20	но и	6	9
21	и как	3	8
22	было бы	6	8
23	точки зрения	3	8
24	место в	1	8
25	в том	9	8
26	то что	4	8
27	еще не	1	7
28	в самом	1	7
29	как и	1	7
30	не в	5	7
31	с другой	5	7
32	между тем	3	7
33	что в	4	7
34	отношения к	2	6
35	на основе	1	6
36	там где	1	6
37	в пределах	8	6
38	не к	2	6
39	с точки	3	6
40	не есть	1	6
41	и этим	1	6
42	мы можем	1	6
43	все же	1	6
44	а в	4	6
45	только как	1	6
46	отличие от	1	5
47	в своем	4	5
48	то же	9	5
49	это не	3	5
50	в них	2	5
51	далеко не	1	5
52	в отличие	1	5
53	творчества и	2	5
54	и о	5	5
55	никогда не	1	5
56	не нужно	2	5
57	большинстве случаев	1	5
58	в большинстве	1	5
59	а не	2	5
60	могут быть	3	5
61	должно быть	2	5
62	должна быть	1	4
63	конечно и	1	4
64	в ней	6	4
65	не входят	1	4
66	но в	9	4
67	в себе	3	4
68	в данном	1	4
69	не менее	2	4
70	тем самым	3	4
71	в то	7	4
72	и завершение	1	4
73	в ее	2	4
74	не с	1	4
75	с ними	3	4
76	в других	1	4
77	и только	1	4
78	что не	1	4
79	и потому	4	4
80	хотя бы	8	4
81	может и	2	4
82	другой стороны	1	4
83	также и	1	3
84	например в	2	3
85	которую мы	2	3
86	говорить о	2	3
87	из важнейших	2	3
88	помнить что	2	3
89	и к	4	3
90	не будем	2	3
91	к миру	1	3
92	в мире	2	3
93	и тем	2	3
94	том что	4	3
95	же время	7	3
96	слова но	2	3
97	в применении	1	3
98	и это	2	3
99	хотя и	3	3
100	ясно что	1	3
101	если бы	4	3
102	этом смысле	1	3
103	с одной	3	3
104	и должна	1	3
105	входят в	1	3
106	одной стороны	3	3
107	на фоне	1	3
108	в иных	1	3
109	применении к	1	3
110	и на	1	3
111	да и	2	3
112	все это	2	3
113	культуры и	1	3
114	она может	1	3
115	у в	1	3
116	они не	1	3
117	можно говорить	1	2
118	и есть	2	2
119	в определенный	1	2
120	в котором	4	2
121	есть не	2	2
122	не вполне	1	2
123	столь же	3	2
124	с его	1	2
125	но как	1	2
126	не все	1	2
