N	3gram	Bakhtin_Pr_3	formyVre
1	то же время	12	9
2	и т п	6	8
3	как мы уже	1	8
4	в то же	12	6
5	и в то	5	5
6	для того чтобы	1	5
7	и того же	1	5
8	одного и того	1	5
9	мы уже указывали	1	4
10	к себе самому	14	4
11	и в других	1	4
12	вполне понятно что	2	4
13	мы уже говорили	3	3
14	с самим собою	7	3
15	до сих пор	1	3
16	между этими двумя	1	3
17	по отношению к	5	3
18	в этом отношении	1	3
19	в нем не	1	3
20	и то же	1	3
21	одно и то	1	3
22	не может быть	6	3
23	с самого начала	8	2
24	не было и	1	2
25	в его целом	2	2
26	для других так	1	2
27	и для себя	3	2
28	и тех же	1	2
29	как и в	1	2
30	друг на друга	2	2
31	может быть и	1	2
32	и в особенности	1	2
33	и прежде всего	4	2
34	в том что	1	2
35	друг к другу	1	2
36	как если бы	1	2
37	в начале романа	1	2
38	и в последующем	1	2
39	в чем не	2	2
40	можно прямо сказать	1	2
41	в отличие от	2	2
42	как раз и	2	2
43	одних и тех	1	2
44	но все эти	1	2
45	той или иной	2	2
46	ни в чем	2	2
47	и до конца	1	2
48	в строгом смысле	1	2
49	но все же	1	2
50	вместе с тем	2	2
51	в нем нет	1	2
52	с точки зрения	4	2
53	понятно что в	1	2
54	с самим собой	6	2
55	к тому же	2	2
56	на третий день	1	1
57	в том же	1	1
58	на протяжении всего	4	1
59	а не о	1	1
60	о том что	2	1
61	но все это	2	1
62	героя и его	2	1
63	быть и речи	1	1
64	возможно лишь в	1	1
65	друг с другом	2	1
66	и во всяком	1	1
67	бы он ни	3	1
68	к герою и	3	1
69	что в нем	2	1
70	и к другому	3	1
71	смысле и в	1	1
72	или хотя бы	1	1
73	самим собою в	1	1
74	себе самому и	5	1
75	но в то	3	1
76	как мы сказали	1	1
77	и в этом	2	1
78	мы еще не	1	1
79	он ни был	3	1
80	в самом деле	3	1
81	этим и определяется	1	1
82	для себя и	1	1
83	внутренние и внешние	1	1
84	самого героя и	2	1
85	особенно в его	1	1
86	у него нет	1	1
87	таким образом весь	1	1
88	а вовсе не	2	1
89	что он должен	1	1
90	главным образом в	1	1
91	мы должны коснуться	1	1
92	каков бы он	1	1
93	в этом случае	2	1
94	и в том	1	1
95	до конца не	1	1
96	и как бы	1	1
97	нам еще придется	1	1
98	но она не	1	1
99	но в этом	1	1
100	и со всеми	1	1
101	и человек в	1	1
102	вовсе не является	1	1
103	и ничего не	1	1
104	в этот момент	1	1
105	никогда не бывает	2	1
106	в значительной степени	1	1
107	иной характер и	1	1
108	женщины и т	1	1
109	и в самом	3	1
110	и все его	1	1
111	все без исключения	2	1
112	протяжении всего романа	2	1
113	громадное значение в	1	1
114	или во всяком	1	1
115	сама по себе	2	1
116	в противоречии с	1	1
117	характер и не	1	1
118	смысле этого слова	2	1
119	прежде всего в	1	1
120	в той или	2	1
121	со всех сторон	1	1
122	в данном случае	1	1
123	в разных видах	1	1
124	не исчерпали всех	1	1
125	потому что ты	1	1
126	форме сохраняется и	1	1
127	в самом содержании	1	1
128	поэтому нет и	2	1
129	имел в виду	1	1
130	так и в	2	1
131	потому что не	1	1
132	или иной степени	1	1
133	в высшей степени	3	1
134	здесь же мы	1	1
135	не входит в	2	1
136	с одной из	1	1
137	т п но	1	1
138	я и другого	1	1
139	все более и	1	1
140	вовсе не являются	1	1
141	во всяком случае	5	1
142	том что все	1	1
143	самому и к	4	1
144	же время он	1	1
145	то новое что	1	1
146	в свою очередь	1	1
147	более и более	1	1
148	в них не	1	1
