N	3gram	Losev_Vlad_1	Literetu
1	в том что	7	11
2	так или иначе	1	8
3	то же время	4	5
4	в то же	4	5
5	не только в	2	4
6	в связи с	1	4
7	при этом в	1	3
8	в том же	1	3
9	дело в том	4	2
10	не говоря уже	1	2
11	в этом отношении	1	2
12	и то что	4	2
13	для своего времени	2	2
14	с одной стороны	1	2
15	во всяком случае	2	2
16	еще в году	1	2
17	о том что	7	2
18	и тем самым	1	2
19	тем не менее	2	2
20	а иной раз	3	1
21	на то что	4	1
22	в частности для	1	1
23	в ответ на	2	1
24	том что он	2	1
25	как раз и	2	1
26	так и не	1	1
27	как это было	1	1
28	бы то ни	1	1
29	и в литературе	1	1
30	в итоге все	1	1
31	и говорил что	1	1
32	никак не мог	1	1
33	несмотря на свою	1	1
34	все той же	1	1
35	в году к	1	1
36	по этому поводу	1	1
37	и в частности	2	1
38	в это время	1	1
39	но в то	1	1
40	в самом деле	1	1
41	говоря уже о	1	1
42	а также и	1	1
43	и в этом	1	1
44	а с другой	1	1
45	что он сам	1	1
46	тех пор пока	1	1
47	хотя бы на	1	1
48	но только в	1	1
49	с другой стороны	3	1
50	не может быть	3	1
51	не в одном	1	1
52	только то что	1	1
53	до тех пор	1	1
54	в свою очередь	1	1
55	то ни было	1	1
56	никогда не любил	1	1
57	тем более что	2	1
58	во второй половине	1	1
59	на всю жизнь	1	1
60	мы имеем дело	1	1
61	к тому же	2	1
