N	2gram	Tiupa_Lite_2	EvropaiC
1	таким образом	1	32
2	в том	10	31
3	и в	19	24
4	том что	7	20
5	все эти	1	19
6	не может	9	18
7	то что	7	17
8	может быть	17	15
9	все же	2	15
10	точки зрения	4	13
11	самом деле	1	12
12	в своем	1	12
13	в этом	9	12
14	во всех	3	10
15	по отношению	4	10
16	культуры и	1	10
17	так и	7	10
18	как бы	2	10
19	отношению к	3	10
20	культуры в	1	10
21	все что	2	10
22	того же	4	9
23	на то	1	9
24	при этом	6	9
25	как и	10	9
26	в результате	2	9
27	что в	4	9
28	в самом	1	8
29	с точки	3	8
30	не в	4	8
31	так же	1	8
32	и все	1	8
33	на самом	1	7
34	не менее	6	7
35	по существу	3	7
36	того чтобы	1	7
37	по своей	1	7
38	к тому	1	7
39	для этого	2	7
40	о том	2	7
41	и что	2	7
42	что он	3	7
43	для того	2	7
44	но и	10	7
45	и не	11	7
46	из этого	1	7
47	должна быть	1	6
48	еще не	2	6
49	и на	6	6
50	тогда как	9	6
51	в этой	3	6
52	в мире	9	6
53	в сознании	1	6
54	с ним	2	6
55	что и	2	6
56	того что	5	6
57	так что	4	6
58	так как	3	6
59	с другой	8	6
60	вместе с	5	6
61	как на	3	6
62	из всех	1	5
63	от культуры	1	5
64	столь же	5	5
65	как к	3	5
66	и к	2	5
67	но в	2	5
68	что это	1	5
69	в целом	2	5
70	в себе	6	5
71	не только	8	5
72	и с	3	5
73	его в	1	5
74	между собою	1	5
75	и без	2	5
76	в то	9	5
77	в его	4	5
78	потому что	2	5
79	у него	2	5
80	именно в	1	5
81	далеко не	1	5
82	другой стороны	4	5
83	и для	3	5
84	и от	1	5
85	лишь только	1	5
86	к этому	1	5
87	одним из	3	4
88	в такой	2	4
89	и то	3	4
90	то же	12	4
91	из того	2	4
92	данный момент	1	4
93	ни один	1	4
94	он не	5	4
95	всех этих	1	4
96	из них	2	4
97	иначе говоря	1	4
98	и культуры	1	4
99	в их	3	4
100	оказывается что	1	4
101	тем не	2	4
102	из которых	2	4
103	есть культура	1	4
104	связи с	1	4
105	тех кто	4	4
106	никогда не	3	4
107	лишь при	1	4
108	и т.д	7	4
109	все прочие	1	4
110	отличалась от	1	4
111	выше и	2	4
112	не так	2	4
113	а потому	2	4
114	в конце	2	4
115	в области	4	4
116	а с	1	4
117	конце концов	1	4
118	не могут	1	4
119	этом случае	2	4
120	хотя бы	2	4
121	в таком	1	4
122	же как	2	3
