N	3gram	Bakhtin_Pr_1	NovoeSre
1	в высшей степени	5	6
2	не может быть	11	4
3	подобно тому как	1	3
4	со всех сторон	2	3
5	лицом к лицу	1	3
6	равно как и	1	2
7	в этом смысле	3	2
8	в нем нет	1	2
9	с одной стороны	3	2
10	и должно быть	1	2
11	с другой стороны	4	2
12	в свои права	1	2
13	вопрос о том	1	2
14	в том и	1	2
15	она не может	1	2
16	а не с	1	1
17	то время как	1	1
18	одна из сторон	1	1
19	формы к содержанию	1	1
20	и у в	1	1
21	до сих пор	1	1
22	и во всех	2	1
23	и не может	2	1
24	сами по себе	1	1
25	должен прежде всего	1	1
26	в отличие от	5	1
27	но и в	2	1
28	можно было бы	3	1
29	быть отнесены к	1	1
30	что вся культура	1	1
31	может быть только	3	1
32	и не в	1	1
33	другой же стороны	2	1
34	быть понята как	1	1
35	бытия в этом	1	1
36	не только в	2	1
37	к вопросу о	1	1
38	все свои возможности	1	1
39	которая обращена к	1	1
40	не могут быть	2	1
41	не в том	1	1
42	не может осуществить	2	1
43	в нем не	1	1
44	ни в одну	1	1
45	с миром а	1	1
46	познания и не	1	1
47	в то время	1	1
48	ни в чем	2	1
49	то что в	1	1
50	и пр в	1	1
51	в значительной степени	1	1
52	это и есть	1	1
53	та или иная	1	1
54	может осуществить своих	1	1
55	выходит за пределы	1	1
56	которые могут быть	1	1
57	в большинстве случаев	5	1
58	и не менее	1	1
59	и быть не	1	1
60	в том смысле	1	1
61	и не ставит	1	1
62	быть не может	1	1
63	должна быть понята	1	1
64	в том что	3	1
65	должен быть признан	1	1
66	как и в	1	1
67	с другой же	2	1
68	конечно не в	1	1
