N	2gram	Medvedev_S_1	Hudozhes
1	том что	2	16
2	и в	3	14
3	так и	1	13
4	не только	3	12
5	о том	1	12
6	в том	5	12
7	в этом	5	11
8	прежде всего	1	11
9	в своей	1	10
10	то же	2	9
11	как и	1	9
12	что он	1	9
13	у него	1	9
14	по отношению	2	8
15	в этой	1	8
16	то что	2	8
17	же время	1	8
18	ничего не	1	8
19	в его	3	8
20	между тем	1	8
21	отношению к	2	8
22	в то	1	8
23	еще не	2	7
24	это не	1	7
25	не в	3	7
26	именно в	1	7
27	не может	1	7
28	как бы	2	7
29	а в	1	7
30	было бы	2	6
31	никогда не	1	6
32	что в	2	6
33	перед нами	1	5
34	и его	1	5
35	только в	2	5
36	может быть	2	5
37	но и	2	5
38	в частности	2	5
39	в этих	1	5
40	и о	1	4
41	столь же	1	4
42	что она	1	4
43	тому что	1	4
44	с ним	1	4
45	связи с	1	4
46	как будто	2	4
47	один из	1	4
48	в конце	2	4
49	не было	1	4
50	на тех	1	3
51	в мире	1	3
52	отнюдь не	1	3
53	все же	1	3
54	и по	1	3
55	его в	1	3
56	даже в	1	3
57	все эти	1	3
58	тем что	1	3
59	том как	1	3
60	но не	1	3
61	в связи	1	3
62	или не	1	3
63	я и	1	2
64	мы не	1	2
65	но как	1	2
66	конечном счете	1	2
67	в целом	1	2
68	по себе	1	2
69	иначе говоря	1	2
70	все это	7	2
71	они не	1	2
72	тех кто	1	2
73	что на	1	2
74	представляется нам	1	2
75	никак не	1	2
76	и что	2	2
77	в конечном	1	2
78	в него	1	2
79	и потому	1	2
80	а с	1	2
81	и не	1	2
82	только для	1	2
83	в результате	2	2
84	а между	1	1
85	художественных произведений	1	1
86	это и	2	1
87	в сущности	1	1
88	но она	1	1
89	хотя бы	1	1
90	литературы и	2	1
91	время в	1	1
92	в чем	1	1
93	в литературоведении	2	1
94	мы еще	1	1
95	а тем	1	1
96	бы в	1	1
97	друг от	1	1
98	в свои	1	1
99	утверждает в	1	1
100	дает нам	1	1
101	и как	1	1
102	настаивает на	1	1
103	но ведь	3	1
104	главным образом	2	1
105	но именно	1	1
106	же это	1	1
107	в силу	1	1
108	не вызвать	1	1
109	что все	1	1
110	или даже	2	1
111	далеко не	2	1
112	со своими	1	1
113	между собою	1	1
114	на первый	1	1
115	еще недостаточно	1	1
116	место в	1	1
117	его построения	1	1
118	и более	1	1
119	том и	1	1
120	этом не	1	1
121	вовсе не	1	1
122	хотелось бы	1	1
123	мысли в	1	1
124	сколь и	1	1
125	когда мы	1	1
126	же самое	1	1
127	опираясь на	1	1
128	же не	1	1
129	из путей	1	1
130	даже не	1	1
131	может не	1	1
132	для нас	3	1
133	с другой	1	1
134	и человеком	1	1
135	и только	3	1
136	наконец в	1	1
137	в лучшем	1	1
138	всяком случае	1	1
139	с одной	1	1
140	именно на	1	1
141	и сложность	1	1
142	в серьезных	1	1
143	него и	1	1
144	не из	1	1
145	не дает	1	1
146	эти два	1	1
147	представить себе	1	1
148	тотчас же	1	1
149	не один	1	1
150	еще и	1	1
151	одной стороны	1	1
152	их друг	1	1
153	писателя не	1	1
154	вступает в	1	1
155	теперь он	1	1
156	по необходимости	1	1
157	в данном	1	1
158	быть не	1	1
159	же собственного	1	1
160	в смысле	2	1
161	от друга	1	1
162	тем более	2	1
163	конце концов	2	1
164	мы должны	1	1
165	ни на	1	1
166	во всяком	1	1
