N	2gram	Tiupa_Hudo_1	IolandNe
1	и с	4	3
2	и не	2	2
3	в этом	11	2
4	он не	4	2
5	что в	6	2
6	ничего не	8	2
7	же это	1	1
8	себя в	4	1
9	все это	2	1
10	автора и	2	1
11	этим и	1	1
12	нисколько не	1	1
13	и др	1	1
14	и тот	1	1
15	и в	14	1
16	только что	4	1
17	и о	4	1
18	я не	1	1
19	то и	3	1
20	с а	1	1
21	бы в	1	1
22	личности для	1	1
23	этого писателя	1	1
24	с другой	1	1
25	и та	1	1
26	а в	7	1
27	вплоть до	1	1
28	того что	4	1
29	в художественном	2	1
30	о жизни	1	1
31	не дает	1	1
32	и без	1	1
33	это был	1	1
34	как о	1	1
35	пушкина и	1	1
36	а с	2	1
37	остается как	1	1
38	в первую	2	1
39	для него	10	1
40	а также	3	1
41	ничего в	1	1
42	в основе	1	1
43	что для	1	1
44	что при	3	1
45	в значительной	2	1
46	говорить о	3	1
47	понятий и	1	1
48	могло бы	1	1
49	видит в	3	1
50	отношению к	8	1
51	так и	13	1
52	от этого	1	1
53	произведения и	1	1
54	того чтобы	3	1
55	первую очередь	2	1
56	во многом	1	1
57	не случайно	7	1
58	никогда не	6	1
59	его личности	2	1
60	когда его	1	1
61	только для	2	1
62	жизни и	5	1
63	тех же	1	1
64	для других	2	1
65	тем что	3	1
66	в целом	2	1
67	по отношению	8	1
68	все эти	3	1
69	но когда	1	1
70	от нее	1	1
71	автор и	1	1
72	если бы	3	1
73	не слишком	1	1
