N	2gram	Tiupa_Anal_2	OGranits
1	и в	16	13
2	и его	4	12
3	прежде всего	3	9
4	может быть	6	8
5	не может	4	8
6	и не	12	8
7	и т.п	8	7
8	в его	2	7
9	и их	2	7
10	точки зрения	4	7
11	только в	4	6
12	как бы	10	6
13	не только	16	6
14	то что	7	6
15	мы должны	1	6
16	таким образом	2	6
17	художественного произведения	2	5
18	языка и	2	5
19	и т.д	3	5
20	и наконец	1	5
21	но ведь	1	5
22	в поэзии	2	5
23	с точки	2	5
24	хотя бы	1	5
25	эстетического объекта	3	5
26	произведения как	2	4
27	социальной группы	1	4
28	но мы	1	4
29	слов и	1	4
30	еще и	1	4
31	на фоне	3	4
32	но в	6	4
33	вопроса о	1	4
34	то же	4	4
35	лишь в	9	4
36	в сознании	4	4
37	в своей	2	4
38	было бы	3	4
39	все это	4	4
40	только и	1	4
41	в двух	2	4
42	не является	1	4
43	материала в	1	4
44	в каждом	1	4
45	и то	3	3
46	в ее	1	3
47	самом деле	1	3
48	в пределах	9	3
49	так и	15	3
50	говорить о	6	3
51	в их	3	3
52	по отношению	4	3
53	за пределы	4	3
54	в которой	1	3
55	в себе	7	3
56	к одному	1	3
57	не как	1	3
58	в одном	2	3
59	так как	1	3
60	одно и	1	3
61	но и	12	3
62	слово в	1	3
63	как и	14	3
64	со всей	1	3
65	что же	1	3
66	не в	4	3
67	да и	1	3
68	и для	2	3
69	никогда не	3	3
70	и все	3	3
71	превращается в	2	3
72	т.п и	1	3
73	отношению к	4	3
74	не столько	3	3
75	что в	2	3
76	и наиболее	1	2
77	композиции в	1	2
78	для себя	1	2
79	произведения но	1	2
80	данном случае	5	2
81	в произведении	2	2
82	только его	1	2
83	роль в	2	2
84	на две	3	2
85	мы уже	1	2
86	те же	2	2
87	есть не	1	2
88	к анализу	1	2
89	если бы	3	2
90	и композиция	4	2
91	что иное	1	2
92	иное как	1	2
93	не что	1	2
94	повседневной речи	1	2
95	к предмету	2	2
96	ее в	1	2
97	а также	7	2
98	в чем	1	2
99	между тем	2	2
100	в общем	2	2
101	нуждается в	1	2
102	вслед за	2	2
103	как в	4	2
