N	3gram	Potebnia_M_4	VelikijI
1	в первый раз	1	3
2	к тому что	1	3
3	а между тем	4	2
4	то что я	7	2
5	но и в	1	2
6	никогда еще не	1	2
7	в том что	7	2
8	и т д	3	2
9	другой стороны в	1	1
10	состояние человеческого духа	1	1
11	и до того	1	1
12	если б и	1	1
13	и есть то	1	1
14	и то и	1	1
15	хотя бы и	2	1
16	я представляю себе	2	1
17	том пути на	1	1
18	по крайней мере	5	1
19	то и другое	2	1
20	вместе с тем	3	1
21	есть то что	2	1
22	того что он	1	1
23	что не всегда	1	1
24	на том пути	1	1
25	в последних словах	1	1
26	и в этом	4	1
27	с которым это	1	1
28	не могут быть	2	1
29	с другой стороны	1	1
30	в человека в	1	1
31	в истории и	1	1
32	в одно целое	1	1
33	и вместе с	1	1
34	и все это	1	1
35	давно уже не	1	1
36	сама она и	1	1
37	после того как	2	1
38	как и в	1	1
