N	2gram	Tiupa_Anal_3	formyVre
1	и в	18	46
2	в этом	14	22
3	прежде всего	5	14
4	вовсе не	1	13
5	в романе	2	13
6	и его	13	12
7	во всех	2	11
8	не только	22	11
9	только в	2	11
10	как бы	10	10
11	то есть	10	10
12	точки зрения	3	10
13	в том	9	10
14	но в	2	10
15	мы уже	1	9
16	не в	6	9
17	у него	1	9
18	но и	13	9
19	вместе с	2	9
20	и не	12	9
21	и для	2	9
22	мира и	2	9
23	то же	3	8
24	смерть и	1	8
25	как и	14	8
26	с точки	2	8
27	для того	1	8
28	того чтобы	1	8
29	потому что	1	8
30	связи с	1	8
31	в его	7	8
32	в связи	1	8
33	жизни и	1	8
34	и на	4	7
35	так сказать	2	7
36	всех этих	1	7
37	так и	14	7
38	в них	2	7
39	может быть	9	7
40	в одном	4	7
41	то что	2	7
42	картину мира	1	7
43	как мы	1	6
44	еще не	6	6
45	все же	4	6
46	при этом	11	6
47	этом мире	1	6
48	человека в	1	6
49	его в	3	6
50	в основе	1	6
51	романе в	1	6
52	никогда не	5	6
53	те же	2	6
54	в особенности	3	6
55	все это	3	6
56	и все	2	6
57	но не	7	5
58	с этим	3	5
59	в своем	4	5
60	все эти	2	5
61	он не	6	5
62	в нем	2	5
63	должно быть	1	5
64	в то	3	5
65	в дальнейшем	2	5
66	и у	1	5
67	и др	1	5
68	в частности	12	5
69	в пределах	4	5
70	что в	9	5
71	отношения к	2	4
72	человека и	1	4
73	в мире	5	4
74	и он	2	4
75	что они	3	4
76	в истории	1	4
77	как в	3	4
78	уже в	3	4
79	из этих	3	4
80	в себе	2	4
81	том что	12	4
82	место в	1	4
83	героев и	1	4
84	же время	3	4
85	к себе	1	4
86	с ним	1	4
87	о том	6	4
88	все его	1	4
89	так что	1	4
90	за ними	1	4
91	и их	1	4
92	а не	9	4
93	отнюдь не	4	4
94	с этой	1	4
95	же в	2	4
96	жизни в	1	4
97	есть и	1	4
98	ему в	1	3
99	того же	5	3
100	мы будем	1	3
101	отношение к	1	3
102	хотя и	2	3
103	как уже	2	3
104	и как	4	3
105	уже не	5	3
106	та же	1	3
107	в большинстве	2	3
108	при виде	1	3
109	и по	2	3
110	таким образом	4	3
111	здесь мы	1	3
112	а затем	1	3
113	связанных с	1	3
114	в их	6	3
115	что было	1	3
116	как можно	1	3
117	к тому	6	3
118	себя и	1	3
119	роль в	3	3
120	в борьбе	2	3
121	жизнь и	3	3
122	в другом	1	3
123	а также	2	3
124	как у	1	3
125	что и	5	3
126	того что	1	3
127	тот же	1	3
128	что он	4	3
129	все они	2	3
130	в качестве	12	3
131	большинстве случаев	1	3
132	для него	6	3
133	тем что	2	3
134	в форме	2	3
135	что на	1	3
136	и даже	8	3
137	и прежде	2	3
138	не было	3	3
139	о чем	4	3
140	с помощью	1	3
141	еще нет	1	3
142	не является	5	3
143	тем более	1	3
144	ее в	1	3
145	а в	10	3
146	себе самому	2	3
147	и другие	1	3
148	к этому	3	3
149	и есть	1	2
150	тем же	1	2
151	и так	1	2
152	из самых	1	2
153	и до	1	2
154	мы имеем	5	2
155	в сущности	5	2
156	говорить о	3	2
157	он был	1	2
158	в уста	1	2
159	и т.п	5	2
160	в соседстве	1	2
161	если в	3	2
162	к ним	1	2
163	вступают в	1	2
164	друг от	1	2
165	то в	2	2
166	и к	4	2
167	от этого	1	2
168	в этой	6	2
169	с одной	2	2
170	не могла	2	2
171	о смерти	3	2
172	и вот	2	2
173	он так	1	2
174	картины мира	4	2
175	мыслится как	1	2
176	лишь в	5	2
177	по себе	4	2
178	далеко не	4	2
179	с тем	2	2
180	которой он	1	2
181	автора и	1	2
182	и становится	1	2
183	далее в	1	2
184	строго говоря	1	2
185	одном из	1	2
186	своей жизни	1	2
187	по ту	1	2
188	в той	2	2
189	вплоть до	2	2
190	там где	2	2
191	в самой	1	2
192	более что	1	2
193	этом отношении	3	2
194	очень часто	1	2
195	принадлежит к	4	2
196	могут быть	2	2
197	похож на	1	2
198	и потому	2	2
199	дальнейшем мы	1	2
200	и о	1	2
201	от друга	1	2
202	здесь не	3	2
203	самим собою	1	2
204	и от	2	2
205	в средневековой	1	2
206	в себя	2	2
207	не мог	2	2
208	действующим лицом	1	2
209	особенно в	1	2
210	отсюда и	1	2
211	и должно	1	2
212	картина мира	4	2
213	можно сказать	4	2
214	каждом из	1	2
215	в сюжете	1	2
216	это не	2	2
217	и только	1	2
218	в литературе	1	2
219	литературы в	1	2
220	один из	2	2
221	в литературу	2	2
222	со всеми	2	2
223	соседстве со	1	2
224	характерно что	1	2
225	в конце	5	2
226	не для	2	2
227	каждый из	1	2
228	рядом с	1	2
229	или иной	5	2
