N	3gram	Nazirov_Tr_1	FransuaR
1	то же время	5	9
2	в то же	5	9
3	после того как	1	4
4	в конце концов	1	4
5	за то что	1	3
6	но в то	2	3
7	так и в	3	3
8	в последней главе	1	3
9	в том что	2	3
10	и до конца	1	2
11	как и в	1	2
12	начала и до	1	2
13	с начала и	1	2
14	в этом мире	1	1
15	в чем же	1	1
16	как и его	1	1
17	потому что сам	1	1
18	можно было слышать	1	1
19	имеет в виду	1	1
20	сам по себе	1	1
21	в той же	1	1
22	а на другой	1	1
23	в известной мере	1	1
24	что все это	1	1
25	в этом романе	1	1
26	в применении к	1	1
27	в данном случае	2	1
28	рассказывает о своих	1	1
29	в году в	2	1
30	и в этом	1	1
31	о том что	2	1
32	в связи с	1	1
33	что я не	1	1
34	в период создания	1	1
35	во всяком случае	1	1
36	все эти образы	1	1
37	как и все	1	1
38	это и есть	1	1
39	не в силах	2	1
40	в одном из	1	1
41	с самого начала	1	1
42	и в самом	2	1
