N	3gram	Berdyaev_N_1	VelikijI
1	не верят в	1	3
2	во имя свободы	3	3
3	но и в	1	2
4	свободы от бога	1	2
5	не будет уже	1	2
6	в существе своем	1	2
7	в нем нет	2	2
8	не в силах	1	2
9	никогда еще не	1	2
10	в том что	1	2
11	в платоновском смысле	1	1
12	я думаю что	1	1
13	никогда не было	2	1
14	есть прежде всего	1	1
15	ни в социализме	1	1
16	вместе с тем	2	1
17	и в жизни	1	1
18	имя свободы и	1	1
19	зла в будущем	1	1
20	в известном смысле	1	1
21	не могут быть	1	1
22	царства божьего и	1	1
23	с другой стороны	2	1
24	о религиозном смысле	1	1
25	в нашу эпоху	2	1
26	бог не есть	1	1
27	и вместе с	1	1
28	одна из сторон	1	1
29	не имеет никакой	1	1
30	если нет бога	1	1
31	истина должна быть	1	1
32	в мир и	1	1
33	от бога и	1	1
34	как и в	1	1
