N	3gram	Tiupa_Narr_1	Istorich
1	с другой стороны	4	8
2	с одной стороны	7	7
3	в том что	8	5
4	до сих пор	1	4
5	не только в	2	4
6	о том что	6	4
7	на том свете	2	4
8	в данном случае	4	3
9	не может быть	5	3
10	том что в	1	2
11	только то что	1	2
12	точно так же	2	2
13	не могло быть	1	2
14	по отношению к	6	2
15	но все же	4	2
16	можно было бы	2	2
17	как и в	1	2
18	как мы видели	1	2
19	что иное как	2	1
20	в чистом виде	1	1
21	следует отметить что	1	1
22	только потому что	1	1
23	это то что	1	1
24	все же было	1	1
25	связь со смертью	1	1
26	более или менее	2	1
27	и в особенности	1	1
28	в том числе	6	1
29	том что он	1	1
30	же как и	1	1
31	в таком случае	2	1
32	по аналогии с	1	1
33	том числе и	4	1
34	к тому чтобы	1	1
35	но это не	1	1
36	на первый взгляд	2	1
37	и др в	1	1
38	а иногда и	1	1
39	с этой точки	1	1
40	то или иное	2	1
41	и то что	1	1
42	но в таком	1	1
43	на передний план	1	1
44	и должна быть	1	1
45	так же как	2	1
46	могло и не	1	1
47	в этом не	1	1
48	ночь а утром	1	1
49	а также и	1	1
50	при всей специфике	1	1
51	а с другой	1	1
52	так или иначе	2	1
53	все же не	4	1
54	один из этих	1	1
55	в свое время	1	1
56	и когда он	1	1
57	этой точки зрения	2	1
58	есть не что	1	1
59	независимо от того	1	1
60	так и в	1	1
61	жизнью и смертью	1	1
62	и тем самым	3	1
63	и тем более	1	1
64	подобно тому как	2	1
65	речь идет о	2	1
66	можно сказать что	4	1
67	из этих двух	1	1
68	с другом и	1	1
69	не что иное	2	1
70	и деревья и	1	1
71	и небо и	1	1
72	тем не менее	3	1
73	друг с другом	1	1
74	и как будто	1	1
75	здесь не в	2	1
76	здесь как и	1	1
77	в себе не	1	1
78	и не могло	1	1
79	но еще не	1	1
