N	2gram	Tiupa_Anal_1	FransuaR
1	и в	18	65
2	то есть	11	45
3	и др	1	24
4	как бы	5	22
5	и не	21	22
6	вовсе не	2	18
7	и т.п	5	17
8	в сущности	6	16
9	в том	27	16
10	в этом	13	15
11	но в	8	14
12	в нем	3	13
13	нового времени	1	13
14	мы уже	1	12
15	и на	5	11
16	прежде всего	6	11
17	все эти	2	10
18	не только	15	10
19	и его	5	10
20	так и	4	10
21	но и	17	10
22	и потому	2	10
23	том числе	3	10
24	во всех	1	9
25	в его	13	9
26	за пределы	2	8
27	всех этих	1	8
28	в основе	6	8
29	культуры и	1	8
30	и даже	1	8
31	здесь в	1	8
32	по своему	1	8
33	его в	1	7
34	точки зрения	6	7
35	в области	4	7
36	только в	6	7
37	влияние на	1	7
38	романтическом гротеске	1	7
39	числе и	1	7
40	жизни и	1	7
41	на самом	2	6
42	в году	1	6
43	в ней	1	6
44	еще не	3	6
45	все же	4	6
46	при этом	12	6
47	том что	12	6
48	в отношении	1	6
49	никогда не	2	6
50	как мы	2	6
51	времени и	6	6
52	нашей работы	1	6
53	в литературе	4	6
54	так как	2	6
55	может быть	29	6
56	не знает	1	6
57	в последующих	1	5
58	меньшей степени	1	5
59	литературы и	1	5
60	с его	3	5
61	отличие от	6	5
62	как в	1	5
63	в них	1	5
64	как и	13	5
65	есть в	1	5
66	в своей	6	5
67	между людьми	1	5
68	потому что	2	5
69	той или	6	5
70	между тем	5	5
71	и одновременно	3	5
72	для него	2	5
73	в одном	1	5
74	или иной	6	5
75	превращается в	1	5
76	связь с	1	5
77	в частности	19	5
78	в той	8	5
79	и все	3	5
80	в большей	1	5
81	в своих	1	5
82	жизни в	1	5
83	и до	2	4
84	и к	3	4
85	в самом	6	4
86	в этой	5	4
87	входит в	1	4
88	во время	1	4
89	в их	5	4
90	в отличие	6	4
91	не в	14	4
92	до сих	1	4
93	иной форме	1	4
94	на всех	1	4
95	большей или	4	4
96	связи с	1	4
97	из них	2	4
98	отношение к	2	4
99	выходит за	1	4
100	или меньшей	4	4
101	сих пор	1	4
102	мира и	1	4
103	это как	2	4
104	для нас	1	4
105	между ними	1	4
106	культуры в	2	4
107	совершенно не	1	4
108	самом деле	2	3
109	по его	1	3
110	мы и	1	3
111	мы будем	1	3
112	не просто	2	3
113	в себя	6	3
114	уже не	4	3
115	но все	1	3
116	то что	6	3
117	в себе	11	3
118	и с	2	3
119	это не	6	3
120	далеко не	6	3
121	в ее	1	3
122	он и	1	3
123	отрыве от	2	3
124	с точки	4	3
125	разного рода	3	3
126	но это	1	3
127	даже в	3	3
128	на котором	1	3
129	ничего не	1	3
130	по своей	6	3
131	этом отношении	2	3
132	не могут	3	3
133	но одновременно	1	3
134	в виду	1	3
135	с ним	4	3
136	о нем	3	3
137	в самой	1	3
138	с другой	4	3
139	и во	1	3
140	к нему	3	3
141	во всей	1	3
142	что он	3	3
143	но как	1	3
