N	3gram	Propp_Isto_5	DiskursI
1	в отличие от	1	12
2	в данном случае	2	6
3	в том что	2	6
4	то же время	1	5
5	как и в	2	5
6	по отношению к	2	4
7	в то же	1	4
8	с одной стороны	7	4
9	не может быть	3	3
10	о том что	4	3
11	одной стороны и	1	2
12	состоит в том	1	2
13	подобно тому как	1	2
14	в соответствии с	1	2
15	в этом случае	7	2
16	а потом и	1	2
17	с точки зрения	1	2
18	в верхний мир	1	2
19	себя в нем	1	1
20	на одном лице	1	1
21	другой стороны в	1	1
22	потому что в	1	1
23	в самом деле	1	1
24	не имеют никакого	1	1
25	можно утверждать что	1	1
26	с другой стороны	8	1
27	но и здесь	1	1
28	но это не	2	1
29	таких произведениях как	1	1
30	в это время	2	1
31	как и его	1	1
32	не в том	1	1
33	он представляет собой	1	1
34	в таких произведениях	1	1
35	во всяком случае	1	1
36	наводит на мысль	1	1
37	с самого начала	1	1
38	в пределах одной	1	1
39	тем что он	2	1
40	можно сказать что	1	1
41	не говорит об	1	1
42	на этом свете	1	1
43	в том числе	1	1
44	тем не менее	4	1
45	здесь как и	1	1
46	том числе и	1	1
47	в пределах одного	1	1
