N	2gram	Losev_Prob_2	Komedia
1	и в	35	26
2	едва ли	9	14
3	и не	37	14
4	и его	1	12
5	к тому	3	12
6	так и	7	12
7	может быть	18	11
8	в том	12	11
9	в этом	17	10
10	но и	16	10
11	столь же	1	9
12	том что	19	9
13	если бы	4	9
14	вместе с	2	9
15	что в	11	9
16	ясно что	8	8
17	было бы	8	8
18	и на	5	7
19	не только	24	7
20	на себя	1	7
21	что и	2	7
22	еще не	10	6
23	в своем	4	6
24	о том	18	6
25	в нем	1	6
26	iii в	1	6
27	таким образом	4	6
28	в то	6	6
29	того чтобы	2	6
30	потому что	13	6
31	и здесь	4	6
32	во время	1	6
33	то что	38	6
34	с его	1	5
35	что он	4	5
36	так что	11	5
37	в истории	3	5
38	независимо от	2	5
39	с этим	5	5
40	для того	3	5
41	ни в	6	5
42	с тем	3	5
43	последние десятилетия	2	5
44	и с	10	5
45	в н	2	5
46	один из	3	5
47	в качестве	2	5
48	к этому	1	5
49	уже в	3	4
50	меньше всего	1	4
51	хотя и	3	4
52	в самом	5	4
53	что это	1	4
54	в целом	3	4
55	из этих	3	4
56	с их	1	4
57	это было	2	4
58	в них	2	4
59	как и	5	4
60	в этих	4	4
61	место в	1	4
62	тому что	3	4
63	не менее	13	4
64	с и	2	4
65	это слово	1	4
66	как будто	6	4
67	как мы	5	4
68	в в	2	4
69	что у	1	4
70	можно было	5	4
71	еще в	2	4
72	его в	3	4
73	между тем	1	4
74	в его	7	4
75	только в	14	4
76	же в	1	4
77	так как	7	4
78	в последние	2	4
79	что для	3	4
80	прежде всего	11	4
81	мира в	1	4
82	в частности	5	4
83	как это	1	4
84	о его	1	4
85	все же	8	4
86	и для	6	4
87	и от	3	4
88	одной из	1	4
89	точки зрения	2	4
90	речь идет	2	3
91	то же	5	3
92	в их	3	3
93	той же	2	3
94	вопрос о	3	3
95	в ней	2	3
96	что его	1	3
97	во всех	2	3
98	но не	4	3
99	как в	1	3
100	но в	6	3
101	так или	6	3
102	в этой	9	3
103	но все	2	3
104	в каждом	1	3
105	могла бы	1	3
106	но если	4	3
107	не имеет	7	3
108	связи с	5	3
109	что на	4	3
110	многие из	1	3
111	и сам	2	3
112	то время	1	3
113	и поэтому	2	3
114	к нему	2	3
115	тех пор	4	3
116	дело с	1	3
117	к их	1	3
118	для всех	2	3
119	и их	3	3
120	никто не	3	3
121	представить себе	4	3
122	друг друга	1	3
123	мы можем	6	3
124	тем что	4	3
125	до начала	1	3
126	возможно что	1	3
127	даже не	3	3
128	или иначе	6	3
129	здесь в	1	3
130	не было	3	3
131	о чем	6	3
132	в связи	5	3
133	и особенно	2	3
134	из которых	2	3
135	в тех	2	3
136	да и	10	3
137	все это	4	3
138	или в	2	3
139	для нас	9	3
140	а в	4	3
141	до тех	4	3
142	по поводу	2	3
143	том числе	2	3
144	не может	13	3
145	и т	6	2
146	одним из	1	2
147	только потому	1	2
148	стали бы	1	2
149	и есть	4	2
150	мы имеем	1	2
151	мы не	7	2
152	из самых	2	2
153	время как	1	2
154	говорить о	10	2
155	не вполне	4	2
156	то это	3	2
157	в виду	8	2
158	и был	1	2
159	он был	1	2
160	бы то	2	2
161	если в	1	2
162	тут же	8	2
163	ведь мы	2	2
164	отнюдь не	5	2
165	и вовсе	6	2
166	что именно	1	2
167	в действительности	2	2
168	от этого	1	2
169	и хотя	2	2
170	да еще	1	2
171	бы и	7	2
172	в нашем	3	2
173	ни одна	1	2
174	роль в	2	2
175	и если	3	2
176	что она	4	2
177	не следует	1	2
178	он не	2	2
179	и еще	1	2
180	в силу	1	2
181	что ни	1	2
182	на этом	1	2
183	то ни	3	2
184	же не	1	2
185	об этом	2	2
186	в глазах	1	2
187	это не	1	2
188	этом смысле	5	2
189	чем в	1	2
190	в следующем	1	2
191	всяком случае	10	2
192	представление о	5	2
193	которые в	2	2
194	не в	2	2
195	в конце	7	2
196	вовсе не	37	2
197	даже в	2	2
198	на пути	1	2
199	одна из	3	2
200	же его	2	2
201	в одном	1	2
202	что их	2	2
203	в какой-то	2	2
204	не столь	2	2
